analysis,monkey,method,true_direction,predicted_direction,fraction
matched_long,M,all_bands,1,1,0.19038083721119936
matched_long,M,all_bands,1,2,0.17480330706259364
matched_long,M,all_bands,1,3,0.14787854118834595
matched_long,M,all_bands,1,4,0.17033838908734278
matched_long,M,all_bands,1,5,0.14113115939539722
matched_long,M,all_bands,1,6,0.17546776605512104
matched_long,M,all_bands,2,1,0.16418119801891995
matched_long,M,all_bands,2,2,0.1619493861444017
matched_long,M,all_bands,2,3,0.1668962482605238
matched_long,M,all_bands,2,4,0.15569374672753403
matched_long,M,all_bands,2,5,0.15671640898604108
matched_long,M,all_bands,2,6,0.19456301186257943
matched_long,M,all_bands,3,1,0.1548888662110009
matched_long,M,all_bands,3,2,0.160928765644332
matched_long,M,all_bands,3,3,0.16265916219527768
matched_long,M,all_bands,3,4,0.2021100903514458
matched_long,M,all_bands,3,5,0.15811932303581283
matched_long,M,all_bands,3,6,0.1612937925621308
matched_long,M,all_bands,4,1,0.1599854955096912
matched_long,M,all_bands,4,2,0.13837910913165907
matched_long,M,all_bands,4,3,0.18504959088659448
matched_long,M,all_bands,4,4,0.22573978505456044
matched_long,M,all_bands,4,5,0.15441734450539765
matched_long,M,all_bands,4,6,0.13642867491209712
matched_long,M,all_bands,5,1,0.1746458261896155
matched_long,M,all_bands,5,2,0.1627217839567073
matched_long,M,all_bands,5,3,0.16124643042838085
matched_long,M,all_bands,5,4,0.17036310374194663
matched_long,M,all_bands,5,5,0.16376136935297597
matched_long,M,all_bands,5,6,0.16726148633037374
matched_long,M,all_bands,6,1,0.17541582626428265
matched_long,M,all_bands,6,2,0.18119682293672057
matched_long,M,all_bands,6,3,0.14415460706342906
matched_long,M,all_bands,6,4,0.15465499798151713
matched_long,M,all_bands,6,5,0.15299201327570147
matched_long,M,all_bands,6,6,0.19158573247834915
matched_long,M,peak_frequency,1,1,0.17125267046570142
matched_long,M,peak_frequency,1,2,0.18297026833216903
matched_long,M,peak_frequency,1,3,0.17010483769953044
matched_long,M,peak_frequency,1,4,0.17765151328568696
matched_long,M,peak_frequency,1,5,0.14447580331789578
matched_long,M,peak_frequency,1,6,0.1535449068990164
matched_long,M,peak_frequency,2,1,0.1625680589585248
matched_long,M,peak_frequency,2,2,0.21083534034238824
matched_long,M,peak_frequency,2,3,0.15727855169117808
matched_long,M,peak_frequency,2,4,0.16321363441738657
matched_long,M,peak_frequency,2,5,0.15610543403614757
matched_long,M,peak_frequency,2,6,0.1499989805543747
matched_long,M,peak_frequency,3,1,0.1685824504606042
matched_long,M,peak_frequency,3,2,0.18414724561101609
matched_long,M,peak_frequency,3,3,0.17455112557338617
matched_long,M,peak_frequency,3,4,0.18189977114744169
matched_long,M,peak_frequency,3,5,0.14834593396739426
matched_long,M,peak_frequency,3,6,0.14247347324015758
matched_long,M,peak_frequency,4,1,0.16524363356503485
matched_long,M,peak_frequency,4,2,0.1708249017896775
matched_long,M,peak_frequency,4,3,0.1733079662706158
matched_long,M,peak_frequency,4,4,0.20452714387971518
matched_long,M,peak_frequency,4,5,0.14986115708801698
matched_long,M,peak_frequency,4,6,0.1362351974069397
matched_long,M,peak_frequency,5,1,0.15674611823614168
matched_long,M,peak_frequency,5,2,0.1820664780894021
matched_long,M,peak_frequency,5,3,0.17289969415117643
matched_long,M,peak_frequency,5,4,0.17721996283586045
matched_long,M,peak_frequency,5,5,0.16130921388188474
matched_long,M,peak_frequency,5,6,0.14975853280553458
matched_long,M,peak_frequency,6,1,0.1635606002648053
matched_long,M,peak_frequency,6,2,0.20044252004726854
matched_long,M,peak_frequency,6,3,0.1615209174405782
matched_long,M,peak_frequency,6,4,0.17588735023200128
matched_long,M,peak_frequency,6,5,0.14806922594381394
matched_long,M,peak_frequency,6,6,0.15051938607153273
matched_long,M,peak_power,1,1,0.18309483903588125
matched_long,M,peak_power,1,2,0.1777680459991815
matched_long,M,peak_power,1,3,0.13879174111645606
matched_long,M,peak_power,1,4,0.20557011109363574
matched_long,M,peak_power,1,5,0.12456337569781448
matched_long,M,peak_power,1,6,0.170211887057031
matched_long,M,peak_power,2,1,0.17709926651981936
matched_long,M,peak_power,2,2,0.1672178596502634
matched_long,M,peak_power,2,3,0.16412852489547852
matched_long,M,peak_power,2,4,0.18286583513269064
