recording,monkey,day,method,permutation,macro_f1
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,0,0.1546452185614167
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,0,0.1016337386018236
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,0,0.1311863701279446
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,0,0.1986858738652354
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,0,0.1808449825579914
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,1,0.1144579103352263
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,1,0.1214514520361824
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,1,0.1026243520915341
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,1,0.1025988173046996
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,1,0.1375306079044506
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,2,0.1236271450436823
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,2,0.1211403884495938
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,2,0.1522479096947181
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,2,0.1422433734412558
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,2,0.1585762868371563
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,3,0.145580198382309
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,3,0.1174861358684888
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,3,0.1136483904532148
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,3,0.1326988967421593
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,3,0.135877301558844
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,4,0.1511571722098037
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,4,0.1315457872092845
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,4,0.1683836907082521
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,4,0.1444834307992203
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,4,0.1948315118397086
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,5,0.1307178211678089
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,5,0.1135733231074042
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,5,0.1511425869832318
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,5,0.1849260612433111
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,5,0.1416327300150829
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,6,0.1425621246448735
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,6,0.0960756753625788
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,6,0.1462509149465671
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,6,0.1477836026630054
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,6,0.143660053021195
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,7,0.1157489907489907
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,7,0.1731120731120731
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,7,0.1707555461178649
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,7,0.0860662440683377
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,7,0.1619249763090278
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,8,0.1028052327886215
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,8,0.1551624607893628
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,8,0.1212693822088743
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,8,0.1551375752159116
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,8,0.1335252210091451
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,9,0.1191439720851485
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,9,0.0983965019858645
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,9,0.1169225364439901
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,9,0.1792642056822729
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,torus,9,0.2098784318829111
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,10,0.1426479772571634
