monkey,method,mean,low,high,n_permutations
M,all_bands,0.15721727142322803,0.14904697921905583,0.16448624000728387,200
M,peak_frequency,0.14480076341481377,0.13869985002480822,0.15135152811746724,200
M,peak_power,0.1464351048651857,0.13964527407201047,0.15340925833870375,200
M,power_frequency,0.15409213834917282,0.14785879534848936,0.16216610377479082,200
M,torus,0.16119554789983626,0.15468240898834454,0.16814044134243114,200
T,all_bands,0.15711523837764108,0.14959300438337764,0.16339204068471472,200
T,peak_frequency,0.14198725016440783,0.13596673874993395,0.14921590712662144,200
T,peak_power,0.1368061180840435,0.13078786408120607,0.1429913342359337,200
T,power_frequency,0.14721191274068116,0.1398250185327577,0.1545239718058191,200
T,torus,0.16034078311285443,0.15230285314099576,0.1683336989498627,200
