day,difference,monkey,enhanced,baseline
2008-04-16,0.034599325299,M,torus,power_frequency
2008-04-17,0.030856343562,M,torus,power_frequency
2008-04-22,-0.092797533216,M,torus,power_frequency
2008-04-23,-0.000686021117,M,torus,power_frequency
2008-04-24,-0.028654077567,M,torus,power_frequency
2008-04-25,-0.033409273999,M,torus,power_frequency
2008-04-29,0.01365264365,M,torus,power_frequency
2008-04-30,-0.052653075525,M,torus,power_frequency
2008-05-06,-0.010037298357,M,torus,power_frequency
2008-05-07,-0.027403270319,M,torus,power_frequency
2008-05-09,0.011404597249,M,torus,power_frequency
2008-05-13,0.014764155228,M,torus,power_frequency
2008-05-15,0.022211247917,M,torus,power_frequency
2008-05-22,-0.111270320742,M,torus,power_frequency
2008-05-23,0.08394124173,M,torus,power_frequency
2008-05-27,-0.023740619764,M,torus,power_frequency
2008-05-28,-0.009997661532,M,torus,power_frequency
2008-07-10,-0.028108730811,M,torus,power_frequency
2008-07-11,-0.028448153501,M,torus,power_frequency
2008-07-18,0.028005702928,M,torus,power_frequency
2008-07-22,-0.020608438148,M,torus,power_frequency
2008-07-23,-0.050307433262,M,torus,power_frequency
2008-07-24,-0.030495826601,M,torus,power_frequency
2008-07-31,-0.025226769654,M,torus,power_frequency
2008-08-01,0.02732189314,M,torus,power_frequency
2008-08-08,-0.002636398074,M,torus,power_frequency
2008-08-28,0.011837856636,M,torus,power_frequency
2008-08-29,0.02475070829,M,torus,power_frequency
2008-09-04,0.000738762127,M,torus,power_frequency
2008-09-05,0.014923024144,M,torus,power_frequency
2008-09-10,-0.003655784904,M,torus,power_frequency
2008-09-11,-0.026104014373,M,torus,power_frequency
2008-09-17,-0.015097636734,M,torus,power_frequency
2008-09-18,-0.064085498312,M,torus,power_frequency
2008-09-19,0.014962241457,M,torus,power_frequency
2008-09-25,-0.014100510729,M,torus,power_frequency
2008-09-26,-0.005415142064,M,torus,power_frequency
2008-09-30,0.019994857048,M,torus,power_frequency
2008-10-01,-0.104636374595,M,torus,power_frequency
2008-10-02,-0.015675143691,M,torus,power_frequency
2008-10-03,-0.009839939348,M,torus,power_frequency
2008-10-08,0.004398909473,M,torus,power_frequency
2008-10-28,-0.039601923319,M,torus,power_frequency
2008-10-31,0.019345486055,M,torus,power_frequency
2008-11-07,-0.001658528857,M,torus,power_frequency
2008-11-13,-0.001690826754,M,torus,power_frequency
2008-11-27,-0.004466617106,M,torus,power_frequency
2008-12-02,-0.031580454986,M,torus,power_frequency
2008-04-16,-0.055833370574,M,torus,all_bands
2008-04-17,0.05910152754,M,torus,all_bands
2008-04-22,-0.051998462151,M,torus,all_bands
2008-04-23,0.041369759733,M,torus,all_bands
2008-04-24,-0.029829422357,M,torus,all_bands
2008-04-25,-0.043106786326,M,torus,all_bands
2008-04-29,0.042413086505,M,torus,all_bands
2008-04-30,0.007296862124,M,torus,all_bands
2008-05-06,0.004399808239,M,torus,all_bands
2008-05-07,0.00157478622,M,torus,all_bands
2008-05-09,-0.025990582565,M,torus,all_bands
2008-05-13,-0.017449796318,M,torus,all_bands
2008-05-15,0.05146959808,M,torus,all_bands
2008-05-22,-0.02541861495,M,torus,all_bands
2008-05-23,0.036195867415,M,torus,all_bands
2008-05-27,-0.039209206876,M,torus,all_bands
2008-05-28,-0.046409637997,M,torus,all_bands
2008-07-10,-0.033602319192,M,torus,all_bands
2008-07-11,-0.007267354578,M,torus,all_bands
2008-07-18,0.077482499311,M,torus,all_bands
2008-07-22,0.110946962904,M,torus,all_bands
2008-07-23,-0.052179747441,M,torus,all_bands
2008-07-24,-0.070122202121,M,torus,all_bands
2008-07-31,-0.017494643093,M,torus,all_bands
2008-08-01,-0.019463833392,M,torus,all_bands
2008-08-08,-0.017396520082,M,torus,all_bands
2008-08-28,-0.012206359743,M,torus,all_bands
2008-08-29,-0.02666563795,M,torus,all_bands
2008-09-04,0.004282811974,M,torus,all_bands
2008-09-05,-0.029817859138,M,torus,all_bands
2008-09-10,-0.023738092146,M,torus,all_bands
2008-09-11,-0.030848299513,M,torus,all_bands
2008-09-17,0.033304993409,M,torus,all_bands
2008-09-18,-0.021973615853,M,torus,all_bands
2008-09-19,-0.004749733021,M,torus,all_bands
2008-09-25,-0.011372645834,M,torus,all_bands
2008-09-26,-0.044365502867,M,torus,all_bands
2008-09-30,-0.062056425003,M,torus,all_bands
2008-10-01,-0.054040473527,M,torus,all_bands
2008-10-02,-0.04525655388,M,torus,all_bands
2008-10-03,-0.01511509161,M,torus,all_bands
2008-10-08,0.016551733827,M,torus,all_bands
2008-10-28,0.103622506712,M,torus,all_bands
2008-10-31,0.012891113076,M,torus,all_bands
2008-11-07,0.012159453414,M,torus,all_bands
2008-11-13,-0.031045376566,M,torus,all_bands
2008-11-27,-0.12276714767,M,torus,all_bands
2008-12-02,-0.057963420197,M,torus,all_bands
2008-04-16,0.049958418873,M,torus_power_frequency,power_frequency
2008-04-17,0.044412422136,M,torus_power_frequency,power_frequency
2008-04-22,-0.078819778372,M,torus_power_frequency,power_frequency
2008-04-23,0.00522037014,M,torus_power_frequency,power_frequency
2008-04-24,-0.038782541816,M,torus_power_frequency,power_frequency
2008-04-25,-0.037564431574,M,torus_power_frequency,power_frequency
2008-04-29,0.000223136202,M,torus_power_frequency,power_frequency
2008-04-30,-0.012955788092,M,torus_power_frequency,power_frequency
2008-05-06,0.016293037836,M,torus_power_frequency,power_frequency
2008-05-07,-0.027541664022,M,torus_power_frequency,power_frequency
2008-05-09,0.007978668352,M,torus_power_frequency,power_frequency
2008-05-13,0.027823916899,M,torus_power_frequency,power_frequency
2008-05-15,0.026204624174,M,torus_power_frequency,power_frequency
2008-05-22,-0.072858229343,M,torus_power_frequency,power_frequency
2008-05-23,0.057403008695,M,torus_power_frequency,power_frequency
2008-05-27,0.000298380834,M,torus_power_frequency,power_frequency
2008-05-28,0.021989535657,M,torus_power_frequency,power_frequency
2008-07-10,0.001443085128,M,torus_power_frequency,power_frequency
2008-07-11,0.005362431851,M,torus_power_frequency,power_frequency
2008-07-18,0.059357399803,M,torus_power_frequency,power_frequency
2008-07-22,0.024060465374,M,torus_power_frequency,power_frequency
2008-07-23,-0.026163078795,M,torus_power_frequency,power_frequency
2008-07-24,-0.048079826472,M,torus_power_frequency,power_frequency
2008-07-31,-0.01108914689,M,torus_power_frequency,power_frequency
2008-08-01,0.031246833631,M,torus_power_frequency,power_frequency
2008-08-08,0.025012296458,M,torus_power_frequency,power_frequency
2008-08-28,0.027364998522,M,torus_power_frequency,power_frequency
2008-08-29,0.071656847607,M,torus_power_frequency,power_frequency
2008-09-04,-0.013099732074,M,torus_power_frequency,power_frequency
2008-09-05,0.065467337231,M,torus_power_frequency,power_frequency
2008-09-10,0.003084216288,M,torus_power_frequency,power_frequency
2008-09-11,-0.035059321629,M,torus_power_frequency,power_frequency
2008-09-17,-0.015509710492,M,torus_power_frequency,power_frequency
2008-09-18,-0.039333948937,M,torus_power_frequency,power_frequency
2008-09-19,0.022600062952,M,torus_power_frequency,power_frequency
2008-09-25,0.003702607256,M,torus_power_frequency,power_frequency
2008-09-26,0.028140146204,M,torus_power_frequency,power_frequency
2008-09-30,-0.006114300338,M,torus_power_frequency,power_frequency
2008-10-01,-0.054921878029,M,torus_power_frequency,power_frequency
2008-10-02,0.012284293355,M,torus_power_frequency,power_frequency
2008-10-03,-0.000840636265,M,torus_power_frequency,power_frequency
2008-10-08,0.025546757092,M,torus_power_frequency,power_frequency
2008-10-28,-0.014819202584,M,torus_power_frequency,power_frequency
2008-10-31,0.024758508846,M,torus_power_frequency,power_frequency
2008-11-07,-0.001867603427,M,torus_power_frequency,power_frequency
2008-11-13,0.012303546765,M,torus_power_frequency,power_frequency
2008-11-27,-0.025558346867,M,torus_power_frequency,power_frequency
2008-12-02,-0.030383600256,M,torus_power_frequency,power_frequency
2008-04-16,-0.022735621483,M,torus_all_bands,all_bands
2008-04-17,0.035965811702,M,torus_all_bands,all_bands
2008-04-22,-0.021282836094,M,torus_all_bands,all_bands
2008-04-23,0.042862467524,M,torus_all_bands,all_bands
2008-04-24,-0.010422623712,M,torus_all_bands,all_bands
2008-04-25,-0.090228512157,M,torus_all_bands,all_bands
2008-04-29,0.059613456426,M,torus_all_bands,all_bands
2008-04-30,0.026399196431,M,torus_all_bands,all_bands
2008-05-06,0.007606794968,M,torus_all_bands,all_bands
2008-05-07,0.003666990043,M,torus_all_bands,all_bands
2008-05-09,-0.033093250678,M,torus_all_bands,all_bands
2008-05-13,-0.007104125083,M,torus_all_bands,all_bands
2008-05-15,0.058986751852,M,torus_all_bands,all_bands
2008-05-22,-0.00714408114,M,torus_all_bands,all_bands
2008-05-23,0.030729925698,M,torus_all_bands,all_bands
2008-05-27,-0.012432087753,M,torus_all_bands,all_bands
2008-05-28,-0.019296283855,M,torus_all_bands,all_bands
2008-07-10,-0.024730828466,M,torus_all_bands,all_bands
2008-07-11,0.050702860667,M,torus_all_bands,all_bands
2008-07-18,0.10027660738,M,torus_all_bands,all_bands
2008-07-22,0.089883622059,M,torus_all_bands,all_bands
2008-07-23,-0.00896480624,M,torus_all_bands,all_bands
2008-07-24,-0.025092537283,M,torus_all_bands,all_bands
2008-07-31,-0.026499509422,M,torus_all_bands,all_bands
2008-08-01,0.003952421386,M,torus_all_bands,all_bands
2008-08-08,-0.005546877432,M,torus_all_bands,all_bands
2008-08-28,-0.002359979209,M,torus_all_bands,all_bands
2008-08-29,-0.004168034119,M,torus_all_bands,all_bands
2008-09-04,0.001845008997,M,torus_all_bands,all_bands
2008-09-05,-0.01393813285,M,torus_all_bands,all_bands
2008-09-10,-0.031965010653,M,torus_all_bands,all_bands
2008-09-11,-0.021164938462,M,torus_all_bands,all_bands
2008-09-17,0.026517148816,M,torus_all_bands,all_bands
2008-09-18,-0.013408394779,M,torus_all_bands,all_bands
2008-09-19,0.035095522496,M,torus_all_bands,all_bands
2008-09-25,-0.000395623913,M,torus_all_bands,all_bands
2008-09-26,-0.02580009816,M,torus_all_bands,all_bands
2008-09-30,-0.058558727135,M,torus_all_bands,all_bands
2008-10-01,-0.011711192593,M,torus_all_bands,all_bands
2008-10-02,-0.035558122687,M,torus_all_bands,all_bands
2008-10-03,-0.026117608482,M,torus_all_bands,all_bands
2008-10-08,0.03199127031,M,torus_all_bands,all_bands
2008-10-28,0.119349936966,M,torus_all_bands,all_bands
2008-10-31,0.018287680087,M,torus_all_bands,all_bands
2008-11-07,0.033826579681,M,torus_all_bands,all_bands
2008-11-13,-0.015346823951,M,torus_all_bands,all_bands
2008-11-27,-0.084439858453,M,torus_all_bands,all_bands
2008-12-02,-0.015121213404,M,torus_all_bands,all_bands
2007-01-30,-0.001977858703,T,torus,power_frequency
2007-02-01,-0.048505397974,T,torus,power_frequency
2007-02-02,-0.02632894734,T,torus,power_frequency
2007-02-06,0.031823770017,T,torus,power_frequency
2007-02-07,-0.019369817386,T,torus,power_frequency
2007-02-08,0.004691607155,T,torus,power_frequency
2007-02-09,-0.010834584938,T,torus,power_frequency
2007-02-13,-0.044176362236,T,torus,power_frequency
2007-02-14,-0.01637426837,T,torus,power_frequency
2007-02-15,-0.062326287165,T,torus,power_frequency
2007-02-28,-0.011124151122,T,torus,power_frequency
2007-03-01,-0.010332910524,T,torus,power_frequency
2007-03-06,0.031441832676,T,torus,power_frequency
2007-03-07,-0.023905146472,T,torus,power_frequency
2007-03-08,0.041669426938,T,torus,power_frequency
2007-03-12,-0.029625023188,T,torus,power_frequency
2007-03-14,-0.033943878757,T,torus,power_frequency
2007-03-15,-0.050739857757,T,torus,power_frequency
2007-03-16,-0.063410176924,T,torus,power_frequency
2007-04-12,-0.020315016367,T,torus,power_frequency
2007-04-13,-0.079054637636,T,torus,power_frequency
2007-04-16,-0.032900554774,T,torus,power_frequency
2007-04-19,-0.103821257438,T,torus,power_frequency
2007-04-20,-0.001462632396,T,torus,power_frequency
