recording,day,difference,monkey,enhanced,baseline
monkeyM_session-o080416002-18_lfp-1,2008-04-16,-0.024859554867922753,M,torus,power_frequency
monkeyM_session-o080416002-18_lfp-2,2008-04-16,0.09405820546504721,M,torus,power_frequency
monkeyM_session-o080417003-14_lfp-1,2008-04-17,0.0487986315414248,M,torus,power_frequency
monkeyM_session-o080417003-14_lfp-4,2008-04-17,0.01291405558200806,M,torus,power_frequency
monkeyM_session-o080422011-21_lfp-2,2008-04-22,-0.09279753321647792,M,torus,power_frequency
monkeyM_session-o080423001-5_lfp-6,2008-04-23,-0.0400793455972944,M,torus,power_frequency
monkeyM_session-o080423001-5_lfp-8,2008-04-23,0.0387073033624758,M,torus,power_frequency
monkeyM_session-o080424002-11_lfp-1,2008-04-24,-0.03316288518833588,M,torus,power_frequency
monkeyM_session-o080424012-22_lfp-1,2008-04-24,-0.024145269945457404,M,torus,power_frequency
monkeyM_session-o080425003-12_lfp-1,2008-04-25,-0.03340927399938068,M,torus,power_frequency
monkeyM_session-o080429002-7_lfp-2,2008-04-29,0.013652643650148483,M,torus,power_frequency
monkeyM_session-o080430002-12_lfp-1,2008-04-30,-0.026515110012356236,M,torus,power_frequency
monkeyM_session-o080430013-23_lfp-1,2008-04-30,-0.10088938895778563,M,torus,power_frequency
monkeyM_session-o080430013-23_lfp-2,2008-04-30,-0.030554727603717066,M,torus,power_frequency
monkeyM_session-o080506002-22_lfp-1,2008-05-06,0.03344441945347407,M,torus,power_frequency
monkeyM_session-o080506002-22_lfp-2,2008-05-06,-0.05351901616669985,M,torus,power_frequency
monkeyM_session-o080507002-11_lfp-1,2008-05-07,0.0026833061990556017,M,torus,power_frequency
monkeyM_session-o080507012-23_lfp-1,2008-05-07,-0.04372488968303412,M,torus,power_frequency
monkeyM_session-o080507012-23_lfp-2,2008-05-07,-0.0411682274742004,M,torus,power_frequency
monkeyM_session-o080509001-9_lfp-1,2008-05-09,0.0006650763286344397,M,torus,power_frequency
monkeyM_session-o080509010-19_lfp-1,2008-05-09,0.022144118169391686,M,torus,power_frequency
monkeyM_session-o080513001-9_lfp-1,2008-05-13,0.031219842637572257,M,torus,power_frequency
monkeyM_session-o080513001-9_lfp-2,2008-05-13,0.058137807094163815,M,torus,power_frequency
monkeyM_session-o080513010-18_lfp-1,2008-05-13,-0.021075477482148802,M,torus,power_frequency
