recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,status,fit_seconds,minimum_short,minimum_long,main_included,matched_included,fit_error,short_successful_fit_fraction,short_trials,matched_short_successful_fit_fraction,matched_short_trials,matched_long_successful_fit_fraction,matched_long_trials
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,2008-03-26,1,40,40,5000,4500,4500,5000,0,7052791fb0e2e4e32bdb1d63f38e8197c9a2cfe9fda1fec7afae8953b873e5e1,fewer_than_15_short_trials_per_direction,0.016289138002321124,0,0,False,False,,,,,,,
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,2008-03-27,1,98,98,5000,4500,4500,5000,3,4866cea41af2123c4038163b7ed19e39614d6dcb150ae1b93957b14f8973f90e,fewer_than_15_short_trials_per_direction,0.0302671660319902,0,0,False,False,,,,,,,
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,2008-04-03,1,101,101,5000,4500,4500,5000,11,49e1eb14414eda49ba4ff1981bbf73f921997ee664897deafba1ab31dfd9af4d,fewer_than_15_short_trials_per_direction,0.03180175804300234,0,0,False,False,,,,,,,
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2008-04-03,2,101,101,5000,4500,4500,5000,10,3bace766fefca97e51c48a4673635d05ff5b169cb7499c9515b971845c193e4e,fewer_than_15_short_trials_per_direction,0.03179469902534038,0,0,False,False,,,,,,,
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,2008-04-03,1,117,117,5000,4500,4500,5000,17,65baba239956c344f13eaf1247430342ef987bc5905f6b214d96a5ba98507e38,fewer_than_15_short_trials_per_direction,0.02278921299148351,0,0,False,False,,,,,,,
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2008-04-03,2,117,117,5000,4500,4500,5000,16,13f30ececfe94d6019e19c8d5da19a7c2506929363f801dc7cd64754dfe1074a,fewer_than_15_short_trials_per_direction,0.027010146994143724,0,0,False,False,,,,,,,
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,2008-04-03,1,81,81,5000,4500,4500,5000,24,2c1c6cbf33f4c35e1eec14484d36ba4692ad191906ccfd2b3a32055f0426869d,fewer_than_15_short_trials_per_direction,0.02047754597151652,0,0,False,False,,,,,,,
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2008-04-03,2,81,81,5000,4500,4500,5000,23,0a1b41c055f879ca47454cf3fca73b31d96e21bcd60132a67fb62fc49bbfd9b2,fewer_than_15_short_trials_per_direction,0.023861735011450946,0,0,False,False,,,,,,,
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,2008-04-04,1,91,91,5000,4500,4500,5000,30,5789bd41bbd22878293b1f231f5b53f5caf8915d6759b0f6ba77811b8af25eba,fewer_than_15_short_trials_per_direction,0.023239675036165863,0,0,False,False,,,,,,,
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2008-04-04,2,91,91,5000,4500,4500,5000,28,f68551645418e7f969e6147bc1e6eb9fb60723213a4356b61d896c681aa761ed,fewer_than_15_short_trials_per_direction,0.020796391007024795,0,0,False,False,,,,,,,
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,2008-04-04,1,105,105,5000,4500,4500,5000,34,77bc2c085f57534eb523f09bd8731eedc56f730f6e5d78fda8658cdf1f92136c,fewer_than_15_short_trials_per_direction,0.02369644696591422,0,0,False,False,,,,,,,
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,2008-04-04,1,86,86,5000,4500,4500,5000,46,80e7e1e040ca8664acafec34c117e8f933452194df0e36112ce278ebfad304a1,fewer_than_15_short_trials_per_direction,0.017657894000876695,0,0,False,False,,,,,,,
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,2008-04-08,1,88,88,5000,4500,4500,5000,55,21428c76d9f9ec82a02d3d359b7283a76bef669eb51d914495bd1c1eed0cd055,fewer_than_15_short_trials_per_direction,0.017049595015123487,0,0,False,False,,,,,,,
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,2008-04-10,1,118,118,5000,4500,4500,5000,59,254d90b8c09fd316034ff2df8dcdde754019ffe55df5b1e32055609fba80b964,fewer_than_15_short_trials_per_direction,0.023390128975734115,0,0,False,False,,,,,,,
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2008-04-10,2,118,118,5000,4500,4500,5000,58,defa2bb55355e122c38e758254f153348e64cf14efe1b8b3b1ca2286c28d4639,fewer_than_15_short_trials_per_direction,0.02251462801359594,0,0,False,False,,,,,,,
