recording,monkey,day,analysis,method,true_direction,predicted_direction,fraction
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,1,1,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,1,2,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,1,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,1,4,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,1,5,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,1,6,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,2,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,2,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,2,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,2,4,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,2,5,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,2,6,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,3,1,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,3,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,3,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,3,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,3,5,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,3,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,4,1,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,4,2,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,4,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,4,4,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,4,5,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,4,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,5,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,5,2,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,5,3,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,5,4,0.375
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,5,5,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,5,6,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,6,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,6,2,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,6,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,6,4,0.375
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,6,5,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,6,6,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,1,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,1,2,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,1,3,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,1,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,1,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,1,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,2,1,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,2,2,0.4166666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,2,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,2,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,2,5,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,2,6,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,3,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,3,2,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,3,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,3,4,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,3,5,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,3,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,1,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,2,0.4166666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,3,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,5,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,6,0.08333333333333333
