recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,0.1671819453428649,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,0.1362963490640969,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_power,0.17176585848550283,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,power_frequency,0.23225385338915683,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus,0.16257537202915354,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,0.1945267908484325,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,0.17557975450993898,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,0.21209984148061226,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,all_bands,0.20402264867673672,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,0.1576954945375998,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_power,0.15625426706442858,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,power_frequency,0.13904079151474139,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus,0.11418123664681863,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_all_bands,0.14987334533894892,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_pca,0.15807230920012874,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,torus_power_frequency,0.1294876008438376,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,all_bands,0.20402264867673672,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_frequency,0.1576954945375998,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,peak_power,0.15625426706442858,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,power_frequency,0.13904079151474139,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus,0.11418123664681863,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_all_bands,0.14987334533894892,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_pca,0.15807230920012874,144
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,short,torus_power_frequency,0.1294876008438376,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,all_bands,0.21494558172524272,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_frequency,0.16527172865925757,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,peak_power,0.19765440379847157,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,power_frequency,0.1996230356366728,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus,0.16192502532928066,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_all_bands,0.22619714552487666,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_pca,0.15540481181990615,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_power_frequency,0.17856557706572382,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,all_bands,0.20921733020468058,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_frequency,0.09574476650563607,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_power,0.10355760452144519,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,power_frequency,0.09333379562212514,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus,0.18739200108717236,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus_all_bands,0.21789539057547724,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus_pca,0.20235030451068067,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus_power_frequency,0.20280382403902852,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,short,all_bands,0.20921733020468058,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,short,peak_frequency,0.09574476650563607,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,short,peak_power,0.10355760452144519,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,short,power_frequency,0.09333379562212514,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,short,torus,0.18739200108717236,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,short,torus_all_bands,0.21789539057547724,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,short,torus_pca,0.20235030451068067,144
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,short,torus_power_frequency,0.20280382403902852,144
