analysis,monkey,method,mean,sd,n_lfps,n_days,n_trials,n_animals
matched_long,M,all_bands,0.17244236036235577,0.045110908840731594,108,46,12294,1
matched_long,M,peak_frequency,0.1576608502421232,0.03818367332558546,108,46,12294,1
matched_long,M,peak_power,0.16092718219700572,0.0386688878797949,108,46,12294,1
matched_long,M,power_frequency,0.17215897404606764,0.042413307110466404,108,46,12294,1
matched_long,M,torus,0.16410170596665893,0.04085711067132492,108,46,12294,1
matched_long,M,torus_all_bands,0.1765457750084811,0.042384406174265844,108,46,12294,1
matched_long,M,torus_pca,0.1622540372126334,0.03829508354029137,108,46,12294,1
matched_long,M,torus_power_frequency,0.17829201631188402,0.04468250201334366,108,46,12294,1
matched_long,T,all_bands,0.17899771258542638,0.03970622901108496,94,29,12144,1
matched_long,T,peak_frequency,0.18849095556228573,0.042398160113808606,94,29,12144,1
matched_long,T,peak_power,0.15064547844322929,0.027458735927903367,94,29,12144,1
matched_long,T,power_frequency,0.2081952955487704,0.04966309022785842,94,29,12144,1
matched_long,T,torus,0.1819133295595057,0.04049282337628721,94,29,12144,1
matched_long,T,torus_all_bands,0.18989378082729655,0.04346171003062881,94,29,12144,1
matched_long,T,torus_pca,0.1653014535492139,0.034402644671768415,94,29,12144,1
matched_long,T,torus_power_frequency,0.1998571948456863,0.04073506032244467,94,29,12144,1
matched_short,M,all_bands,0.18465372403508779,0.04436093432941028,108,46,12294,1
matched_short,M,peak_frequency,0.15298319144925718,0.03558584835252671,108,46,12294,1
matched_short,M,peak_power,0.17812041298694825,0.04220458268591181,108,46,12294,1
matched_short,M,power_frequency,0.18756459367240957,0.054536280940861805,108,46,12294,1
matched_short,M,torus,0.17191603726407897,0.04115230250433896,108,46,12294,1
matched_short,M,torus_all_bands,0.18644090413972322,0.045701616585065594,108,46,12294,1
matched_short,M,torus_pca,0.16986420654882423,0.040350174498436364,108,46,12294,1
matched_short,M,torus_power_frequency,0.18739875681752374,0.04904465467580117,108,46,12294,1
matched_short,T,all_bands,0.19812394199797814,0.04440304885135698,94,29,12144,1
matched_short,T,peak_frequency,0.17758903890025016,0.039143354209062745,94,29,12144,1
matched_short,T,peak_power,0.17155801034290233,0.03426086325523051,94,29,12144,1
matched_short,T,power_frequency,0.22172394200727905,0.049418665188314406,94,29,12144,1
matched_short,T,torus,0.18859504189197385,0.03515198079023858,94,29,12144,1
matched_short,T,torus_all_bands,0.20217119018135035,0.041462208486566475,94,29,12144,1
matched_short,T,torus_pca,0.1602301123948047,0.037060221554631956,94,29,12144,1
matched_short,T,torus_power_frequency,0.2151329839095638,0.04324221116116076,94,29,12144,1
short,M,all_bands,0.1848321807219937,0.04560570116495434,115,48,13338,1
short,M,peak_frequency,0.15361289954968893,0.0380082207933659,115,48,13338,1
short,M,peak_power,0.17820288705304455,0.04274822109869244,115,48,13338,1
short,M,power_frequency,0.18610546768144112,0.05522024162275193,115,48,13338,1
short,M,torus,0.17274571783414155,0.04129685696620231,115,48,13338,1
short,M,torus_all_bands,0.18626394275260177,0.04516090578767435,115,48,13338,1
short,M,torus_pca,0.16963541437017163,0.03914469331240864,115,48,13338,1
short,M,torus_power_frequency,0.18690374441274044,0.05043282608730733,115,48,13338,1
short,T,all_bands,0.19914699573684272,0.04184663497244539,95,30,12468,1
short,T,peak_frequency,0.17736521428601296,0.040721627832845074,95,30,12468,1
short,T,peak_power,0.17075986963506856,0.03452944939495989,95,30,12468,1
short,T,power_frequency,0.2210601604319194,0.04969833283512982,95,30,12468,1
short,T,torus,0.18819145500208054,0.034397325938384286,95,30,12468,1
short,T,torus_all_bands,0.20428165351828925,0.040355885045252525,95,30,12468,1
short,T,torus_pca,0.15896940975544413,0.03670731482323071,95,30,12468,1
short,T,torus_power_frequency,0.21583076501486292,0.04553027001484061,95,30,12468,1
