recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,all_bands,True,1,0.2424242424242424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,all_bands,True,2,0.2894736842105263
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,all_bands,True,3,0.3055555555555556
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,all_bands,True,4,0.1276595744680851
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,all_bands,True,5,0.2222222222222222
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,all_bands,True,6,0.1269841269841269
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus,True,1,0.1971830985915492
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus,True,2,0.2432432432432432
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus,True,3,0.1132075471698113
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus,True,4,0.0851063829787234
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus,True,5,0.1470588235294117
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus,True,6,0.2650602409638554
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_all_bands,True,1,0.1714285714285714
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_all_bands,True,2,0.2571428571428571
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_all_bands,True,3,0.2777777777777778
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_all_bands,True,4,0.1224489795918367
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_all_bands,True,5,0.2318840579710145
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_all_bands,True,6,0.1515151515151515
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_power_frequency,True,1,0.1690140845070422
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_power_frequency,True,2,0.2647058823529412
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_power_frequency,True,3,0.1818181818181818
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_power_frequency,True,4,0.1333333333333333
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_power_frequency,True,5,0.1714285714285714
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus_power_frequency,True,6,0.1842105263157894
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_frequency,True,1,0.1538461538461538
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_frequency,True,2,0.0666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_frequency,True,3,0.2051282051282051
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_frequency,True,4,0.048780487804878
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_frequency,True,5,0.1176470588235294
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_frequency,True,6,0.2666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_power,True,1,0.1518987341772152
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_power,True,2,0.2444444444444444
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_power,True,3,0.0512820512820512
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_power,True,4,0.1071428571428571
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_power,True,5,0.21875
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,peak_power,True,6,0.2058823529411764
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,1,0.2105263157894736
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,2,0.2058823529411764
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,3,0.2318840579710145
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,4,0.0975609756097561
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,5,0.1971830985915492
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,power_frequency,True,6,0.1971830985915492
