recording,monkey,day,analysis,method,direction,f1
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,all_bands,1,0.375
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,all_bands,2,0.2105263157894736
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,all_bands,3,0.2
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,all_bands,4,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,all_bands,5,0.3934426229508196
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,all_bands,6,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_frequency,1,0.0454545454545454
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_frequency,2,0.0967741935483871
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_frequency,3,0.2
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_frequency,4,0.0465116279069767
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_frequency,5,0.2352941176470588
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_frequency,6,0.2222222222222222
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_power,1,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_power,2,0.1333333333333333
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_power,3,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_power,4,0.2528735632183908
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_power,5,0.345679012345679
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,peak_power,6,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,power_frequency,1,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,power_frequency,2,0.1333333333333333
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,power_frequency,3,0.2222222222222222
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,power_frequency,4,0.1
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,power_frequency,5,0.3037974683544304
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,power_frequency,6,0.08
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus,1,0.1538461538461538
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus,2,0.0425531914893617
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus,3,0.1971830985915492
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus,4,0.3174603174603174
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus,5,0.135593220338983
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus,6,0.1071428571428571
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_all_bands,1,0.3103448275862069
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_all_bands,2,0.1176470588235294
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_all_bands,3,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_all_bands,4,0.3098591549295774
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_all_bands,5,0.0701754385964912
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_all_bands,6,0.1886792452830188
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_pca,1,0.2545454545454545
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_pca,2,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_pca,3,0.2894736842105263
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_pca,4,0.3098591549295774
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_pca,5,0.074074074074074
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_pca,6,0.0434782608695652
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,1,0.0833333333333333
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,2,0.0851063829787234
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,3,0.1714285714285714
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,4,0.2941176470588235
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,5,0.1639344262295081
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,6,0.1111111111111111
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,1,0.1666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,2,0.1587301587301587
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,3,0.2
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,4,0.2352941176470588
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,5,0.2686567164179104
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,6,0.1276595744680851
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,1,0.2574257425742574
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,2,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,3,0.1481481481481481
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,4,0.08
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,5,0.1176470588235294
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,6,0.2608695652173913
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,1,0.1509433962264151
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,2,0.2702702702702703
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,3,0.0512820512820512
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,4,0.25
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,5,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,6,0.2666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,1,0.2539682539682539
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,2,0.1694915254237288
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,3,0.0434782608695652
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,4,0.2040816326530612
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,5,0.125
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,6,0.2388059701492537
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,1,0.125
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,2,0.2857142857142857
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,3,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,4,0.12
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,5,0.2264150943396226
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,6,0.1666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,1,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,2,0.2580645161290322
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,3,0.1935483870967742
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,4,0.1454545454545454
