recording,outer_fold,family,horizon_ms,trial_index,status,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,monkey,day,raw_trial_index,original_trial_number
monkeyM_session-o080506002-22_lfp-1,0,ar,1,7,ok,3.8894363790288557e-11,6.884629337951079e-11,0.9999999999311536,0.9999999999656228,0.0381543781243514,0.9618456218756486,0.980956186275447,0.0381543780555051,0.999999998195586,M,2008-05-06,17,74
monkeyM_session-o080506002-22_lfp-1,0,ar,1,11,ok,3.215206858688666e-11,3.3612812665748014e-11,0.9999999999663872,0.9999999999833862,0.0286882732730861,0.9713117267269138,0.9856554682141562,0.0286882732394733,0.9999999988283432,M,2008-05-06,5,99
monkeyM_session-o080506002-22_lfp-1,0,ar,1,12,ok,3.6098549551173305e-11,4.614334203998187e-11,0.9999999999538568,0.999999999976934,0.0277789414189259,0.972221058581074,0.9861025363136516,0.0277789413727826,0.9999999983389092,M,2008-05-06,1,224
monkeyM_session-o080506002-22_lfp-1,0,ar,1,14,ok,5.6260518260113086e-11,4.493550147085689e-11,0.9999999999550644,0.999999999977734,0.0289248963800675,0.9710751036199324,0.9855380935756944,0.028924896335132,0.9999999984464768,M,2008-05-06,23,386
monkeyM_session-o080506002-22_lfp-1,0,ar,1,19,ok,6.41079993579632e-11,7.669719084603343e-11,0.9999999999233028,0.9999999999625904,0.021221998394713,0.9787780016052868,0.989496730479994,0.0212219983180158,0.9999999963859582,M,2008-05-06,12,659
monkeyM_session-o080506002-22_lfp-1,0,ar,1,21,ok,4.1831499577087096e-11,5.765730038030482e-11,0.9999999999423428,0.9999999999713112,0.025598843133521,0.974401156866479,0.9871765487005922,0.0255988430758637,0.99999999774766,M,2008-05-06,14,20
monkeyM_session-o080506002-22_lfp-1,0,ar,1,31,ok,4.289245908416226e-11,6.824436209586987e-11,0.9999999999317556,0.999999999965933,0.0286113121377231,0.9713886878622768,0.9857931700454344,0.0286113120694788,0.9999999976147768,M,2008-05-06,0,81
monkeyM_session-o080506002-22_lfp-1,0,ar,1,38,ok,2.6921964074261088e-11,4.821598365310972e-11,0.999999999951784,0.9999999999759434,0.0278232132037024,0.9721767867962976,0.986045593010132,0.0278232131554864,0.9999999982670592,M,2008-05-06,61,256
monkeyM_session-o080506002-22_lfp-1,0,ar,1,39,ok,4.5412601533129786e-11,3.475640396193352e-11,0.9999999999652436,0.9999999999826512,0.0198075428111892,0.9801924571888108,0.9901303797275895,0.0198075427764328,0.9999999982452944,M,2008-05-06,65,401
monkeyM_session-o080506002-22_lfp-1,0,ar,1,43,ok,4.099546567324512e-11,3.9146547364542863e-11,0.9999999999608534,0.9999999999805343,0.0252987083847546,0.9747012916152452,0.9873410180404172,0.0252987083456081,0.9999999984526268,M,2008-05-06,60,13
monkeyM_session-o080506002-22_lfp-1,0,ar,1,48,ok,5.968059358051229e-11,3.0914995397536825e-11,0.999999999969085,0.9999999999845968,0.0241944762957122,0.9758055237042876,0.9878701105572796,0.0241944762647972,0.9999999987222292,M,2008-05-06,55,479
monkeyM_session-o080506002-22_lfp-1,0,ar,1,54,ok,6.201185064109842e-11,4.8127576641029176e-11,0.9999999999518724,0.9999999999765182,0.013559631457375,0.986440368542625,0.993216245402034,0.0135596314092475,0.9999999964506722,M,2008-05-06,36,70
monkeyM_session-o080506002-22_lfp-1,0,ar,1,58,ok,3.113309530698826e-11,6.294124989488875e-11,0.9999999999370588,0.9999999999686046,0.0348756522978624,0.9651243477021376,0.9829014746594888,0.0348756522349212,0.9999999981952667,M,2008-05-06,43,71
monkeyM_session-o080506002-22_lfp-1,0,ar,1,65,ok,4.5927363750063785e-11,6.504292836784087e-11,0.999999999934957,0.999999999967522,0.0197289319073045,0.9802710680926956,0.9901117017127204,0.0197289318422616,0.9999999967031704,M,2008-05-06,50,315
monkeyM_session-o080506002-22_lfp-1,0,ar,1,66,ok,4.8174303161441205e-11,6.242552813184049e-11,0.9999999999375744,0.9999999999688248,0.0338852659877668,0.9661147340122332,0.9830409406283565,0.0338852659253412,0.9999999981577384,M,2008-05-06,77,72
monkeyM_session-o080506002-22_lfp-1,0,ar,1,70,ok,2.7777552896240063e-11,3.4488254510858134e-11,0.9999999999655116,0.9999999999830872,0.0145566035235416,0.9854433964764584,0.9927221445105574,0.0145566034890533,0.9999999976307484,M,2008-05-06,92,695
monkeyM_session-o080506002-22_lfp-1,0,ar,1,77,ok,5.364589899394488e-11,5.1969853001553285e-11,0.99999999994803,0.9999999999740272,0.0289167225501085,0.9710832774498914,0.9855477402384024,0.0289167224981387,0.9999999982027752,M,2008-05-06,71,369
monkeyM_session-o080506002-22_lfp-1,0,ar,1,79,ok,2.9028169224852126e-11,8.016122572407749e-11,0.9999999999198388,0.999999999960114,0.0349842212984681,0.965015778701532,0.9826857261395788,0.0349842212183069,0.9999999977086462,M,2008-05-06,82,263
monkeyM_session-o080506002-22_lfp-1,0,ar,1,94,ok,3.7890800835117146e-11,5.909329848065841e-11,0.9999999999409068,0.9999999999704606,0.0272161771049842,0.9727838228950156,0.9863819984663372,0.0272161770458909,0.9999999978287436,M,2008-05-06,99,738
monkeyM_session-o080506002-22_lfp-1,0,ar,1,96,ok,4.294889059210805e-11,4.680818349437803e-11,0.9999999999531918,0.9999999999766584,0.0252309392387616,0.9747690607612384,0.9873757829852606,0.0252309391919534,0.99999999814481,M,2008-05-06,98,329
monkeyM_session-o080506002-22_lfp-1,0,ar,1,112,ok,5.874656978126951e-11,6.227562301437891e-11,0.9999999999377244,0.9999999999691144,0.0199705465245276,0.9800294534754724,0.990013998689122,0.019970546462252,0.9999999968816266,M,2008-05-06,121,288
monkeyM_session-o080506002-22_lfp-1,0,ar,1,113,ok,6.082137318904678e-11,3.896749277743275e-11,0.9999999999610324,0.9999999999806728,0.0158164170156972,0.9841835829843028,0.992079178955966,0.0158164169767297,0.9999999975362628,M,2008-05-06,136,628
monkeyM_session-o080506002-22_lfp-1,0,ar,1,116,ok,3.294088666162761e-11,8.585422870061705e-11,0.9999999999141458,0.9999999999570884,0.0417527001431019,0.958247299856898,0.9790185821517032,0.0417527000572477,0.9999999979437444,M,2008-05-06,116,14
monkeyM_session-o080506002-22_lfp-1,0,ar,1,117,ok,3.167249554114206e-11,4.283288309010887e-11,0.9999999999571672,0.999999999978684,0.0200969185895837,0.9799030814104164,0.9899521476006802,0.0200969185467508,0.999999997868684,M,2008-05-06,124,132
monkeyM_session-o080506002-22_lfp-1,0,ar,1,119,ok,3.744692134903285e-11,6.080868867387348e-11,0.9999999999391912,0.9999999999697986,0.0298715546540417,0.9701284453459582,0.9850856041751548,0.029871554593233,0.999999997964328,M,2008-05-06,134,550
monkeyM_session-o080506002-22_lfp-1,0,ar,1,123,ok,5.066011764788186e-11,5.3058890397514505e-11,0.9999999999469412,0.9999999999738224,0.0167238263456996,0.9832761736543004,0.9916665996327364,0.0167238262926407,0.9999999968273474,M,2008-05-06,113,228
monkeyM_session-o080506002-22_lfp-1,0,ar,1,129,ok,4.6716876677800926e-11,3.9952242403144395e-11,0.9999999999600476,0.9999999999802386,0.0331253518778788,0.9668746481221212,0.9834037721786386,0.0331253518379266,0.9999999987939072,M,2008-05-06,131,754
monkeyM_session-o080506002-22_lfp-1,0,ar,1,136,ok,2.9663558657337953e-11,4.711612259587352e-11,0.999999999952884,0.9999999999766728,0.0317766927046092,0.9682233072953907,0.984098417099914,0.031776692657493,0.9999999985172742,M,2008-05-06,166,139
monkeyM_session-o080506002-22_lfp-1,0,ar,1,139,ok,3.287813864862375e-11,7.04324307982397e-11,0.9999999999295676,0.9999999999648485,0.0304231457280025,0.9695768542719976,0.9847654089293324,0.0304231456575701,0.9999999976849064,M,2008-05-06,170,567
monkeyM_session-o080506002-22_lfp-1,0,ar,1,148,ok,2.6973205712221003e-11,4.328755766389784e-11,0.9999999999567124,0.9999999999785784,0.0287256647083406,0.9712743352916594,0.9856008121363936,0.028725664665053,0.9999999984930704,M,2008-05-06,161,737
monkeyM_session-o080506002-22_lfp-1,0,ar,1,151,ok,4.941070114602117e-11,5.7550445159912937e-11,0.9999999999424496,0.9999999999712884,0.0251706643688229,0.9748293356311772,0.9874482673987968,0.0251706643112724,0.9999999977135904,M,2008-05-06,168,227
monkeyM_session-o080506002-22_lfp-1,0,ar,1,156,ok,3.584942091325255e-11,6.629538225073053e-11,0.9999999999337046,0.9999999999668596,0.0299127360304991,0.9700872639695008,0.985044375318826,0.0299127359642037,0.9999999977837072,M,2008-05-06,159,335
