recording,outer_fold,family,max_absolute_difference,rms_difference
monkeyM_session-o080506002-22_lfp-1,0,ar,1.3048477999402094e-07,2.670511590119625e-08
monkeyM_session-o080506002-22_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-1,1,ar,2.0386656775879186e-07,3.7069163393535e-08
monkeyM_session-o080506002-22_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-1,2,ar,1.0942320465261864e-07,2.1654348676086513e-08
monkeyM_session-o080506002-22_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-1,3,ar,2.028264536403689e-07,3.163793917659319e-08
monkeyM_session-o080506002-22_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-1,4,ar,1.9057161535971078e-07,3.509814388188494e-08
monkeyM_session-o080506002-22_lfp-1,4,embedding,0.0,0.0
