recording,monkey,day,outer_fold,pole_index,real,imaginary,magnitude,frequency_hz
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,0,-0.7714462547054076,0.27427460529262,0.8187526384735644,445.6333922497702
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,1,-0.7714462547054076,-0.27427460529262,0.8187526384735644,-445.6333922497702
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,2,0.3548805254649477,0.7704299982103133,0.8482349730449817,181.29985238070176
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,3,0.3548805254649477,-0.7704299982103133,0.8482349730449817,-181.29985238070176
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,4,0.647049531854509,0.5822062188825932,0.8704235623986205,116.6123413953588
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,5,0.647049531854509,-0.5822062188825932,0.8704235623986205,-116.6123413953588
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,6,0.8271815392590333,0.4144679747847805,0.92520970650612,73.92677538314452
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,7,0.8271815392590333,-0.4144679747847805,0.92520970650612,-73.92677538314452
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,8,0.9057528774625924,0.3135653355975202,0.9584943895089588,53.04304711686329
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,9,0.9057528774625924,-0.3135653355975202,0.9584943895089588,-53.04304711686329
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,10,0.9650199345642414,0.1868128896229949,0.9829356692254412,30.43348987100278
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,11,0.9650199345642414,-0.1868128896229949,0.9829356692254412,-30.43348987100278
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,12,0.9692808776053145,0.0,0.9692808776053145,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,13,0.8436360346327538,0.1433086299813614,0.8557214046393906,26.780048868016475
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,14,0.8436360346327538,-0.1433086299813614,0.8557214046393906,-26.780048868016475
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,0,-0.7737069595180799,0.2771676551115569,0.8218542256670283,445.2521698529117
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,1,-0.7737069595180799,-0.2771676551115569,0.8218542256670283,-445.2521698529117
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,2,0.3514217596330683,0.7745419865015696,0.8505366200213837,182.2096234492032
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,3,0.3514217596330683,-0.7745419865015696,0.8505366200213837,-182.2096234492032
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,4,0.6439321468301341,0.5858193396290462,0.8705359891496026,117.48460748501424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,5,0.6439321468301341,-0.5858193396290462,0.8705359891496026,-117.48460748501424
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,6,0.8273498377170708,0.4218104979256204,0.9286720896692888,75.03889264922279
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,7,0.8273498377170708,-0.4218104979256204,0.9286720896692888,-75.03889264922279
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,8,0.907892097009255,0.3141356720364131,0.9607024931047236,53.01639513782485
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,9,0.907892097009255,-0.3141356720364131,0.9607024931047236,-53.01639513782485
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,10,0.9647094507054969,0.1866611460339134,0.9826020088108894,30.418917415511004
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,11,0.9647094507054969,-0.1866611460339134,0.9826020088108894,-30.418917415511004
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,12,0.97047700966931,0.0,0.97047700966931,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,13,0.8524933014863554,0.1412802705510555,0.8641209081639476,26.138534448684418
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,14,0.8524933014863554,-0.1412802705510555,0.8641209081639476,-26.138534448684418
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,0,-0.8327408601629576,0.0,0.8327408601629576,500.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,1,-0.7109857063819218,0.4311436473372978,0.8314959526772867,413.2424015812885
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,2,-0.7109857063819218,-0.4311436473372978,0.8314959526772867,-413.2424015812885
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,3,0.2499618862779473,0.7954797200611491,0.8338278776943078,201.54396860091543
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,4,0.2499618862779473,-0.7954797200611491,0.8338278776943078,-201.54396860091543
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,5,0.5380926774873632,0.6470282643483078,0.8415398412618996,139.5884297616442
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,6,0.5380926774873632,-0.6470282643483078,0.8415398412618996,-139.5884297616442
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,7,0.7292400917197104,0.4761182563411494,0.8709074034549873,92.0566013215012
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,8,0.7292400917197104,-0.4761182563411494,0.8709074034549873,-92.0566013215012
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,9,0.8473645635778615,0.3688110103677722,0.924147317788672,65.33564683845282
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,10,0.8473645635778615,-0.3688110103677722,0.924147317788672,-65.33564683845282
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,11,0.9066448919151868,0.2933598695477446,0.9529244319970868,49.80511339649947
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,12,0.9066448919151868,-0.2933598695477446,0.9529244319970868,-49.80511339649947
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,13,0.9679470082806056,0.1863697608011746,0.9857256710568424,30.273425160917395
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,14,0.9679470082806056,-0.1863697608011746,0.9857256710568424,-30.273425160917395
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,15,0.9505103216884306,0.0,0.9505103216884306,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,16,0.9119012158718472,0.0,0.9119012158718472,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,17,0.4443725081686878,0.0,0.4443725081686878,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,0,-0.7782834326239777,0.0,0.7782834326239777,500.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,1,-0.68370780845074,0.4022496874794412,0.7932598429353536,415.36161901033546
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,2,-0.68370780845074,-0.4022496874794412,0.7932598429353536,-415.36161901033546
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,3,0.2768151430823846,0.8175196124454112,0.8631135152299587,198.03808571039173
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,4,0.2768151430823846,-0.8175196124454112,0.8631135152299587,-198.03808571039173
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,5,0.578889359994216,0.6645263188364332,0.8813104558217916,135.94409258115465
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,6,0.578889359994216,-0.6645263188364332,0.8813104558217916,-135.94409258115465
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,7,0.770252932550529,0.4844691097093143,0.9099449974395296,89.3578546335181
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,8,0.770252932550529,-0.4844691097093143,0.9099449974395296,-89.3578546335181
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,9,0.8704969075383743,0.3639306671716726,0.9435096165603676,63.02348636247807
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,10,0.8704969075383743,-0.3639306671716726,0.9435096165603676,-63.02348636247807
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,11,0.9134210918369048,0.2815430909484112,0.9558266595326314,47.585633694460405
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,12,0.9134210918369048,-0.2815430909484112,0.9558266595326314,-47.585633694460405
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,13,0.9702099860059508,0.1854660528931068,0.987777846340672,30.061503793742485
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,14,0.9702099860059508,-0.1854660528931068,0.987777846340672,-30.061503793742485
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,15,0.9496110277436294,0.0333052408490293,0.9501948974185896,5.579676027967763
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,16,0.9496110277436294,-0.0333052408490293,0.9501948974185896,-5.579676027967763
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,0,-0.7712301051938603,0.2774251033701639,0.8196100067332505,445.0429024292189
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,1,-0.7712301051938603,-0.2774251033701639,0.8196100067332505,-445.0429024292189
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,2,0.3520417484997913,0.772542825217806,0.8489733856148259,181.94893099495297
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,3,0.3520417484997913,-0.772542825217806,0.8489733856148259,-181.94893099495297
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,4,0.6444914393443275,0.5824583827471389,0.8686926861787979,116.96016985190626
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,5,0.6444914393443275,-0.5824583827471389,0.8686926861787979,-116.96016985190626
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,6,0.8251379579198204,0.4200682157513759,0.9259103387934684,74.94477630293089
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,7,0.8251379579198204,-0.4200682157513759,0.9259103387934684,-74.94477630293089
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,8,0.9079555643273444,0.3156802406860255,0.9612685998994108,53.25463209646127
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,9,0.9079555643273444,-0.3156802406860255,0.9612685998994108,-53.25463209646127
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,10,0.965120654989052,0.1872391760114411,0.9831156532778532,30.498143865792606
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,11,0.965120654989052,-0.1872391760114411,0.9831156532778532,-30.498143865792606
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,12,0.97061005036961,0.0,0.97061005036961,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,13,0.8490367879121311,0.1356148176322293,0.8597993056461327,25.208534014195283
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,14,0.8490367879121311,-0.1356148176322293,0.8597993056461327,-25.208534014195283
