row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_25Hz_log10_peak_psd,25_40Hz_log10_peak_psd,12_25Hz_peak_frequency_hz,25_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
0,8,546,1,2,short,5.599001844432635,5.838526936630537,19.6,35.0,4.880631472501327,5.6890877808483165,5.824165150461919,6.682012501774388,6.632510206736726
1,28,448,1,1,short,5.48401287602039,6.114357903165825,25.0,29.1,5.933273896772244,6.622935198547734,6.062225204890419,6.9207282530053105,6.756451704154938
2,3,752,1,2,short,5.308714101208313,5.871652635863287,12.700000000000001,31.1,5.5698406509539895,5.589734702836331,5.752975391713268,6.493870537124384,6.67754529321942
3,5,99,1,0,short,5.7730532922412845,5.8914065123542585,25.0,34.0,6.241871885666025,6.261675812125754,5.904956763846617,6.764968433831928,6.708615478572086
4,18,265,1,4,short,5.298124745889022,6.071299423676287,25.0,32.9,5.0551018165052435,5.7713514855938985,5.58366301611286,6.545042985996727,6.9477664348447545
5,22,87,1,2,short,5.375161025222023,6.2251694321594595,25.0,30.6,5.566886748922585,5.925119054009028,5.889996919533194,6.8773013095724,6.913390903901069
6,10,22,1,0,short,5.256178136525687,6.341321484314044,20.200000000000003,30.1,5.815785782764598,6.335024164943361,5.870338299333536,6.8850791757666,6.897702918403932
7,27,264,1,3,short,5.741085302776922,6.130716978601475,25.0,28.6,5.976047963464803,5.570303545284271,6.050583000932444,6.951901294869724,6.769615017548792
8,31,244,1,4,short,5.234290651962258,5.912582110221081,16.400000000000002,31.400000000000002,6.188905954943933,6.029924590581387,5.6238826404144735,6.487269617717232,6.7121893885527655
9,16,545,1,4,short,5.305342938996957,5.752743791457877,25.0,29.0,5.680137490185009,5.796391420306507,5.301285267191732,6.473313216553508,6.401385416513153
10,9,158,1,4,short,5.583487827604869,5.79061584749757,20.900000000000002,30.0,5.29294432873562,6.113192996383906,5.445988092027307,6.739576060669119,6.472031163981647
11,23,386,1,3,short,5.552128709447171,6.04300776878619,25.0,29.1,5.035739846062843,5.574474215781065,5.725265849431009,6.5608120762858215,6.844185594097223
12,7,609,1,2,short,5.336165108179737,5.808403219846115,12.0,33.4,6.900376350801055,6.656169730503086,6.089092427098102,6.422573695459091,6.592640321721333
13,25,216,1,1,short,5.363922307963418,6.537677258133199,14.700000000000001,29.8,5.833134764960137,5.908158728009353,5.895278273757985,7.081271569285849,6.856706224461069
14,13,485,1,1,short,5.671199502098869,5.931000570682751,21.0,32.0,5.841140991683372,5.424627674747354,5.773851049760576,6.694105402877076,6.739878234594017
15,12,659,1,0,short,5.354747092872149,5.660194359167274,14.3,34.800000000000004,4.817181514499486,5.91409166975841,6.089118867209112,6.304517939767927,6.5968880967170795
16,1,224,1,4,short,5.25036401349997,5.820489776789488,14.200000000000001,32.300000000000004,5.827842628593471,5.765339290671448,5.3357946419979285,6.24571746844458,6.572657759023636
17,24,513,1,1,short,5.2763943796889,6.151714710028263,13.4,30.200000000000003,5.498259573056071,5.846745535096913,6.0359843360537795,6.609432232248135,6.597305304115117
18,21,548,1,3,short,5.131606791126488,5.443119345765777,25.0,28.700000000000003,5.8915787475761165,5.778720348670502,5.970955378084091,6.243166966340344,6.340828213929167
19,17,74,1,0,short,5.246162965805071,5.612823139041483,14.5,33.800000000000004,5.263942867116497,5.73696664312446,5.906604263491949,6.24807663222074,6.482539436977525
20,33,349,1,2,short,5.40582576350184,5.485786516446884,16.5,36.2,4.710784076824595,5.817014261244426,5.662356427724073,6.313973646459259,6.201980485067405
21,19,336,1,3,short,5.126489773278489,5.7886720091100035,15.3,29.700000000000003,5.478968362864043,6.113774647115408,5.233349326829343,6.389292187473825,6.4209736878081225
22,30,649,1,1,short,5.856739354624006,6.507205594705107,25.0,29.6,5.225172841849057,5.382054211471122,5.3622329874022965,7.267037200266731,6.919868777350867
23,4,661,1,3,short,5.078578691002647,5.950570617733095,21.1,31.5,5.598564091587846,5.432177108399858,5.753085038816034,6.346258881424639,6.629837527534625
24,0,81,1,3,short,5.3509675751930175,5.579864281773693,18.6,35.2,5.0777427773472885,5.777452145039245,5.943496437124702,6.188427557874267,6.267433874393115
25,32,306,1,2,short,4.981463627840505,5.445776294821997,25.0,33.5,5.587383488912508,5.477811051537751,5.27080605579783,6.120492398468949,6.213306893864529
26,29,620,1,0,short,4.890255889085483,5.122023338433648,25.0,30.700000000000003,6.686386743593563,6.43634353051291,5.704629572961276,5.723470110345507,5.988476828312762
27,26,217,1,1,short,5.140514857762083,5.675137841949767,16.7,30.8,4.971243082526051,6.11870898686863,5.317611034958947,6.168328448509991,6.29763485629879
28,15,745,1,0,short,5.0318696522617765,5.505698437199787,20.700000000000003,35.4,5.032943635456663,5.511382872785255,5.642665259677553,6.093268309270097,6.360807453751454
29,2,658,1,0,short,5.3685731532450705,5.33009895916688,24.1,25.0,5.712901990821287,5.954169346123981,5.122984820802213,6.251050648538898,5.841307413606036
30,14,20,1,1,short,5.299034947411313,5.306917965992217,25.0,25.6,5.063452725515841,5.703877539902505,5.5487916357198985,6.328499497243949,5.9599942520473554
31,20,451,1,4,short,5.295226428194603,5.423756830364128,16.2,35.7,5.189005864883725,5.727014412331885,5.749069676773343,6.401004178518218,6.264294757045273
32,11,55,1,2,short,5.424738816214626,5.733544827598816,24.6,31.5,5.562323215086107,5.531053367662053,5.723954672172552,6.25722351374813,6.659698999228558
33,66,248,2,3,short,5.791695792254875,6.08109890489926,25.0,27.900000000000002,5.867397272207928,5.932230447501444,5.722579956038349,7.005686538787514,6.738396591616989
34,64,128,2,4,short,5.205287917017582,5.662260115111556,18.7,31.3,6.226377254315703,6.016906241912305,5.768634957633581,6.337976124171312,6.388973938580551
35,45,168,2,0,short,5.692130822505676,5.878326223538192,25.0,27.200000000000003,5.629443951231024,6.432933949479737,6.099284835288805,6.789939884941565,6.093633560636181
36,68,118,2,4,short,5.254745786527011,6.107542099273412,16.400000000000002,30.5,5.019329363165629,4.619323509183175,4.517142126799904,6.505532019812373,6.743733078596655
37,57,424,2,3,short,5.484852239801375,6.030264827031159,19.1,29.6,5.811743720890851,5.362750997980345,5.7592660847541985,6.687133233080629,6.652401645572147
38,43,71,2,4,short,5.3148730367253485,5.933543805861307,12.4,31.200000000000003,5.2658008561447005,5.055954310030867,5.870076324390021,6.319802843402559,6.817289790440403
39,42,15,2,2,short,5.680855238530612,6.454608093196723,15.8,30.5,6.065956811457659,6.07483280599068,5.5831884062202395,6.956888807562124,6.973099723461924
40,53,748,2,4,short,5.9943638474099314,6.662864894605112,25.0,29.0,5.6630157808509365,5.676967646885416,5.570382879152477,7.3813898759149055,6.724365070228532
41,63,395,2,2,short,5.264118554875234,6.270397874633991,15.5,30.900000000000002,5.371868628510187,5.598468592129946,5.755374607992798,6.6032289629403245,6.893570150053352
42,67,719,2,0,short,5.281298102273031,6.435905729023448,25.0,30.400000000000002,4.866302004687041,5.994889578872622,5.84858657562396,7.0300063415842855,7.06526175743193
43,65,401,2,0,short,5.540096614964127,6.451515958758416,25.0,29.0,5.710966245646496,5.047716332729998,5.190349471024249,7.138112067965859,6.794025277060619
44,47,322,2,4,short,5.625146140884958,5.7967124113580795,25.0,27.0,6.001168550660371,5.55371171279424,5.31700673165641,6.659832221158788,6.184273175279457
45,37,301,2,3,short,5.553883540405628,6.2950590390725285,25.0,30.5,5.883718845347147,5.8193183288378245,5.506535666949606,6.743470917638052,6.9619149022572735
46,34,676,2,3,short,5.516864825913705,5.948150857232793,25.0,28.700000000000003,5.7842952883287815,6.3136430339115215,5.906997793827446,6.761375713538499,6.609358638361223
47,39,671,2,4,short,5.132421844544921,5.732186595122217,12.0,32.800000000000004,5.120786341926922,5.456851223861086,5.725182787425437,5.732930998044927,6.499212472884397
48,59,313,2,3,short,5.37900662353905,6.105916454425334,25.0,34.1,5.836327210159734,6.023453607084368,5.733113569616336,6.46515334176003,6.874553567362296
49,51,155,2,1,short,4.768812802233774,5.91842913691496,21.900000000000002,31.5,6.101245555159961,5.8929592104380975,5.568186231975844,5.936658757577139,6.6225160995313965
50,41,505,2,0,short,4.799904976790437,5.491172404721777,14.3,34.2,5.751523317163058,5.331323945052352,5.765821554941739,5.825266926108,6.285702380531382
51,36,70,2,1,short,5.376430311020128,5.6614106683970356,17.3,32.9,5.6945708819474,5.918664079964305,6.006386079210662,6.31754131687522,6.478200564712617
52,38,408,2,1,short,5.681624500629714,6.418789108087609,25.0,29.8,5.894162613853197,6.047866869304205,6.032547819999437,7.060816686850175,6.968181241920242
53,52,482,2,0,short,5.5252851010942114,5.349324837359053,17.1,33.9,4.803779631596772,5.175617196428298,5.3793173306230395,6.265483772707154,6.145957667013354
54,55,479,2,4,short,5.840519210663572,6.225691007965657,25.0,29.8,4.615363485937083,5.393914113483683,5.320819797508422,6.998441859044671,6.820050678988593
55,54,103,2,0,short,5.346382534980675,5.457686475223339,25.0,29.400000000000002,5.314381935916822,5.742951587712001,5.482499956060686,6.481051598998352,6.214273076498932
56,35,245,2,2,short,5.607548802722306,6.421081144506749,25.0,29.0,5.134791563463408,5.967383853541984,5.536732569923919,7.095700048037568,6.660047206130201
57,46,756,2,1,short,5.90528201900855,6.455770346363906,17.7,30.1,5.199472027614055,5.246722073826258,5.662067038377972,7.0952764434822555,6.963808500066692
58,40,262,2,3,short,5.5862517562542005,5.851905092117905,12.0,28.3,5.502215289680051,6.653560070575856,6.700689995846256,6.8422780849279565,6.689190596550515
59,62,585,2,2,short,5.273732174175091,6.287004609645422,25.0,29.200000000000003,4.70853904024642,5.502731144489214,5.799499222354584,6.9123147178790765,6.681478309977963
