recording,monkey,analysis,fold,dimension,tau_samples,n_training_trials,tau_method,robust_peaks_hz,adjustment
monkeyM_session-o080506002-22_lfp-2,M,short,0,3,11,158,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,short,1,3,11,158,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,short,2,3,11,158,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,short,3,3,11,159,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,short,4,3,11,159,ami_first_local_minimum,[32.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,0,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,1,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,2,3,11,139,ami_first_local_minimum,[32.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,3,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,4,3,11,140,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_long,0,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_long,1,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_long,2,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_long,3,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_long,4,3,11,140,ami_first_local_minimum,[30.0],
