recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,all_bands,0.1870306360569643,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_frequency,0.1548250754912699,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,peak_power,0.1483194914798688,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,power_frequency,0.1562626356993397,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus,0.2014674535522736,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_all_bands,0.2134091840366571,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_pca,0.1720307857889387,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_long,torus_power_frequency,0.1773434323432909,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_short,all_bands,0.1818565542974397,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_short,peak_frequency,0.1562978376205362,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_short,peak_power,0.1823122758788021,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_short,power_frequency,0.1832784357844291,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_short,torus,0.1552981055297303,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_short,torus_all_bands,0.1633882907716579,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_short,torus_pca,0.2172135776895832,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,matched_short,torus_power_frequency,0.1559838991417938,174
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,short,all_bands,0.1586216415102203,198
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,short,peak_frequency,0.1954047408792617,198
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,short,peak_power,0.1905647966638927,198
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,short,power_frequency,0.2165124390965634,198
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,short,torus,0.1629934229298636,198
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,short,torus_all_bands,0.1664082504052069,198
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,short,torus_pca,0.1705596254211618,198
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,short,torus_power_frequency,0.1712158488277891,198
