row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay
0,8,546,1,2,short
1,28,448,1,1,short
2,3,752,1,2,short
3,5,99,1,0,short
4,18,265,1,4,short
5,22,87,1,2,short
6,10,22,1,0,short
7,27,264,1,3,short
8,31,244,1,4,short
9,16,545,1,4,short
10,9,158,1,4,short
11,23,386,1,3,short
12,7,609,1,2,short
13,25,216,1,1,short
14,13,485,1,1,short
15,12,659,1,0,short
16,1,224,1,4,short
17,24,513,1,1,short
18,21,548,1,3,short
19,17,74,1,0,short
20,33,349,1,2,short
21,19,336,1,3,short
22,30,649,1,1,short
23,4,661,1,3,short
24,0,81,1,3,short
25,32,306,1,2,short
26,29,620,1,0,short
27,26,217,1,1,short
28,15,745,1,0,short
29,2,658,1,0,short
30,14,20,1,1,short
31,20,451,1,4,short
32,11,55,1,2,short
33,66,248,2,3,short
34,64,128,2,4,short
35,45,168,2,0,short
36,68,118,2,4,short
37,57,424,2,3,short
38,43,71,2,4,short
39,42,15,2,2,short
40,53,748,2,4,short
41,63,395,2,2,short
42,67,719,2,0,short
43,65,401,2,0,short
44,47,322,2,4,short
45,37,301,2,3,short
46,34,676,2,3,short
47,39,671,2,4,short
48,59,313,2,3,short
49,51,155,2,1,short
50,41,505,2,0,short
51,36,70,2,1,short
52,38,408,2,1,short
53,52,482,2,0,short
54,55,479,2,4,short
55,54,103,2,0,short
56,35,245,2,2,short
57,46,756,2,1,short
58,40,262,2,3,short
59,62,585,2,2,short
60,60,13,2,1,short
61,44,167,2,3,short
62,49,112,2,2,short
63,61,256,2,1,short
64,56,157,2,2,short
65,48,477,2,0,short
66,97,277,3,0,short
67,71,369,3,2,short
68,69,551,3,3,short
69,90,741,3,4,short
70,83,94,3,3,short
71,99,738,3,4,short
72,91,93,3,2,short
73,76,555,3,1,short
74,98,329,3,0,short
75,75,57,3,1,short
76,95,291,3,1,short
77,101,23,3,2,short
78,84,173,3,4,short
79,94,405,3,1,short
80,92,695,3,0,short
81,81,560,3,3,short
82,80,307,3,2,short
83,73,406,3,0,short
84,100,633,3,4,short
85,77,72,3,0,short
86,74,473,3,1,short
87,79,778,3,2,short
88,87,41,3,2,short
89,93,293,3,1,short
90,96,496,3,3,short
91,88,18,3,4,short
92,72,199,3,4,short
93,82,263,3,0,short
94,85,470,3,3,short
95,89,211,3,3,short
96,86,374,3,1,short
97,78,577,3,2,short
98,70,97,3,3,short
99,113,228,4,1,short
100,127,384,4,4,short
101,129,203,4,0,short
102,130,276,4,1,short
103,135,21,4,1,short
104,117,771,4,4,short
105,138,40,4,0,short
106,134,550,4,0,short
107,136,628,4,0,short
108,104,491,4,2,short
109,107,768,4,4,short
110,126,457,4,2,short
111,122,568,4,1,short
112,110,642,4,1,short
113,109,458,4,4,short
114,106,232,4,2,short
115,115,19,4,3,short
116,137,490,4,1,short
117,118,131,4,0,short
118,139,480,4,3,short
119,108,316,4,0,short
120,125,634,4,3,short
121,111,294,4,3,short
122,128,129,4,0,short
123,124,132,4,4,short
124,123,774,4,3,short
125,132,314,4,4,short
126,121,288,4,1,short
127,102,587,4,2,short
128,116,14,4,2,short
129,140,125,4,4,short
130,119,461,4,2,short
131,133,363,4,3,short
132,146,767,5,4,short
133,163,557,5,3,short
134,169,255,5,0,short
135,154,338,5,2,short
136,168,227,5,1,short
137,175,194,5,2,short
138,159,335,5,2,short
139,143,429,5,3,short
140,155,225,5,0,short
141,156,766,5,0,short
142,153,769,5,3,short
143,151,36,5,4,short
144,142,646,5,4,short
145,172,53,5,1,short
146,167,286,5,0,short
147,141,601,5,0,short
148,144,476,5,1,short
149,173,137,5,2,short
150,164,511,5,2,short
151,166,139,5,1,short
152,174,412,5,3,short
153,148,627,5,4,short
154,150,652,5,4,short
155,157,281,5,2,short
156,165,397,5,3,short
157,160,341,5,4,short
158,161,737,5,0,short
159,171,6,5,2,short
160,152,327,5,3,short
161,170,567,5,1,short
162,149,229,5,1,short
163,162,138,5,4,short
164,145,102,5,3,short
165,184,472,6,3,short
166,189,740,6,4,short
167,203,362,6,1,short
168,211,519,6,2,short
169,186,573,6,1,short
170,181,498,6,4,short
171,198,12,6,3,short
172,202,746,6,1,short
173,199,684,6,0,short
174,195,383,6,0,short
175,188,151,6,3,short
176,210,514,6,0,short
177,187,5,6,3,short
178,179,326,6,4,short
179,196,11,6,1,short
180,183,689,6,3,short
181,200,250,6,0,short
182,208,776,6,4,short
183,178,455,6,2,short
184,194,393,6,2,short
185,182,666,6,4,short
186,177,145,6,4,short
187,192,278,6,2,short
188,185,120,6,1,short
189,190,243,6,2,short
190,197,189,6,2,short
191,212,146,6,2,short
192,193,590,6,3,short
193,191,127,6,0,short
194,209,68,6,1,short
195,176,610,6,0,short
196,206,122,6,1,short
197,201,320,6,0,short
