recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,1,1,0.0004251552741151,4.604415079596918e-06,0.0260402868915145,5,12.72139033424314
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,1,10,0.5194771178512967,0.0049627321491222,1.830107396104689,5,12.72139033424314
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,2,1,0.0009521785268808,1.0093934572217664e-05,0.0260402868915145,5,6.33103022068201
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,2,10,0.5711929899533432,0.0053213864652482,1.830107396104689,5,6.33103022068201
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,5,1,0.0038234171040156,3.698956776166463e-05,0.0260402868915145,5,2.458531825489257
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,5,10,0.7184650634195904,0.0058558998070579,1.830107396104689,5,2.458531825489257
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,10,1,0.0134272137506408,0.0001210569227858,0.0260402868915145,5,1.1292407606180257
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,10,10,0.933703798288554,0.0041841801747759,1.830107396104689,5,1.1292407606180257
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,15,1,0.025097766474526,0.0002865888013062,0.0260402868915145,5,1.4559008090660517
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,15,10,0.9796332713618024,0.0037860336522769,1.830107396104689,5,1.4559008090660517
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,20,1,0.0221682100501655,0.0001519330814502,0.0260402868915145,5,1.3292947158141135
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,20,10,0.8097355793998624,0.0075698058027432,1.830107396104689,5,1.3292947158141135
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,25,1,0.0198572874068058,0.0001351942397338,0.0260402868915145,5,1.1664381584324084
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,25,10,0.8702263968532055,0.0056221806459273,1.830107396104689,5,1.1664381584324084
monkeyM_session-o080506002-22_lfp-2,M,embedding,0,2,30,1,0.0250308788093897,0.0002632033880704,0.0260402868915145,5,1.6034722049630443
