recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyM_session-o080506002-22_lfp-2,M,ar,1,0,1,1,0.0258928417531446,0.0002741570358034,0.0260402868915145,5,1.0000000000000002
monkeyM_session-o080506002-22_lfp-2,M,ar,1,0,1,10,1.6381120710758457,0.0158812789670978,1.830107396104689,5,1.0000000000000002
monkeyM_session-o080506002-22_lfp-2,M,ar,2,0,1,1,0.0004251552741151,4.604415079596918e-06,0.0260402868915145,5,12.72139033424314
monkeyM_session-o080506002-22_lfp-2,M,ar,2,0,1,10,0.6059954646787196,0.0073073833489786,1.830107396104689,5,12.72139033424314
monkeyM_session-o080506002-22_lfp-2,M,ar,3,0,1,1,1.1567977359430083e-05,8.483084723569859e-08,0.0260402868915145,5,206.24964078532307
monkeyM_session-o080506002-22_lfp-2,M,ar,3,0,1,10,0.2226799937717963,0.0018920409556023,1.830107396104689,5,206.24964078532307
monkeyM_session-o080506002-22_lfp-2,M,ar,4,0,1,1,6.758379599136208e-07,6.034159719435541e-09,0.0260402868915145,5,2692.67976875887
monkeyM_session-o080506002-22_lfp-2,M,ar,4,0,1,10,0.1232727986454768,0.0011341955513191,1.830107396104689,5,2692.67976875887
monkeyM_session-o080506002-22_lfp-2,M,ar,5,0,1,1,2.8789130446400477e-08,2.0443069675075442e-10,0.0260402868915145,5,22648.0679669013
monkeyM_session-o080506002-22_lfp-2,M,ar,5,0,1,10,0.0348316734105316,0.0002967145011803,1.830107396104689,5,22648.0679669013
monkeyM_session-o080506002-22_lfp-2,M,ar,6,0,1,1,2.1678306524378673e-09,2.905585623509179e-11,0.0260402868915145,5,222329.42613484064
monkeyM_session-o080506002-22_lfp-2,M,ar,6,0,1,10,0.0136440329625704,0.0001795355273799,1.830107396104689,5,222329.42613484064
monkeyM_session-o080506002-22_lfp-2,M,ar,7,0,1,1,2.52650516685721e-10,3.108630155963189e-12,0.0260402868915145,5,1637160.779503581
monkeyM_session-o080506002-22_lfp-2,M,ar,7,0,1,10,0.0062364724401346,6.276848437370506e-05,1.830107396104689,5,1637160.779503581
monkeyM_session-o080506002-22_lfp-2,M,ar,8,0,1,1,4.812747360488601e-11,5.909635928263644e-13,0.0260402868915145,5,9530517.933333308
monkeyM_session-o080506002-22_lfp-2,M,ar,8,0,1,10,0.0030335962764955,3.789452399762411e-05,1.830107396104689,5,9530517.933333308
monkeyM_session-o080506002-22_lfp-2,M,ar,9,0,1,1,2.926908314708556e-11,2.2539305425845802e-13,0.0260402868915145,5,41869885.039979376
monkeyM_session-o080506002-22_lfp-2,M,ar,9,0,1,10,0.0020943081562925,2.045028959060805e-05,1.830107396104689,5,41869885.039979376
monkeyM_session-o080506002-22_lfp-2,M,ar,10,0,1,1,2.818388069014536e-11,2.160539078499248e-13,0.0260402868915145,5,92498980.56121464
monkeyM_session-o080506002-22_lfp-2,M,ar,10,0,1,10,0.0022467149618974,2.0719033333364937e-05,1.830107396104689,5,92498980.56121464
monkeyM_session-o080506002-22_lfp-2,M,ar,11,0,1,1,2.080896590337553e-11,1.151534041436001e-13,0.0260402868915145,5,114102475.88681012
monkeyM_session-o080506002-22_lfp-2,M,ar,11,0,1,10,0.0018413623310865,1.6504632923349053e-05,1.830107396104689,5,114102475.88681012
monkeyM_session-o080506002-22_lfp-2,M,ar,12,0,1,1,2.0800002064211158e-11,1.1632426383882402e-13,0.0260402868915145,5,119735534.36045551
monkeyM_session-o080506002-22_lfp-2,M,ar,12,0,1,10,0.0018344221759364,1.613254096819579e-05,1.830107396104689,5,119735534.36045551
monkeyM_session-o080506002-22_lfp-2,M,ar,13,0,1,1,1.8569474228341318e-11,1.2070922903191277e-13,0.0260402868915145,5,122619260.3912878
monkeyM_session-o080506002-22_lfp-2,M,ar,13,0,1,10,0.0017728308365126,1.7503234519602575e-05,1.830107396104689,5,122619260.3912878
monkeyM_session-o080506002-22_lfp-2,M,ar,14,0,1,1,1.8279602548510883e-11,1.152223324354495e-13,0.0260402868915145,5,124766171.37223624
monkeyM_session-o080506002-22_lfp-2,M,ar,14,0,1,10,0.0017161427617843,1.5849250183158126e-05,1.830107396104689,5,124766171.37223624
monkeyM_session-o080506002-22_lfp-2,M,ar,15,0,1,1,1.7349187746044078e-11,1.0965250267144245e-13,0.0260402868915145,5,126592941.3312351
monkeyM_session-o080506002-22_lfp-2,M,ar,15,0,1,10,0.0016930300946109,1.529505849188171e-05,1.830107396104689,5,126592941.3312351
monkeyM_session-o080506002-22_lfp-2,M,ar,16,0,1,1,1.7070085130642104e-11,1.140794402128709e-13,0.0260402868915145,5,128187055.37636656
monkeyM_session-o080506002-22_lfp-2,M,ar,16,0,1,10,0.0016559813109806,1.540628192756977e-05,1.830107396104689,5,128187055.37636656
monkeyM_session-o080506002-22_lfp-2,M,ar,17,0,1,1,1.6882042833954724e-11,1.0719490138891177e-13,0.0260402868915145,5,129473130.96614744
monkeyM_session-o080506002-22_lfp-2,M,ar,17,0,1,10,0.0016587032727031,1.514130257706051e-05,1.830107396104689,5,129473130.96614744
monkeyM_session-o080506002-22_lfp-2,M,ar,18,0,1,1,1.6693833008668002e-11,1.0448576166550043e-13,0.0260402868915145,5,130470987.90255454
monkeyM_session-o080506002-22_lfp-2,M,ar,18,0,1,10,0.0016409643778239,1.5038090101731e-05,1.830107396104689,5,130470987.90255454
monkeyM_session-o080506002-22_lfp-2,M,ar,19,0,1,1,1.666596090090874e-11,1.0543077122089862e-13,0.0260402868915145,5,131339163.09427851
monkeyM_session-o080506002-22_lfp-2,M,ar,19,0,1,10,0.0016454020193722,1.5237810242559429e-05,1.830107396104689,5,131339163.09427851
monkeyM_session-o080506002-22_lfp-2,M,ar,20,0,1,1,1.6498248693510993e-11,9.910142075844554e-14,0.0260402868915145,5,132055127.62856348
monkeyM_session-o080506002-22_lfp-2,M,ar,20,0,1,10,0.001635367628159,1.4744975926316024e-05,1.830107396104689,5,132055127.62856348
