recording,monkey,day,outer_fold,family,horizon_ms,coefficient_index,lag_ms,value,kind
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,0,-1,4.138295909509454e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,1,0,8.1021723523074,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,2,1,-28.84888957081049,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,3,2,57.62277354298097,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,4,3,-66.03611761159496,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,5,4,32.88623105584461,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,6,5,16.41862078837768,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,7,6,-32.63616394698172,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,8,7,7.618994662430088,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,9,8,18.04368777346418,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,10,9,-14.449894834067951,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,11,10,-5.229182874070299,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,12,11,15.637206507092424,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,13,12,-12.144109551505084,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,14,13,5.048855076315699,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,15,14,-1.1467851269494669,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,1,16,15,0.1126006830644031,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,0,-1,8.421003348194761e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,1,0,8.087289593030556,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,2,1,-29.429511422221005,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,3,2,63.25827539782742,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,4,3,-88.52952351491626,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,5,4,83.67109598325384,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,6,5,-53.41476008917076,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,7,6,22.213888568645064,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,8,7,-5.461701750505749,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,1,9,8,0.6049460914885213,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,0,-1,0.0001117949356396,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,1,0,9510.74426995576,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,2,1,-63454.27548109329,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,3,2,189135.28991541697,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,4,3,-328596.1871993175,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,5,4,363667.0528235509,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,6,5,-262384.1231774744,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,7,6,120464.88422242193,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,8,7,-32165.23350081707,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,10,9,8,3822.829735530643,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,0,-1,7.575796500541854e-10,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,1,0,8.10910408980972,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,2,1,-28.909932586718543,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,3,2,57.86425416599531,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,4,3,-66.59463766045513,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,5,4,33.70182489135242,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,6,5,15.67931257252306,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,7,6,-32.28931415160236,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,8,7,7.61635216892672,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,9,8,18.02182414623684,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,10,9,-14.594500136286728,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,11,10,-5.0011556587511,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,12,11,15.473087469069055,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,13,12,-12.07728934354366,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,14,13,5.033572768038213,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,15,14,-1.1450032913220578,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,16,15,0.1124994224052086,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,0,-1,7.198650328610334e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,1,0,8.09337770858719,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,2,1,-29.47556656646958,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,3,2,63.41239203885105,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,4,3,-88.82748241860892,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,5,4,84.03509491523613,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,6,5,-53.702480998867216,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,7,6,22.35759148142105,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,8,7,-5.503164448904768,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,9,8,0.6102371135973026,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,0,-1,7.200061638674288e-05,intercept
