recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,ar,ok,16,0,1,0.0016513059025216,3.881969374746518e-05,0.0016296721492151,0.0016695478457492,False,17,125735975.33343412,125911889.5513129,ok
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,0,embedding,ok,0,9,1,0.0020870239837103,5.086221605557338e-05,0.0020870239837103,0.0021378861997658,True,10,41412483.940337,41402717.72415523,ok
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,ok,16,0,1,0.0016802005266899,5.225115761437675e-05,0.0016582356242603,0.0017097757400269,False,17,125660257.63864404,125809303.21472268,ok
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,ok,0,9,1,0.0021227195430256,6.0790292995346313e-05,0.0021227195430256,0.002183509836021,True,10,41143268.86979546,41137653.63637753,ok
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,ok,16,0,1,0.0016377994761954,2.7154575670115785e-05,0.0016180447917037,0.0016449246255503,False,17,126001704.73161398,126151547.1612479,ok
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,ok,0,9,1,0.0020681909967411,3.267680737486027e-05,0.0020681909967411,0.0021008678041159,True,10,41599633.57689949,41597771.631019495,ok
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,ok,16,0,1,0.0016531234420181,2.8914988649648454e-05,0.0016327799346973,0.0016600101912878,False,17,126561760.08402574,126973616.17122288,ok
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,ok,0,9,1,0.0020871840018075,2.996029078782992e-05,0.0020871840018075,0.0021171442925953,True,10,41134029.24410637,41132142.67796183,ok
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,ok,16,0,1,0.0016574772074783,3.0845822650588235e-05,0.0016381056409187,0.0016661233648214,False,17,124845835.18230516,125048496.06715073,ok
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,ok,0,9,1,0.0021019025751253,2.878565823911541e-05,0.0021019025751253,0.0021306882333644,True,10,40716106.60289421,40711793.95640458,ok
