row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,mode_1_G_0_0,mode_1_G_0_1,mode_1_G_0_2,mode_1_G_1_1,mode_1_G_1_2,mode_1_G_2_2,residual_rmse_lag_0,residual_rmse_lag_1,residual_rmse_lag_2,normalized_error,held_out_in_this_feature_fit
0,5,159,1,1,short,0.28589447111975885,-0.07845003789414158,-0.18352454692040251,0.22019650481876268,-0.08485536899466908,0.20983758184501639,0.8185936127728854,0.8175397801102479,0.8113306107100537,0.8480885782610517,False
1,6,16,1,4,short,0.2147894650556204,-0.10558356744647204,-0.06983787199441778,0.1678625532561882,-0.09046035470900879,0.1569994680823992,0.794620644992449,0.7954682133569067,0.8087126081980691,0.8767417455174688,True
2,12,566,1,4,short,0.4279999346775026,-0.11861419975534376,-0.2452674197965694,0.32053105941795385,-0.10367993037569954,0.24298044070281927,1.0816125743372789,1.1554134882710556,1.145085207947851,0.88528458773689,True
3,20,673,1,2,short,0.36746033195911243,-0.10821034511149125,-0.23445833342996342,0.2774889019500836,-0.08794908860455473,0.24994008582228905,0.9733104954374396,1.0333141525868443,1.0300505057598646,0.8733237560356895,False
4,28,263,1,3,short,0.741586136606579,-0.2739991571040159,-0.40805887954216125,0.6647038372967015,-0.23330305783623878,0.48632640822586626,1.0776487241464088,1.0729474451342884,1.0254820400205815,0.7806090872379742,False
5,9,389,1,4,short,0.08170266772369256,-0.03266129063284286,-0.04953628189670306,0.09240364803848612,-0.03600182198299457,0.0692807149594503,0.704732396314455,0.7027340745236448,0.6924120945150336,0.9235706114302052,True
6,2,684,1,0,short,1.017426923306394,-0.3006437159228528,-0.5535629164552233,0.8601644809694907,-0.42731224475634655,0.7538417016552055,0.893403090598791,0.9489163953699951,0.9772797825822209,0.6685887153533439,False
7,31,437,1,3,short,0.28866194451732774,-0.15490367632468044,-0.1672568015313136,0.36632522842570636,-0.18157106179372823,0.3568612086676149,0.7149861152409811,0.7546115566468069,0.7578890311573736,0.7659403493297532,False
8,15,56,1,3,short,0.4958852116643187,-0.2545744726009467,-0.19922811287029102,0.4593495405565162,-0.21710955179030303,0.3904222529334111,0.9422486268663391,0.9511579144492344,0.9275509214939089,0.7976411726145393,False
9,13,82,1,4,short,0.1561340515575336,-0.12096472840021298,0.0026518232803623837,0.13026672738317757,-0.09051291923053192,0.2141358753878753,1.0316666844894713,1.0620866648101832,1.046673137880374,0.929299935133914,True
10,30,517,1,0,short,0.18293560361771535,-0.10502863371438573,-0.15455021135545005,0.33444490366814306,-0.11724403926545449,0.2853269364158646,0.8963796935933721,1.0172089538471722,1.0436010722787512,0.8793537474285696,False
11,26,124,1,2,short,0.07119103354311017,-0.029519662665201493,-0.03395272420451011,0.1033046913471029,-0.03521705998965335,0.042878059951839076,0.8432105387842825,0.8355429906952871,0.8286864831355707,0.9507646877392925,False
12,29,526,1,3,short,0.4203652289307553,-0.23331650281458527,-0.2264078637860681,0.4983602986956529,-0.1994844295007108,0.40855779990414876,0.9371179534320695,0.8960574086881811,0.8893408191200424,0.7885126695638663,False
13,7,382,1,2,short,0.39371333785145035,-0.23728392392575445,-0.28032943885115696,0.5304003537997601,-0.2039598964855082,0.5585652223327713,0.758723792001661,0.7110301244727176,0.6852289269348911,0.676571930800824,False
14,32,80,1,2,short,0.05954459757789809,-0.024818734793167273,-0.03703953457452086,0.11022442853333583,-0.0067700941860715635,0.02797844716046555,1.1031707677037117,1.1045335831491836,1.0448183154677966,0.9727904137911844,False
15,27,366,1,1,short,0.22392960061200737,-0.13907127703869093,-0.11587514349908949,0.2720680980241352,-0.10324929602612724,0.22528188081464878,0.925376020648829,0.911291776428184,0.8776150210780361,0.8720681734279165,False
16,21,156,1,1,short,0.45595185027917484,-0.1897517244770447,-0.08214307922617052,0.32040263938020996,-0.24066726675778347,0.3276946993447717,1.0625391974630023,0.9916481684595426,0.883164829484815,0.8398854749504148,False
17,33,690,1,1,short,0.07325198896022717,-0.014366419097384434,-0.022098571278527643,0.053957610747952064,-0.03534770163229087,0.03745744571062589,0.8343146489582404,0.8574649582591177,0.8741644898298315,0.9638805815204711,False
18,18,265,1,0,short,0.7992349173284777,-0.38280009822002314,-0.34496184356698323,0.7278025733717535,-0.33848672664044294,0.6149011298075849,0.6726586022580252,0.6992295673054333,0.7167022062631639,0.5764089719610831,False
19,11,445,1,1,short,0.09071516854459363,-0.03269158746680651,-0.04960982731635749,0.06368876946334107,-0.024235762159508352,0.061298558826267224,0.8313271577254712,0.8438249718492711,0.8484691086057127,0.9516263925086088,False
20,4,462,1,2,short,0.7045824371670485,-0.30788467911484085,-0.3382037589537593,0.6331111213100674,-0.284200636039454,0.5366335446000366,0.7492088878792726,0.7788121640566209,0.7714662199934076,0.6530838622053172,False
21,14,152,1,3,short,0.4451651675305763,-0.15004831048608205,-0.31070680808277995,0.3781532560676387,-0.10921968330675988,0.3565934096985228,0.775566719756665,0.7929457857355305,0.7857715789551395,0.758011732881169,False
22,25,188,1,0,short,0.4660350935376594,-0.24966934189325257,-0.11987950568529959,0.4281496014375244,-0.22037672721310453,0.30596846562723856,1.0307487706443903,1.026374725599583,1.0663311450067114,0.8445991260659655,False
23,17,195,1,1,short,0.26983070571091083,-0.15847323043194997,-0.07353422346059946,0.274131488609335,-0.18383126615099232,0.30468313641114597,0.7227308158974286,0.7215938362300612,0.7189051432221225,0.7861455556891067,False
24,16,205,1,4,short,0.07272839269425255,-0.03878381344349731,-0.012636742814966243,0.04913232173759942,-0.03008951339899003,0.04986942726608787,0.6844478681456501,0.692199544052585,0.6901552805070647,0.9432902961521754,True
25,24,262,1,0,short,0.33753302932321483,-0.13826114774863582,-0.1043791504212931,0.2738033511004145,-0.18078104229717937,0.26237084130564026,0.76742580470691,0.7475324032096052,0.7950002352954672,0.8030290610141977,False
26,1,571,1,0,short,0.5788625426238431,-0.22437467974191175,-0.42850081321917743,0.6122365740222806,-0.22034181241898976,0.6014929816212591,0.7490315459339907,0.7499463601223975,0.7385093918378646,0.6503978794657926,False
27,0,601,1,3,short,0.07223074792018429,-0.032945278725226644,-0.054632591868044214,0.12152792918189934,-0.0653549783166949,0.11784050128775302,0.8875716197360185,0.8268911112429881,0.8139693242642843,0.931985919082314,False
28,8,349,1,1,short,0.1125870817344446,-0.06109213827139953,-0.04185782823433297,0.11338574324938265,-0.044511041067231846,0.07188423571282475,0.8148452984240013,0.8093808184727802,0.7839586649729297,0.9284906012067566,False
29,3,236,1,0,short,0.056197566848847684,-0.03263246551899007,-0.04278323322359825,0.08602734503114638,-0.03564934517487969,0.08712393489563507,0.8884856838905647,0.8831204684943005,0.8840440560721085,0.9535631176880018,False
30,23,569,1,4,short,0.3390046713962323,-0.11955085982967059,-0.06899036052656585,0.24827941262126696,-0.15109352986724467,0.1633383968792287,1.1562165539395286,1.0547640425179297,0.9963326506039263,0.9017134215710283,True
31,22,276,1,2,short,0.3698318034495015,-0.2624238349302968,-0.08963664981140827,0.41203034709251135,-0.22904350691028352,0.4009758063710437,0.87059693621511,0.869848472714805,0.8448502530505003,0.7907420833852811,False
