recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,True,1,0.35
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,True,2,0.0816326530612244
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,True,3,0.2465753424657534
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,True,4,0.1935483870967742
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,True,5,0.2153846153846154
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,True,6,0.2686567164179104
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus,True,1,0.1917808219178082
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus,True,2,0.2535211267605634
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus,True,3,0.1785714285714285
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus,True,4,0.3376623376623376
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus,True,5,0.1111111111111111
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus,True,6,0.0
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_all_bands,True,1,0.3783783783783784
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_all_bands,True,2,0.2
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_all_bands,True,3,0.1904761904761904
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_all_bands,True,4,0.3428571428571428
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_all_bands,True,5,0.0967741935483871
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_all_bands,True,6,0.2686567164179104
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_power_frequency,True,1,0.2253521126760563
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_power_frequency,True,2,0.2121212121212121
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_power_frequency,True,3,0.2571428571428571
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_power_frequency,True,4,0.3142857142857143
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_power_frequency,True,5,0.2388059701492537
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_power_frequency,True,6,0.1153846153846153
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,True,1,0.1518987341772152
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,True,2,0.28125
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,True,3,0.04
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,True,4,0.1132075471698113
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,True,5,0.3043478260869565
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,True,6,0.1379310344827586
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,True,1,0.3958333333333333
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,True,2,0.0851063829787234
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,True,3,0.131578947368421
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,True,4,0.1558441558441558
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,True,5,0.0784313725490196
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,True,6,0.1224489795918367
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,True,1,0.2650602409638554
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,True,2,0.3
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,True,3,0.144927536231884
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,True,4,0.136986301369863
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,True,5,0.1739130434782608
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,True,6,0.0952380952380952
