recording,monkey,day,analysis,method,direction,f1
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,all_bands,1,0.2068965517241379
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,all_bands,2,0.0
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,all_bands,3,0.2368421052631578
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,all_bands,4,0.1311475409836065
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,all_bands,5,0.2153846153846154
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,all_bands,6,0.3142857142857143
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_frequency,1,0.12
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_frequency,2,0.4938271604938271
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_frequency,3,0.0714285714285714
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_frequency,4,0.419753086419753
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_frequency,5,0.0816326530612244
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_frequency,6,0.0727272727272727
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_power,1,0.3232323232323232
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_power,2,0.0869565217391304
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_power,3,0.125
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_power,4,0.1904761904761904
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_power,5,0.1176470588235294
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,peak_power,6,0.2325581395348837
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,power_frequency,1,0.2962962962962963
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,power_frequency,2,0.4927536231884058
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,power_frequency,3,0.125
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,power_frequency,4,0.3809523809523809
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,power_frequency,5,0.1702127659574468
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,power_frequency,6,0.25
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,torus,1,0.2962962962962963
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,torus,2,0.3582089552238806
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,matched_long,torus,3,0.1578947368421052
