recording,monkey,analysis,fold,dimension,tau_samples,n_training_trials,tau_method,robust_peaks_hz,adjustment
monkeyT_session-y070316009-12_lfp-7,T,short,0,3,16,158,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,short,1,3,16,158,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,short,2,3,15,158,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,short,3,3,16,159,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,short,4,3,15,159,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,matched_short,0,3,16,148,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,matched_short,1,3,16,149,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,matched_short,2,3,15,149,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,matched_short,3,3,16,149,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,matched_short,4,3,15,149,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,matched_long,0,3,15,148,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-7,T,matched_long,1,7,15,149,ami_first_local_minimum,"[6.0, 22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-7,T,matched_long,2,5,16,149,ami_first_local_minimum,"[6.0, 22.0]",
monkeyT_session-y070316009-12_lfp-7,T,matched_long,3,7,15,149,ami_first_local_minimum,"[6.0, 22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-7,T,matched_long,4,5,15,149,ami_first_local_minimum,"[22.0, 46.0]",
