recording,monkey,day,method,permutation,macro_f1
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,0,0.1567348236723932
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,0,0.1407002996727494
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,0,0.1719018696377354
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,0,0.1992941532139958
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,0,0.1993309513801316
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,1,0.1137300144214075
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,1,0.1018418966818213
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,1,0.1053765497433283
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,1,0.186204435733151
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,1,0.1362575034115802
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,2,0.1368808205505255
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,2,0.1411139770364328
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,2,0.1249100076686283
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,2,0.1613029399794105
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,2,0.1544080628927618
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,3,0.134734612215204
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,3,0.1706869651262025
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,3,0.1355119206597574
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,3,0.1698196096503498
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,3,0.1714164243041595
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,4,0.1497879732701161
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,4,0.1083977901200427
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,4,0.1313474854183934
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,4,0.1353302582743115
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,4,0.1750301416419837
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,5,0.1375781603729522
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,5,0.1768906227589361
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,5,0.1333653595948678
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,5,0.1219456681751763
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,5,0.15256692439573
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,6,0.170988661647357
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,6,0.1440800175121614
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,6,0.1366488884315709
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,6,0.1331061081495025
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,6,0.1830562422664798
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,7,0.1357594356714304
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,7,0.1643738298425077
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,7,0.1441029043196225
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,7,0.1474311123789132
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,7,0.1778481915300652
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,8,0.1352830143450077
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,8,0.1264573393192275
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,8,0.1201468166692361
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,8,0.1381820500582259
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,8,0.1346354392161971
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,9,0.1000686390668224
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,9,0.1733001589605363
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,9,0.1489572737553336
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,9,0.1761012690449611
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,9,0.0970821797416138
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,10,0.139393923921716
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,10,0.1339165464165464
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,10,0.1323490650201052
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,10,0.1509944909899537
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,10,0.1139411976911976
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,11,0.100188896717524
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,11,0.1558769624819226
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,11,0.1318536908828659
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,11,0.1358370693095395
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,11,0.1335272725358932
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,12,0.1120141564446946
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,12,0.1106357764648469
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,12,0.1111229809815705
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,12,0.1496248414306012
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,12,0.1444339824215781
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,13,0.1367244722913603
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,13,0.1448170262196628
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,13,0.1631203434260519
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,13,0.1402247263730935
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,13,0.2749608896061985
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,14,0.1604568854568854
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,14,0.1166360548833123
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,14,0.1695916043951385
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,14,0.1762098170438937
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,14,0.1631405763430741
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,15,0.1558046262758467
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,15,0.1555794064118148
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,15,0.1284905417623847
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,15,0.1707620212499961
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,15,0.0668084318136514
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,16,0.1187407318743724
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,16,0.1329436335548996
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,16,0.1614402782975666
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,16,0.1240951858598917
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,16,0.1337019633948749
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,17,0.1448476548370764
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,17,0.1212827778514379
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,17,0.1519503928529121
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,17,0.112711726665975
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,17,0.1783502208954066
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,18,0.1097185087918592
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,18,0.1474543037122607
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,18,0.1015604447459716
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,18,0.1664036840783596
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,18,0.1314263567659153
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,19,0.1404763458475708
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,19,0.1728664900403903
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,19,0.1385112561922149
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,19,0.2131099454998447
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,19,0.1995740793543609
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,20,0.1300763286672861
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,20,0.13941290714225
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,20,0.1055617812817897
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,20,0.1437023498645435
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,20,0.140615845681671
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,21,0.1387214637214637
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,21,0.1528119435777465
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,21,0.1589979032918375
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,21,0.1796731753542384
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,21,0.2632698682536165
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,22,0.1546708236723716
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,22,0.1117160312005672
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,22,0.1375950526983054
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,22,0.1998088306813063
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,22,0.1778834178932271
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,23,0.1310389199636562
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,23,0.1384718686003622
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,23,0.1341007117180777
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,23,0.1828047335600567
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,23,0.1096096009626192
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,24,0.119255849750517
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,24,0.1548340349033951
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,24,0.125028741373968
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,24,0.1213936161304582
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,24,0.1301300402717463
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,25,0.1258820696173518
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,25,0.1471312627238336
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,25,0.1537493659963821
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,25,0.1037437010156532
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,25,0.1483776265756243
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,26,0.1400832473632147
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,26,0.1487873403828629
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,26,0.1648524999607294
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,26,0.1678138573630376
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,26,0.1618643225161235
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,27,0.1656270102053234
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,27,0.1293547712809924
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,27,0.1605779697884961
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,27,0.1839608663455767
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,27,0.221672428044171
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,28,0.1429430421567331
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,28,0.199481658692185
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,28,0.1580600507839314
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,28,0.1903242016479346
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,28,0.1858852082885473
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,29,0.1394335111053377
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,29,0.1365852288159728
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,29,0.1237437706308318
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,29,0.1608874007101364
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,29,0.137507119094507
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,30,0.1642268409311292
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,30,0.1550412119730937
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,30,0.1564707697904419
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,30,0.1463441327824889
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,30,0.162791786962474
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,31,0.1315495297223183
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,31,0.1294190755888956
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,31,0.1470135534953898
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,31,0.2240872051189511
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,31,0.1412097964668107
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,32,0.1412994313776169
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,32,0.0986290098451187
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,32,0.1188297752637635
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,32,0.1379137707933578
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,32,0.167342265525708
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,33,0.1265056443354221
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,33,0.1367817994377709
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,33,0.1744182465596874
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,33,0.1585745409274821
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,33,0.1451673438937379
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,34,0.1275181954773665
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,34,0.1493706245688942
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,34,0.1572183578693325
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,34,0.104066232864898
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,torus,34,0.1488754472316115
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,35,0.1651420930139124
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,35,0.1654504921272137
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,35,0.1830668009239437
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,35,0.1528112436676219
