recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyT_session-y070316009-12_lfp-7,T,ar,1,0,1,1,0.020261530719124,0.0001960213879813,0.0203495854300226,5,1.0000000000000002
monkeyT_session-y070316009-12_lfp-7,T,ar,1,0,1,10,1.3011991704054524,0.010203441161413,1.4124580982897093,5,1.0000000000000002
monkeyT_session-y070316009-12_lfp-7,T,ar,2,0,1,1,0.0005243310138535,7.013174172778274e-06,0.0203495854300226,5,14.589855918383895
monkeyT_session-y070316009-12_lfp-7,T,ar,2,0,1,10,0.6701934115955741,0.0095251635450918,1.4124580982897093,5,14.589855918383895
monkeyT_session-y070316009-12_lfp-7,T,ar,3,0,1,1,2.4580821555748763e-05,2.457720022687649e-07,0.0203495854300226,5,194.7927430187077
monkeyT_session-y070316009-12_lfp-7,T,ar,3,0,1,10,0.4391204181081608,0.0039759956240363,1.4124580982897093,5,194.7927430187077
monkeyT_session-y070316009-12_lfp-7,T,ar,4,0,1,1,8.267884049272139e-07,5.3377621435677855e-09,0.0203495854300226,5,1850.864490946641
monkeyT_session-y070316009-12_lfp-7,T,ar,4,0,1,10,0.136994372389591,0.0009672713822873,1.4124580982897093,5,1850.864490946641
monkeyT_session-y070316009-12_lfp-7,T,ar,5,0,1,1,4.383567646804273e-08,4.5155775869369527e-10,0.0203495854300226,5,20396.17983643036
monkeyT_session-y070316009-12_lfp-7,T,ar,5,0,1,10,0.0470253363188671,0.0004451734349695,1.4124580982897093,5,20396.17983643036
monkeyT_session-y070316009-12_lfp-7,T,ar,6,0,1,1,4.788426057834722e-09,4.253183706720733e-11,0.0203495854300226,5,182916.37218642427
monkeyT_session-y070316009-12_lfp-7,T,ar,6,0,1,10,0.0252600271819875,0.0001536627960591,1.4124580982897093,5,182916.37218642427
monkeyT_session-y070316009-12_lfp-7,T,ar,7,0,1,1,6.133174223176348e-10,8.518202514171667e-12,0.0203495854300226,5,1108569.644246732
monkeyT_session-y070316009-12_lfp-7,T,ar,7,0,1,10,0.0110421593228217,0.000123893897644,1.4124580982897093,5,1108569.644246732
monkeyT_session-y070316009-12_lfp-7,T,ar,8,0,1,1,1.5799212188631758e-10,2.8009825077831188e-12,0.0203495854300226,5,6143952.909302495
monkeyT_session-y070316009-12_lfp-7,T,ar,8,0,1,10,0.0071028971615719,9.533470496199327e-05,1.4124580982897093,5,6143952.909302495
monkeyT_session-y070316009-12_lfp-7,T,ar,9,0,1,1,6.933443572844601e-11,1.049608730629224e-12,0.0203495854300226,5,23397106.171459265
monkeyT_session-y070316009-12_lfp-7,T,ar,9,0,1,10,0.0050069783355753,5.595771151013361e-05,1.4124580982897093,5,23397106.171459265
monkeyT_session-y070316009-12_lfp-7,T,ar,10,0,1,1,6.073741717133019e-11,8.608246472427968e-13,0.0203495854300226,5,63870460.4639424
