recording,outer_fold,family,max_absolute_difference,rms_difference
monkeyT_session-y070316009-12_lfp-7,0,ar,1.8720536762835636e-08,3.846769874888676e-09
monkeyT_session-y070316009-12_lfp-7,0,embedding,0.0,0.0
monkeyT_session-y070316009-12_lfp-7,1,ar,6.135634511941247e-08,1.1355478861412028e-08
monkeyT_session-y070316009-12_lfp-7,1,embedding,0.0,0.0
monkeyT_session-y070316009-12_lfp-7,2,ar,1.7986374266755825e-07,3.7622795982028336e-08
monkeyT_session-y070316009-12_lfp-7,2,embedding,0.0,0.0
monkeyT_session-y070316009-12_lfp-7,3,ar,1.0877633699286688e-07,2.0368200178715288e-08
monkeyT_session-y070316009-12_lfp-7,3,embedding,0.0,0.0
monkeyT_session-y070316009-12_lfp-7,4,ar,1.3456775972459266e-07,2.365856598729436e-08
monkeyT_session-y070316009-12_lfp-7,4,embedding,0.0,0.0
