row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_40Hz_log10_peak_psd,12_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
0,5,159,1,2,short,4.5687807244285406,19.900000000000002,4.826558573880747,4.64661339747055,4.25464594682876,5.5335209714490325,5.2462043047607585
1,17,195,1,4,short,4.421046848011336,23.200000000000003,4.4943324809740055,5.166747920119056,4.032953406035165,5.361246864202085,5.265876274417098
2,3,236,1,3,short,4.559254760093044,22.6,3.7654246887599867,4.579517098782953,4.255732912767529,5.5081085323051395,5.057612122422439
3,13,82,1,3,short,4.7063806054132655,24.6,4.257234728978174,4.7650125036927315,4.286996285677169,5.630030715233132,5.25328359416562
4,11,445,1,1,short,4.278320593886626,16.1,3.54683212860635,4.295871678980948,4.489625173230431,5.333979414396552,5.051127634214493
5,0,601,1,0,short,4.57055012069989,30.6,4.054290430241444,4.453536960658129,4.3913481936903125,5.056619295239375,5.446368277331033
6,12,566,1,1,short,4.792207100066093,20.400000000000002,4.815260980109574,4.590493709874181,4.679567712224666,5.745986370265794,5.171369738415012
7,16,205,1,0,short,4.599934479498088,17.8,3.3800701757697205,4.302841497944782,4.157092156816538,5.555601349391616,5.606202592863496
8,24,262,1,2,short,4.9383997673206625,21.6,4.401152278999889,4.174528359044614,4.257241757551632,5.570615711039203,5.368974670950337
9,25,188,1,1,short,4.897616355430081,25.1,4.171489647354435,4.374466794792434,4.235988860993122,5.603728992623784,5.327556357821309
10,10,40,1,1,short,5.169618694064533,21.1,3.4855346928372235,4.0157147254326455,4.549304166168919,5.859523860132971,5.085984587900237
11,1,571,1,1,short,4.86758785275657,22.900000000000002,4.342810307013581,5.011481360161285,4.429248790226837,5.79061691158153,5.2038569080126145
12,9,389,1,0,short,4.406733665903059,28.3,4.559421710316192,4.829327694757908,3.988215353699507,5.345935423345585,5.2214507177975635
13,23,569,1,1,short,4.132125780484004,28.6,4.377858386719585,4.2153615453095785,4.3644915227243155,4.973350375910235,5.254439099281471
14,18,265,1,3,short,4.9259839761627555,21.8,4.195760780817188,4.829521107908398,4.338070596779902,5.671468760259486,5.415748255116932
15,30,517,1,2,short,4.574072735156775,23.400000000000002,4.810879103332327,4.520678113089878,4.793819063908145,5.530678807638136,5.4379391289603385
16,15,56,1,0,short,5.068368628272451,23.400000000000002,3.6982110278178975,4.478091399217145,3.850440756003482,5.9044649076869264,5.388440548472508
17,6,16,1,4,short,4.633609168603452,23.400000000000002,4.464304208528895,3.972386192830617,4.314700362545308,5.537375303223104,5.35671565205324
18,26,124,1,4,short,4.143205095810764,35.5,4.341545504810255,4.774280718577381,4.624031120525702,4.884003700178933,5.31271389202001
19,31,437,1,4,short,5.128399794885542,21.8,4.5476785325981375,4.940432739148284,4.711530855898244,6.030001665637312,5.073063107020635
20,22,276,1,4,short,4.888369333206531,18.7,4.577734309648849,4.039097838983872,4.515181226005146,5.912882905885527,5.469536983781243
21,28,263,1,2,short,4.886291271939508,26.0,4.405697495962059,4.642747781303863,4.567209208848264,5.738988506296068,5.541068956540477
22,7,382,1,0,short,5.050709714880583,21.6,4.450847103670241,4.250031662637233,4.947473145066209,5.893849856746278,5.392748848013137
23,29,526,1,2,short,4.752025081629402,22.0,4.792736517836858,4.415501696269059,4.259364834142991,5.5280656497306735,5.403478142000767
24,33,690,1,1,short,4.406755575930555,17.900000000000002,4.28052116849438,5.0188531200692115,4.79386119954715,5.462887464327025,5.285591039480612
25,21,156,1,0,short,4.354942409453632,22.400000000000002,3.5460026836973055,4.241663716870365,4.602111975318331,5.2300434519173225,5.184657928242067
26,19,689,1,3,short,4.677903160401039,25.6,4.088488308428296,4.20317958366211,4.293076959080414,5.577152767524105,5.137781152540587
