recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,all_bands,0.1322675166654911,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_frequency,0.2777993348115299,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_power,0.1834469893293423,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,0.3661684581849032,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,0.1830028354707191,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,0.1720042389341342,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,0.1649488261362054,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_power_frequency,0.2657193044526486,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_short,all_bands,0.2764365679327316,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_short,peak_frequency,0.2021931932236381,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_short,peak_power,0.1867845216561342,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_short,power_frequency,0.2834955177135951,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_short,torus,0.246479601871138,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_short,torus_all_bands,0.2387947357416202,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_short,torus_pca,0.1379603454859053,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_short,torus_power_frequency,0.2594582212663852,186
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,short,all_bands,0.2443393876075823,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,short,peak_frequency,0.2098234444065017,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,short,peak_power,0.2213236103142445,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,short,power_frequency,0.2728002394747803,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,short,torus,0.2257252305351472,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,short,torus_all_bands,0.2565624496863886,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,short,torus_pca,0.1439852215336322,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,short,torus_power_frequency,0.2455500159393602,198
