row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay
0,5,159,1,2,short
1,17,195,1,4,short
2,3,236,1,3,short
3,13,82,1,3,short
4,11,445,1,1,short
5,0,601,1,0,short
6,12,566,1,1,short
7,16,205,1,0,short
8,24,262,1,2,short
9,25,188,1,1,short
10,10,40,1,1,short
11,1,571,1,1,short
12,9,389,1,0,short
13,23,569,1,1,short
14,18,265,1,3,short
15,30,517,1,2,short
16,15,56,1,0,short
17,6,16,1,4,short
18,26,124,1,4,short
19,31,437,1,4,short
20,22,276,1,4,short
21,28,263,1,2,short
22,7,382,1,0,short
23,29,526,1,2,short
24,33,690,1,1,short
25,21,156,1,0,short
26,19,689,1,3,short
27,2,684,1,0,short
28,32,80,1,2,short
29,8,349,1,4,short
30,20,673,1,2,short
31,27,366,1,3,short
32,14,152,1,3,short
33,37,96,2,0,short
34,67,91,2,3,short
35,34,479,2,0,short
36,58,580,2,4,short
37,52,412,2,1,short
38,56,531,2,4,short
39,41,579,2,4,short
40,53,530,2,1,short
41,63,254,2,4,short
42,66,419,2,3,short
43,48,401,2,3,short
44,36,543,2,0,short
45,42,34,2,0,short
46,46,193,2,0,short
47,62,220,2,3,short
48,57,281,2,2,short
49,35,622,2,2,short
50,55,150,2,3,short
51,47,197,2,4,short
52,65,131,2,0,short
53,49,670,2,2,short
54,43,260,2,4,short
55,40,117,2,0,short
56,38,521,2,1,short
57,59,98,2,2,short
58,60,647,2,3,short
59,50,10,2,1,short
60,44,428,2,4,short
61,39,198,2,1,short
62,61,387,2,2,short
63,54,628,2,1,short
64,45,158,2,2,short
65,64,589,2,3,short
66,84,636,3,2,short
67,90,494,3,1,short
68,83,503,3,0,short
69,78,572,3,4,short
70,98,669,3,2,short
71,88,137,3,4,short
72,95,323,3,0,short
73,70,144,3,1,short
74,74,200,3,3,short
75,81,432,3,1,short
76,96,43,3,3,short
77,80,177,3,0,short
78,71,309,3,4,short
79,97,319,3,4,short
80,87,663,3,2,short
81,86,147,3,4,short
82,100,477,3,1,short
83,68,420,3,0,short
84,82,510,3,3,short
85,92,196,3,2,short
86,77,14,3,0,short
87,79,48,3,2,short
88,69,612,3,1,short
89,94,406,3,0,short
90,76,540,3,2,short
91,85,128,3,1,short
92,75,51,3,3,short
93,89,615,3,3,short
94,72,307,3,2,short
95,73,216,3,1,short
96,99,609,3,4,short
97,91,416,3,3,short
98,93,46,3,3,short
99,126,121,4,3,short
100,106,333,4,3,short
101,115,248,4,1,short
102,105,109,4,2,short
103,131,704,4,1,short
104,133,691,4,0,short
105,113,489,4,0,short
106,119,17,4,0,short
107,104,701,4,2,short
108,103,89,4,2,short
109,121,606,4,3,short
110,112,85,4,4,short
111,129,291,4,4,short
112,120,206,4,0,short
113,102,94,4,1,short
114,107,536,4,4,short
115,125,86,4,4,short
116,111,283,4,1,short
117,130,388,4,4,short
118,110,242,4,4,short
119,101,400,4,2,short
120,124,119,4,1,short
121,123,511,4,1,short
122,117,520,4,0,short
123,122,440,4,3,short
124,116,361,4,1,short
125,109,459,4,0,short
126,134,116,4,3,short
127,114,312,4,2,short
128,132,199,4,4,short
129,118,339,4,0,short
130,108,592,4,3,short
131,128,573,4,2,short
132,160,247,5,1,short
133,149,243,5,2,short
134,139,164,5,0,short
135,153,697,5,0,short
136,145,44,5,4,short
137,156,36,5,2,short
138,150,457,5,0,short
139,143,294,5,1,short
140,161,157,5,3,short
141,165,328,5,4,short
142,152,560,5,3,short
143,166,706,5,1,short
144,147,485,5,4,short
145,162,241,5,2,short
146,136,410,5,3,short
147,138,581,5,0,short
148,146,367,5,0,short
149,163,63,5,4,short
150,142,271,5,3,short
151,151,436,5,2,short
152,158,45,5,1,short
153,135,399,5,4,short
154,155,194,5,0,short
155,159,700,5,3,short
156,137,300,5,2,short
157,144,542,5,4,short
158,168,6,5,1,short
159,140,693,5,4,short
160,154,143,5,1,short
161,148,446,5,2,short
162,164,705,5,3,short
163,157,476,5,2,short
164,167,568,5,3,short
165,177,105,6,2,short
166,179,555,6,2,short
167,187,650,6,0,short
168,186,186,6,1,short
169,189,24,6,3,short
170,188,642,6,0,short
171,196,527,6,1,short
172,192,539,6,2,short
173,178,129,6,1,short
174,174,458,6,3,short
175,190,258,6,4,short
176,176,438,6,3,short
177,193,290,6,1,short
178,182,289,6,0,short
179,175,617,6,3,short
180,172,292,6,2,short
181,180,90,6,1,short
182,199,67,6,4,short
183,170,483,6,4,short
184,194,113,6,0,short
185,200,211,6,0,short
186,191,376,6,3,short
187,181,538,6,4,short
188,183,649,6,2,short
189,202,342,6,1,short
190,173,187,6,2,short
191,185,550,6,0,short
192,171,100,6,0,short
193,184,524,6,3,short
194,198,77,6,4,short
195,197,379,6,2,short
196,195,372,6,1,short
197,201,9,6,4,short
