recording,monkey,day,outer_fold,family,horizon_ms,coefficient_index,lag_ms,value,kind
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,0,-1,-1.3341616833875693e-08,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,1,0,8.254653934565354,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,2,1,-30.240073273154582,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,3,2,63.16419734921367,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,4,3,-78.37579012620019,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,5,4,48.70232854058053,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,6,5,7.243279275151841,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,7,6,-36.39772253331603,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,8,7,17.24966729424225,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,9,8,15.181410162871895,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,10,9,-21.061219486770803,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,11,10,2.762381164255032,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,12,11,12.80139885643334,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,13,12,-13.380630249172617,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,14,13,6.672054609270657,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,15,14,-1.7824381860632157,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,1,16,15,0.2065014702841324,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,0,-1,-1.370826875103648e-08,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,1,0,8.140054813267401,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,2,1,-29.888818150831376,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,3,2,64.99857993908932,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,4,3,-92.2941892168012,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,5,4,88.77137202606083,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,6,5,-57.855534973919,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,7,6,24.644686347863377,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,8,7,-6.227566798560876,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,1,9,8,0.7114147357845381,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,0,-1,-0.0003254810168516,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,1,0,8933.619283417693,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,2,1,-59661.81253519733,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,3,2,178336.09540004822,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,4,3,-311348.5129719014,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,5,4,347032.78667690954,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,6,5,-252771.7833051477,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,7,6,117462.00829532796,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,8,7,-31833.087189161928,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,10,9,8,3851.661788944055,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,0,-1,-8.18761883639163e-09,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,1,0,8.24488422282977,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,2,1,-30.146378856268147,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,3,2,62.76371745326005,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,4,3,-77.38080052012103,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,5,4,47.14752498727152,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,6,5,8.748118401770107,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,7,6,-37.14428621933419,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,8,7,17.21632587972834,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,9,8,15.344376982250957,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,10,9,-20.862605828210583,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,11,10,2.332369462900621,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,12,11,13.10950689723108,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,13,12,-13.468626950044571,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,14,13,6.660048642779596,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,15,14,-1.767819392972588,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,1,16,15,0.2036437107553121,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,0,-1,-9.673208232682806e-09,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,1,0,8.138294927124607,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,2,1,-29.8727705767592,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,3,2,64.93576894501889,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,4,3,-92.15520578446274,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,5,4,88.58027153206865,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,6,5,-57.68781426086935,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,7,6,24.552743621404424,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,8,7,-6.198745930968858,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,1,9,8,0.7074563030819093,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,0,-1,-0.0002445225880059,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,1,0,9000.137851442236,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,2,1,-60149.66761751405,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,3,2,179925.18357110582,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,4,3,-314352.7246354228,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,5,4,350641.15577523614,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,6,5,-255594.3971149516,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,7,6,118868.0798113232,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,8,7,-32241.492779923054,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,10,9,8,3904.7019848321606,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,0,-1,-7.330025942340126e-09,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,1,0,8.248566612931684,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,2,1,-30.15956431843845,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,3,2,62.70997744418292,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,4,3,-76.91942831821004,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,5,4,45.829748339942974,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,6,5,10.54261366244772,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,7,6,-37.63180082842207,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,8,7,15.05441218575286,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,9,8,18.14750286187992,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,10,9,-20.11756229863885,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,11,10,-2.436706841146308,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,12,11,16.007121004438275,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,13,12,-8.240282512422684,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,14,13,-5.887050144249892,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,15,14,11.358591320264644,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,16,15,-8.15949922996834,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,17,16,3.3615971880965425,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,18,17,-0.7925324867161716,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,1,19,18,0.0842951988411397,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,0,-1,-1.3977172818669184e-08,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,1,0,8.13408840151003,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,2,1,-29.839955973470108,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,3,2,64.82212569909282,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,4,3,-91.92701492004258,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,5,4,88.289741805102,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,6,5,-57.44768649149686,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,7,6,24.426948610742357,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,8,7,-6.160565293963687,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,1,9,8,0.7023168992490996,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,0,-1,-0.0002181221603634,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,1,0,8947.53400906916,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,2,1,-59729.09939514028,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,3,2,178432.2646029342,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,4,3,-311279.7835147201,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,5,4,346630.28107794176,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,6,5,-252195.81273601364,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,7,6,117042.81696362147,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,8,7,-31673.55807728738,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,10,9,8,3826.3330984943273,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,0,-1,-1.005316701847142e-08,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,1,0,8.252327247421272,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,2,1,-30.219009486402605,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,3,2,63.077418481471824,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,4,3,-78.16208355640447,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,5,4,48.36158032906944,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,6,5,7.580169694097452,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,7,6,-36.52508316598361,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,8,7,17.077840343983173,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,9,8,15.501776297562111,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,10,9,-21.27663508008504,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,11,10,2.772670227715091,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,12,11,12.8968610202253,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,13,12,-13.45793112810909,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,14,13,6.700672889199249,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,15,14,-1.7872947194658986,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,1,16,15,0.206719372156506,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,0,-1,-1.53980788250227e-08,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,1,0,8.13775805293015,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,2,1,-29.87021852511816,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,3,2,64.93238192062543,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,4,3,-92.1588414726587,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,5,4,88.59740028267292,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,6,5,-57.71152025933291,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,7,6,24.56968256170636,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,8,7,-6.205090185723481,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,1,9,8,0.7084462984666493,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,0,-1,-0.0002553634841341,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,1,0,8936.959486970645,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,2,1,-59669.23278890604,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,3,2,178303.07292091454,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,4,3,-311177.072488819,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,5,4,346697.99096179445,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,6,5,-252413.6804304446,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,7,6,117239.71751108245,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,8,7,-31757.479617479858,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,10,9,8,3840.6990323552313,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,0,-1,-1.1788590312256098e-08,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,1,0,8.257827545055752,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,2,1,-30.24217825112653,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,3,2,63.03399303057366,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,4,3,-77.63868879732556,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,5,4,46.77654080206953,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,6,5,9.900016107632718,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,7,6,-37.65540523903935,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,8,7,15.48286941187535,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,9,8,17.810394490981974,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,10,9,-19.93312444109657,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,11,10,-2.7140768240015647,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,12,11,16.277173968767464,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,13,12,-8.041117405223115,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,14,13,-6.713495065974809,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,15,14,12.39638348158023,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,16,15,-8.905256573701218,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,17,16,3.690725531268693,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,18,17,-0.8764260740551202,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,19,18,0.0938430762217006,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,0,-1,-1.6485957146303298e-08,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,1,0,8.136968349656868,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,2,1,-29.8659281076373,lag_weight
