recording,outer_fold,family,horizon_ms,trial_index,status,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,monkey,day,raw_trial_index,original_trial_number
monkeyT_session-y070316009-12_lfp-8,0,ar,1,5,ok,2.8002448697522027e-11,3.709922674614327e-11,0.9999999999629008,0.999999999981501,0.0328108855717488,0.9671891144282512,0.9835418806251228,0.0328108855346496,0.9999999988693012,T,2007-03-16,0,601
monkeyT_session-y070316009-12_lfp-8,0,ar,1,7,ok,2.019361985238473e-11,2.9548109011019646e-11,0.999999999970452,0.9999999999852418,0.0307185129563833,0.9692814870436166,0.9847186120767146,0.0307185129268352,0.9999999990381008,T,2007-03-16,16,205
monkeyT_session-y070316009-12_lfp-8,0,ar,1,12,ok,2.443930313968696e-11,4.926416133128895e-11,0.999999999950736,0.9999999999753988,0.0327599323136264,0.9672400676863736,0.9836325427994536,0.0327599322643622,0.9999999984962068,T,2007-03-16,9,389
monkeyT_session-y070316009-12_lfp-8,0,ar,1,16,ok,3.842068787034367e-11,2.240824171486909e-11,0.9999999999775918,0.9999999999888072,0.0175022208368385,0.9824977791631616,0.9912536280504792,0.0175022208144302,0.9999999987196916,T,2007-03-16,15,56
monkeyT_session-y070316009-12_lfp-8,0,ar,1,22,ok,1.927582918820753e-11,2.784854546307873e-11,0.9999999999721516,0.9999999999862812,0.0257864329454232,0.9742135670545768,0.987096804683833,0.0257864329175746,0.9999999989200312,T,2007-03-16,7,382
monkeyT_session-y070316009-12_lfp-8,0,ar,1,25,ok,3.827667133566457e-11,1.769886462019865e-11,0.9999999999823012,0.9999999999912308,0.0118026855037131,0.9881973144962868,0.994189152105603,0.0118026854860143,0.9999999985004376,T,2007-03-16,21,156
monkeyT_session-y070316009-12_lfp-8,0,ar,1,27,ok,3.426964312051612e-11,1.7433857243014664e-11,0.9999999999825662,0.9999999999913556,0.0250008845783776,0.9749991154216224,0.987477865217504,0.0250008845609437,0.9999999993026704,T,2007-03-16,2,684
monkeyT_session-y070316009-12_lfp-8,0,ar,1,33,ok,2.4345758073641068e-11,2.406378419147442e-11,0.9999999999759362,0.9999999999880532,0.0236658774467391,0.9763341225532608,0.9881768193165807,0.0236658774226753,0.9999999989831864,T,2007-03-16,37,96
monkeyT_session-y070316009-12_lfp-8,0,ar,1,35,ok,2.3677581235073798e-11,2.080900910232633e-11,0.999999999979191,0.9999999999896688,0.0230875413320476,0.9769124586679524,0.988460825169352,0.0230875413112386,0.999999999098691,T,2007-03-16,34,479
monkeyT_session-y070316009-12_lfp-8,0,ar,1,44,ok,1.891514927494352e-11,1.4077393635344892e-11,0.9999999999859226,0.9999999999929748,0.0196898461585916,0.9803101538414084,0.9901266991669732,0.0196898461445142,0.999999999285043,T,2007-03-16,36,543
monkeyT_session-y070316009-12_lfp-8,0,ar,1,45,ok,2.2924046532698068e-11,1.854622178050293e-11,0.9999999999814536,0.9999999999908415,0.0158572073756043,0.9841427926243956,0.9920731332365555,0.0158572073570581,0.9999999988304232,T,2007-03-16,42,34
monkeyT_session-y070316009-12_lfp-8,0,ar,1,46,ok,2.974582688347929e-11,2.1372239480519867e-11,0.9999999999786278,0.9999999999893164,0.0180926185745852,0.9819073814254148,0.9909467960487524,0.0180926185532129,0.9999999988187316,T,2007-03-16,46,193
monkeyT_session-y070316009-12_lfp-8,0,ar,1,52,ok,2.7664350513661526e-11,2.4033522923073054e-11,0.9999999999759664,0.9999999999880302,0.0235884651886051,0.9764115348113948,0.9881948467795748,0.0235884651645716,0.9999999989811325,T,2007-03-16,65,131
monkeyT_session-y070316009-12_lfp-8,0,ar,1,55,ok,2.303733463651292e-11,3.810886864544075e-11,0.9999999999618912,0.999999999980975,0.0290730696471436,0.9709269303528564,0.9856271946899168,0.0290730696090347,0.999999998689204,T,2007-03-16,40,117
monkeyT_session-y070316009-12_lfp-8,0,ar,1,68,ok,2.3256095795595416e-11,2.491922816382739e-11,0.9999999999750808,0.9999999999875512,0.0287696036087285,0.9712303963912714,0.9857824681384362,0.0287696035838093,0.9999999991338347,T,2007-03-16,83,503
monkeyT_session-y070316009-12_lfp-8,0,ar,1,72,ok,2.146008741427396e-11,2.6184732605668024e-11,0.9999999999738152,0.999999999986914,0.0257965969657155,0.9742034030342844,0.987143330384636,0.0257965969395308,0.999999998984954,T,2007-03-16,95,323
monkeyT_session-y070316009-12_lfp-8,0,ar,1,77,ok,2.752849755348279e-11,1.849490842786138e-11,0.9999999999815052,0.999999999990791,0.0203224641672179,0.979677535832782,0.9898357460892012,0.020322464148723,0.999999999089928,T,2007-03-16,80,177
monkeyT_session-y070316009-12_lfp-8,0,ar,1,83,ok,2.3867767323495443e-11,1.7959189118083796e-11,0.9999999999820408,0.9999999999910404,0.0198524690600031,0.9801475309399968,0.9900919031528368,0.0198524690420439,0.9999999990953676,T,2007-03-16,68,420
monkeyT_session-y070316009-12_lfp-8,0,ar,1,86,ok,3.5602200303887974e-11,2.106438903084193e-11,0.9999999999789356,0.9999999999895436,0.0134244571242491,0.9865755428757508,0.9932772546362668,0.0134244571031847,0.9999999984308944,T,2007-03-16,77,14
monkeyT_session-y070316009-12_lfp-8,0,ar,1,89,ok,1.915519994400536e-11,1.8178658051473724e-11,0.9999999999818212,0.999999999990948,0.0213174502208963,0.9786825497791036,0.9893165749152038,0.0213174502027176,0.9999999991472404,T,2007-03-16,94,406
monkeyT_session-y070316009-12_lfp-8,0,ar,1,104,ok,2.8281631123561868e-11,1.4779442482579412e-11,0.9999999999852206,0.9999999999927496,0.0163560846752252,0.9836439153247748,0.9918065355378916,0.0163560846604458,0.9999999990963948,T,2007-03-16,133,691
monkeyT_session-y070316009-12_lfp-8,0,ar,1,105,ok,1.3881613278352456e-11,2.403299875280639e-11,0.999999999975967,0.9999999999881068,0.0168545781830394,0.9831454218169604,0.9915708526917484,0.0168545781590064,0.9999999985740968,T,2007-03-16,113,489
monkeyT_session-y070316009-12_lfp-8,0,ar,1,106,ok,1.4394118793533612e-11,2.1749186798096187e-11,0.9999999999782508,0.999999999989146,0.0314400122163397,0.9685599877836604,0.9845438119976752,0.0314400121945906,0.9999999993082322,T,2007-03-16,119,17
monkeyT_session-y070316009-12_lfp-8,0,ar,1,112,ok,2.008922869186115e-11,1.3764095408680724e-11,0.999999999986236,0.9999999999932572,0.0246828208176614,0.9753171791823384,0.9876583938720508,0.0246828208038973,0.9999999994423612,T,2007-03-16,120,206
monkeyT_session-y070316009-12_lfp-8,0,ar,1,122,ok,2.103410262554679e-11,1.300976586380734e-11,0.9999999999869902,0.999999999993534,0.0168333822142427,0.9831666177857572,0.991576182695774,0.0168333822012329,0.9999999992271448,T,2007-03-16,117,520
monkeyT_session-y070316009-12_lfp-8,0,ar,1,125,ok,1.8122588760025663e-11,2.0277851862129717e-11,0.999999999979722,0.9999999999898896,0.0273049632324899,0.97269503676751,0.986348172579278,0.0273049632122121,0.9999999992573566,T,2007-03-16,109,459
monkeyT_session-y070316009-12_lfp-8,0,ar,1,129,ok,2.7019395010856223e-11,3.428980858287752e-11,0.9999999999657102,0.9999999999828556,0.0222603397140108,0.9777396602859892,0.9888663252251856,0.022260339679721,0.9999999984596007,T,2007-03-16,118,339
monkeyT_session-y070316009-12_lfp-8,0,ar,1,134,ok,1.5680572338595642e-11,2.105066178349108e-11,0.9999999999789492,0.9999999999894794,0.0216171128243323,0.9783828871756676,0.9891696388142844,0.0216171128032817,0.9999999990262038,T,2007-03-16,139,164
monkeyT_session-y070316009-12_lfp-8,0,ar,1,135,ok,1.9371290390988884e-11,2.6132536950973272e-11,0.9999999999738676,0.9999999999869478,0.0371973990453281,0.9628026009546718,0.9814022939353632,0.0371973990191956,0.9999999992974632,T,2007-03-16,153,697
monkeyT_session-y070316009-12_lfp-8,0,ar,1,138,ok,3.561966349362497e-11,2.2334016664034815e-11,0.999999999977666,0.9999999999888336,0.0211739477321104,0.9788260522678895,0.9894030586386792,0.0211739477097764,0.9999999989452124,T,2007-03-16,150,457
monkeyT_session-y070316009-12_lfp-8,0,ar,1,147,ok,2.725676531817741e-11,2.5245525401954885e-11,0.9999999999747544,0.9999999999874504,0.0233379597180024,0.9766620402819975,0.988300352700646,0.0233379596927569,0.9999999989182634,T,2007-03-16,138,581
monkeyT_session-y070316009-12_lfp-8,0,ar,1,148,ok,2.4302257617253398e-11,2.218682935594877e-11,0.9999999999778132,0.9999999999889144,0.0174733715156145,0.9825266284843854,0.9913089607024348,0.0174733714934277,0.9999999987302493,T,2007-03-16,146,367
