recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,ar,ok,16,0,1,0.0024475795216866,0.0001026942189917,0.0024088897160272,0.0025057517199958,False,17,129685945.86332774,129917759.4050605,ok
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,0,embedding,ok,0,9,1,0.0031234619300806,0.0001361043136069,0.0031234619300806,0.0032595662436875,True,10,31272847.97718796,31270967.171643637,ok
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,ar,ok,16,0,1,0.0023792363903131,4.471081634358375e-05,0.0023466817931863,0.0023883587070935,False,17,130239097.3409249,130540491.4511403,ok
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,1,embedding,ok,0,9,1,0.0030205650323578,5.305959833665571e-05,0.0030205650323578,0.0030736246306945,True,10,32036288.04894908,32032504.733551152,ok
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,ar,ok,19,0,1,0.0023629496201498,1.2925858698136694e-05,0.0023486886007296,0.0023631719720449,False,20,133296966.5166035,133712930.19025934,ok
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,2,embedding,ok,0,9,1,0.0030496783670026,2.0038318012695635e-05,0.0030496783670026,0.0030697166850153,True,10,31990365.65615339,31984737.79124468,ok
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,ar,ok,16,0,1,0.0024057327838737,4.672419618650171e-05,0.002367399830441,0.0024100329497106,False,17,130349586.47381648,130589088.6397731,ok
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,3,embedding,ok,0,9,1,0.0030691900618095,5.589706591201158e-05,0.0030691900618095,0.0031250871277215,True,10,31706707.318580717,31704790.883992348,ok
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,ok,19,0,1,0.0023934312108056,2.130266000840913e-05,0.0023803514962037,0.0024010518946278,False,20,133140015.00541854,133613329.64344586,ok
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,ok,0,9,1,0.0030904843318477,3.688702427145061e-05,0.0030904843318477,0.0031273713561191,True,10,31443642.315950982,31438319.82821035,ok
