page,original_trial_number,direction,usable_fits,unusable_stages,axis_minimum,axis_maximum
1,6,5,6,,-4.253098120936189,4.253098120936189
2,9,6,6,,-3.451406181443044,3.451406181443044
3,10,2,6,,-3.7210965778292833,3.7210965778292833
4,14,3,6,,-3.165301613601845,3.165301613601845
5,16,1,6,,-4.994839405948119,4.994839405948119
6,17,4,6,,-4.930243173386902,4.930243173386902
7,24,6,6,,-5.383748980263091,5.383748980263091
8,34,2,6,,-3.998630147386541,3.998630147386541
9,36,5,6,,-4.685180504188882,4.685180504188882
10,40,1,6,,-2.916369893403905,2.916369893403905
11,43,3,6,,-3.9913811345274675,3.9913811345274675
12,44,5,6,,-4.82893387250237,4.82893387250237
13,45,5,6,,-2.899032087136846,2.899032087136846
14,46,3,6,,-3.684180068504216,3.684180068504216
15,48,3,6,,-5.088139563304599,5.088139563304599
16,51,3,6,,-3.4417133663995694,3.4417133663995694
17,56,1,6,,-3.1327236462504118,3.1327236462504118
18,63,5,6,,-3.780555105908494,3.780555105908494
19,67,6,6,,-5.254623511401829,5.254623511401829
20,77,6,6,,-5.267324591135469,5.267324591135469
21,80,1,6,,-5.848247849425695,5.848247849425695
22,82,1,6,,-4.35031564991124,4.35031564991124
23,85,4,5,pre_SC,-4.282351490307211,4.282351490307211
24,86,4,6,,-3.3215732658412938,3.3215732658412938
25,89,4,6,,-5.754577993591615,5.754577993591615
26,90,6,6,,-3.605459302665791,3.605459302665791
27,91,2,6,,-5.790250668304326,5.790250668304326
28,94,4,6,,-3.9154165510134358,3.9154165510134358
29,96,2,6,,-4.469871901731054,4.469871901731054
30,98,2,6,,-6.1017596606200675,6.1017596606200675
31,100,6,5,pre_SC,-3.5108741452497734,3.5108741452497734
32,105,6,6,,-3.821318905331357,3.821318905331357
33,109,4,6,,-2.967741844795932,2.967741844795932
34,113,6,6,,-3.491274626307657,3.491274626307657
35,116,4,6,,-3.7949019997169864,3.7949019997169864
36,117,2,6,,-4.10451315914986,4.10451315914986
37,119,4,6,,-4.767170048853792,4.767170048853792
38,121,4,6,,-3.7173306576365985,3.7173306576365985
39,124,1,6,,-3.7894867504505005,3.7894867504505005
40,128,3,6,,-3.478876849577365,3.478876849577365
41,129,6,6,,-3.3909228845435484,3.3909228845435484
42,131,2,6,,-3.126822606036805,3.126822606036805
43,137,3,6,,-4.691705436073675,4.691705436073675
44,142,5,6,,-3.298192938384211,3.298192938384211
45,143,5,6,,-5.174345420109729,5.174345420109729
46,144,3,6,,-4.627272258792522,4.627272258792522
47,147,3,6,,-5.621280983415663,5.621280983415663
48,150,2,6,,-3.8279561240821094,3.8279561240821094
49,152,1,6,,-4.933320379507265,4.933320379507265
50,156,1,6,,-3.6745186109667527,3.6745186109667527
51,157,5,6,,-4.896140025579553,4.896140025579553
52,158,2,6,,-4.175037949031068,4.175037949031068
53,159,1,6,,-8.776603397385786,8.776603397385786
54,164,5,6,,-3.6919484079733524,3.6919484079733524
55,177,3,6,,-3.2008413896205696,3.2008413896205696
56,186,6,6,,-5.17957886613792,5.17957886613792
57,187,6,6,,-3.2402533831194953,3.2402533831194953
58,188,1,6,,-4.635171097542213,4.635171097542213
59,194,5,6,,-4.00165683586078,4.00165683586078
60,195,1,6,,-3.5278842538334505,3.5278842538334505
61,196,3,6,,-6.213199553907524,6.213199553907524
62,197,2,6,,-5.273378800658925,5.273378800658925
63,198,2,6,,-4.172750206828176,4.172750206828176
64,199,4,6,,-3.727449871776047,3.727449871776047
65,200,3,6,,-3.1094113925880653,3.1094113925880653
66,205,1,6,,-6.590214670862308,6.590214670862308
67,206,4,6,,-3.5730284511829598,3.5730284511829598
68,211,6,4,pre_GO;post_GO,-4.069169926682208,4.069169926682208
69,216,3,6,,-4.104041278958554,4.104041278958554
70,220,2,6,,-3.14585698860839,3.14585698860839
71,236,1,6,,-4.522986612446813,4.522986612446813
72,241,5,6,,-3.502934923170115,3.502934923170115
73,242,4,5,pre_TC,-3.7692176760473073,3.7692176760473073
74,243,5,6,,-5.351974377186071,5.351974377186071
75,248,4,6,,-4.018714388809916,4.018714388809916
76,254,2,6,,-4.154727712388763,4.154727712388763
77,258,6,6,,-3.7602254528386894,3.7602254528386894
78,260,2,6,,-3.3945414142712638,3.3945414142712638
79,262,1,6,,-3.657077753056299,3.657077753056299
80,263,1,6,,-4.531084358901243,4.531084358901243
81,265,1,6,,-3.6245385166924042,3.6245385166924042
82,271,5,6,,-4.001406379216741,4.001406379216741
83,275,2,6,,-4.024170248361349,4.024170248361349
84,276,1,6,,-3.2590674950263887,3.2590674950263887
85,281,2,6,,-4.057230571325444,4.057230571325444
86,283,4,6,,-3.1441063499450688,3.1441063499450688
87,289,6,5,pre_GO,-4.604656448364258,4.604656448364258
88,290,6,6,,-3.839299578252993,3.839299578252993
89,291,4,6,,-4.78923213737848,4.78923213737848
90,292,6,5,post_TC,-3.6931908428373674,3.6931908428373674
91,294,5,6,,-3.9020293521881104,3.9020293521881104
92,300,5,6,,-3.2142953180031055,3.2142953180031055
93,307,3,6,,-5.101341530045976,5.101341530045976
94,309,3,6,,-3.7850516890732933,3.7850516890732933
95,312,4,6,,-3.4460318384322126,3.4460318384322126
96,319,3,6,,-4.790394599803867,4.790394599803867
97,323,3,6,,-3.452944698388067,3.452944698388067
98,328,5,6,,-4.433759517542898,4.433759517542898
99,333,4,6,,-4.519376882772706,4.519376882772706
100,339,4,6,,-4.132122584715857,4.132122584715857
101,342,6,6,,-3.507010722518749,3.507010722518749
102,349,1,6,,-4.440806988005138,4.440806988005138
103,361,4,6,,-3.7116459962120754,3.7116459962120754
104,366,1,6,,-5.800335205447284,5.800335205447284
105,367,5,6,,-3.35895872909643,3.35895872909643
106,372,6,6,,-3.485862324589748,3.485862324589748
107,376,6,6,,-3.851451004552865,3.851451004552865
108,379,6,6,,-3.217560799249894,3.217560799249894
109,382,1,6,,-4.48606563383122,4.48606563383122
110,387,2,6,,-4.369873548256845,4.369873548256845
111,388,4,6,,-4.128675466520488,4.128675466520488
112,389,1,6,,-3.321683161641316,3.321683161641316
113,399,5,6,,-4.298080730438233,4.298080730438233
114,400,4,6,,-2.9694473134375,2.9694473134375
115,401,2,6,,-7.665938825218683,7.665938825218683
116,403,5,6,,-4.4253544481148515,4.4253544481148515
117,406,3,5,post_TC,-3.5874012651686504,3.5874012651686504
118,410,5,6,,-3.957036039387141,3.957036039387141
119,412,2,6,,-4.931741909977263,4.931741909977263
120,416,3,6,,-3.952163906898032,3.952163906898032
121,419,2,6,,-3.190874376296997,3.190874376296997
122,420,3,6,,-3.029085927186482,3.029085927186482
123,428,2,6,,-5.326905070404876,5.326905070404876
124,432,3,6,,-2.964924058914185,2.964924058914185
125,436,5,6,,-3.7596398374731685,3.7596398374731685
126,437,1,6,,-4.859376994698864,4.859376994698864
127,438,6,6,,-6.914955497166184,6.914955497166184
128,440,4,6,,-3.0658943355970942,3.0658943355970942
129,445,1,6,,-4.048806182778392,4.048806182778392
130,446,5,6,,-3.2307338905334473,3.2307338905334473
131,457,5,6,,-3.8730986828544602,3.8730986828544602
132,458,6,6,,-4.412362591413849,4.412362591413849
133,459,4,5,post_GO,-4.538419599338891,4.538419599338891
134,462,1,6,,-5.872314866497882,5.872314866497882
135,476,5,6,,-4.9426796483893405,4.9426796483893405
136,477,3,6,,-4.384630599645222,4.384630599645222
137,479,2,6,,-4.613640853958694,4.613640853958694
138,483,6,6,,-3.6578905261218444,3.6578905261218444
139,485,5,6,,-4.679340190188636,4.679340190188636
140,494,3,6,,-3.341747949630014,3.341747949630014
141,503,3,6,,-4.090900554656983,4.090900554656983
142,510,3,6,,-6.343516529896904,6.343516529896904
143,511,4,6,,-4.195805121576846,4.195805121576846
144,517,1,6,,-3.697038413942456,3.697038413942456
145,520,4,6,,-6.614374811189758,6.614374811189758
146,521,2,6,,-4.174607741143391,4.174607741143391
147,524,6,6,,-3.4454289224981496,3.4454289224981496
148,526,1,6,,-3.742802121764865,3.742802121764865
149,527,6,6,,-2.8663631808638574,2.8663631808638574
150,530,2,6,,-4.22792344067697,4.22792344067697
151,531,2,6,,-4.559059591994794,4.559059591994794
152,536,4,6,,-5.106698996235658,5.106698996235658
153,538,6,6,,-3.255443493211635,3.255443493211635
154,539,6,6,,-4.664044434722239,4.664044434722239
155,540,3,6,,-4.958956664930956,4.958956664930956
156,542,5,6,,-5.046804351216253,5.046804351216253
157,543,2,6,,-4.161996123320744,4.161996123320744
158,550,6,6,,-4.16875011787832,4.16875011787832
159,555,6,6,,-4.942653231511431,4.942653231511431
160,560,5,6,,-3.819801836013794,3.819801836013794
161,566,1,6,,-5.994393148572664,5.994393148572664
162,568,5,6,,-3.760270442962647,3.760270442962647
163,569,1,6,,-5.80315513515573,5.80315513515573
164,571,1,6,,-5.219456570071961,5.219456570071961
165,572,3,6,,-4.062711898584886,4.062711898584886
166,573,4,6,,-3.5342148113250733,3.5342148113250733
167,579,2,6,,-3.7483089511043937,3.7483089511043937
168,580,2,6,,-3.4254542827606205,3.4254542827606205
169,581,5,6,,-3.9032332199724205,3.9032332199724205
170,589,2,6,,-3.2808455468710793,3.2808455468710793
171,592,4,6,,-4.904980525165026,4.904980525165026
172,601,1,6,,-3.3035201281026936,3.3035201281026936
173,606,4,6,,-3.8498396299090927,3.8498396299090927
174,609,3,6,,-6.554966772933772,6.554966772933772
175,612,3,6,,-4.426578779387146,4.426578779387146
176,615,3,6,,-3.171877384185791,3.171877384185791
177,617,6,6,,-4.593664920793745,4.593664920793745
178,622,2,6,,-4.268700045563556,4.268700045563556
179,628,2,6,,-5.11586606724819,5.11586606724819
180,636,3,6,,-4.240319157120545,4.240319157120545
181,642,6,5,post_TC,-4.496697323964172,4.496697323964172
182,647,2,6,,-3.7070687070339243,3.7070687070339243
183,649,6,6,,-3.3055361048548835,3.3055361048548835
184,650,6,6,,-3.587154294027845,3.587154294027845
185,663,3,6,,-2.9672648099927788,2.9672648099927788
186,669,3,6,,-5.085883543665792,5.085883543665792
187,670,2,6,,-3.7095417142293923,3.7095417142293923
188,673,1,6,,-5.164444900632087,5.164444900632087
189,684,1,6,,-4.262480989922875,4.262480989922875
190,690,1,6,,-3.519561809125095,3.519561809125095
191,691,4,6,,-5.8123069199711175,5.8123069199711175
192,693,5,6,,-4.009289619551038,4.009289619551038
193,695,4,6,,-4.4019556805930184,4.4019556805930184
194,700,5,6,,-4.88115905350304,4.88115905350304
195,701,4,6,,-3.470392177903592,3.470392177903592
196,704,4,5,post_GO,-3.4415185221739697,3.4415185221739697
197,705,5,6,,-3.466038008725385,3.466038008725385
198,706,5,6,,-3.9375205822449435,3.9375205822449435
