window_index,original_trial_number,stage,stage_name,usable
324,220,0,pre_TC,True
325,220,1,post_TC,True
326,220,2,pre_SC,True
327,220,3,post_SC,True
328,220,4,pre_GO,True
329,220,5,post_GO,True
444,612,0,pre_TC,True
445,612,1,post_TC,True
446,612,2,pre_SC,True
447,612,3,post_SC,True
448,612,4,pre_GO,True
449,612,5,post_GO,True
462,615,0,pre_TC,True
463,615,1,post_TC,True
464,615,2,pre_SC,True
465,615,3,post_SC,True
466,615,4,pre_GO,True
467,615,5,post_GO,True
564,494,0,pre_TC,True
565,494,1,post_TC,True
566,494,2,pre_SC,True
567,494,3,post_SC,True
568,494,4,pre_GO,True
569,494,5,post_GO,True
756,592,0,pre_TC,True
757,592,1,post_TC,True
758,592,2,pre_SC,True
759,592,3,post_SC,True
760,592,4,pre_GO,True
761,592,5,post_GO,True
984,693,0,pre_TC,True
985,693,1,post_TC,True
986,693,2,pre_SC,True
987,693,3,post_SC,True
988,693,4,pre_GO,True
989,693,5,post_GO,True
