trial_index,original_trial_number,TC_sample,SC_sample,GO_sample,source_condition_index,source_trial_index
0,159,2880,3759,4500,1,6
1,16,2884,3762,4500,1,7
2,566,2884,3763,4500,1,13
3,673,2884,3763,4500,1,21
4,263,2884,3763,4500,1,29
5,389,2883,3762,4500,1,10
6,684,2884,3762,4500,1,3
7,437,2885,3763,4500,1,32
8,56,2883,3762,4500,1,16
9,82,2884,3763,4500,1,14
10,517,2884,3763,4500,1,31
11,124,2884,3762,4500,1,27
12,526,2884,3763,4500,1,30
13,382,2880,3759,4500,1,8
14,80,2878,3763,4500,1,33
15,366,2883,3762,4500,1,28
16,156,2883,3762,4500,1,22
17,690,2884,3762,4500,1,34
18,265,2884,3763,4500,1,19
19,445,2884,3763,4500,1,12
20,462,2884,3763,4500,1,5
21,152,2884,3763,4500,1,15
22,188,2883,3762,4500,1,26
23,195,2878,3762,4500,1,18
24,205,2884,3763,4500,1,17
25,262,2884,3763,4500,1,25
26,571,2867,3754,4500,1,2
27,601,2879,3763,4500,1,1
28,349,2883,3762,4500,1,9
29,236,2867,3755,4500,1,4
30,569,2883,3762,4500,1,24
31,276,2878,3763,4500,1,23
32,40,2884,3763,4500,1,11
33,98,2884,3763,4500,2,26
34,260,2884,3762,4500,2,10
35,622,2884,3763,4500,2,2
36,198,2884,3763,4500,2,6
37,628,2884,3762,4500,2,21
38,647,2884,3763,4500,2,27
39,10,2884,3762,4500,2,17
40,412,2867,3755,4500,2,19
41,670,2884,3763,4500,2,16
42,150,2885,3763,4500,2,22
43,521,2884,3763,4500,2,5
44,131,2884,3762,4500,2,32
45,579,2879,3762,4500,2,8
46,419,2885,3763,4500,2,33
47,580,2875,3763,4500,2,25
48,428,2884,3762,4500,2,11
49,543,2884,3763,4500,2,3
50,387,2876,3762,4500,2,28
51,158,2884,3763,4500,2,12
52,275,2871,3754,4500,2,18
53,254,2884,3763,4500,2,30
54,220,2879,3763,4500,2,29
55,589,2884,3763,4500,2,31
56,530,2884,3763,4500,2,20
57,531,2883,3762,4500,2,23
58,91,2884,3762,4500,2,34
59,96,2876,3762,4500,2,4
60,197,2884,3763,4500,2,14
61,281,2885,3763,4500,2,24
62,401,2876,3762,4500,2,15
63,34,2884,3763,4500,2,9
64,479,2883,3762,4500,2,1
65,117,2875,3762,4500,2,7
66,663,2868,3755,4500,3,20
67,14,2884,3763,4500,3,10
68,540,2883,3762,4500,3,9
69,128,2884,3763,4500,3,18
70,420,2880,3759,4500,3,1
71,503,2881,3760,4500,3,16
72,636,2885,3763,4500,3,17
73,307,2885,3763,4500,3,5
74,612,2884,3763,4500,3,2
75,609,2884,3763,4500,3,32
76,46,2868,3763,4500,3,26
