row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,window_index,trial_index,stage,stage_name,start_sample,end_sample_exclusive,event_sample,preprocessing_error,cloud_sha256
0,5,159,1,1,short,0,0,0,pre_TC,2580,2880,2880,,73c888d3585e68d3fb6a00fd431ebb1c11497db9d4b5f9d4f23d23e3968bea72
0,5,159,1,1,short,1,0,1,post_TC,2880,3180,2880,,5f59bb69932cb07b1e60e031f625bd8a47f39cdb312ba0478f4196c2eeb51e41
0,5,159,1,1,short,2,0,2,pre_SC,3459,3759,3759,,58fe62b2b9286f445f5cfdf2bc37eb126f2b313b1ee48fe88aef8439640ba26d
0,5,159,1,1,short,3,0,3,post_SC,3759,4059,3759,,acd1046ca8946919f76f695f88cb067423436e02270524019a5d1be407deb197
0,5,159,1,1,short,4,0,4,pre_GO,4200,4500,4500,,88db19433abbcdebdf54ed248ddc430fbd6c4c0f5f5a33dfa7e65040af898bac
0,5,159,1,1,short,5,0,5,post_GO,4500,4800,4500,,8021c4ca93d6426206bf7dc3c7adfae3e8ff07924bb753fd8c0f671622e4dff2
1,6,16,1,4,short,6,1,0,pre_TC,2584,2884,2884,,20d52649707e5816baa06d9bbf2c32d79b1e749f2134ec5b650ad40f0a36b37e
1,6,16,1,4,short,7,1,1,post_TC,2884,3184,2884,,1769d0280e9c3e8e3ce23e1fe181eec651241d9f06bdfba4a2b47866d00cfbe0
1,6,16,1,4,short,8,1,2,pre_SC,3462,3762,3762,,a18962b1934a7093e65ccce2fcccf0b80d6d118b820a6b76378ba199fe005943
1,6,16,1,4,short,9,1,3,post_SC,3762,4062,3762,,4439dc90746d85c9c391f98b41e3850bcd66a19cbcbcfe5f814d390d03c1094d
1,6,16,1,4,short,10,1,4,pre_GO,4200,4500,4500,,95886bac4f692c3266244525d30bc0d81e39f0c37ff506ea59a009e2af936bd8
1,6,16,1,4,short,11,1,5,post_GO,4500,4800,4500,,1e812ca87ae591b2daf157f5f2dcf3b7c19be9310a0878bb8170f20be6329d99
2,12,566,1,4,short,12,2,0,pre_TC,2584,2884,2884,,968abf5cdefbca9076a6821105078d6aab3aab6360496d8eda9bc37a6de04a88
2,12,566,1,4,short,13,2,1,post_TC,2884,3184,2884,,f242cf90fac1a4acbce7937786db8803a018e87616f03f883eb0c6e2e1d26205
2,12,566,1,4,short,14,2,2,pre_SC,3463,3763,3763,,be83531dbc74657d57d7647342464ac30a2f63304d84c33449a6fde5255b5b1a
2,12,566,1,4,short,15,2,3,post_SC,3763,4063,3763,,810757fb32d015864fe66561cccf176f08538894265e034624e9d867b65a7549
2,12,566,1,4,short,16,2,4,pre_GO,4200,4500,4500,,b66156441ea89ac1455a308d39f9955c85ddce57fe081ecaed87512e0b39047f
2,12,566,1,4,short,17,2,5,post_GO,4500,4800,4500,,8c3bc1bf18f71729ed97bf6402c155f7ff8d51777337fe401c9b44766b41bb69
3,20,673,1,2,short,18,3,0,pre_TC,2584,2884,2884,,cd622901763d7ec99196487a2c8c31953a20bc32d1e343eb84c37ba487f19bc6
3,20,673,1,2,short,19,3,1,post_TC,2884,3184,2884,,e3f455fb4c4ac08d720a3befaa78a6a1309b2c7f05bbcacd22cb9d4ddabdb97b
3,20,673,1,2,short,20,3,2,pre_SC,3463,3763,3763,,5597b4f53b0c72c7e77a076573d46ce91998cdd590d282843b6474cd77e8e8cb
3,20,673,1,2,short,21,3,3,post_SC,3763,4063,3763,,b9b55a3b011803770b5969b344f62fd0d9290138d4d02e7b1fa2ecc7af111263
3,20,673,1,2,short,22,3,4,pre_GO,4200,4500,4500,,099ea96faa95860e46d1d3167405ee8ccdbd5673d07b54cc7e1d135dcf32ae31
3,20,673,1,2,short,23,3,5,post_GO,4500,4800,4500,,52cc5a3aa7fa5da0701491338a56369cee5021109327bd1a3db6bd1cba44b8c5
4,28,263,1,3,short,24,4,0,pre_TC,2584,2884,2884,,0a6485719171ea74b2a4f683541da9e4bf7fe3391041125a3c704707ccfddce3
4,28,263,1,3,short,25,4,1,post_TC,2884,3184,2884,,4cf26691300b6c3dfd51833889242124c0fa8b3c57979e6740624430d2127d99
4,28,263,1,3,short,26,4,2,pre_SC,3463,3763,3763,,2c253b6e34420892b4e9c97bbbd4f19fa7581999d77f3ca1a2aaa8032b7b8996
4,28,263,1,3,short,27,4,3,post_SC,3763,4063,3763,,5f43e8f2bb9be71ba11b8d560b784234c23b210e6eb000e3eddaee1343e4d146
4,28,263,1,3,short,28,4,4,pre_GO,4200,4500,4500,,e4b28aef7834fcdfbc058f0bcf77d6b5d03a1585d1c18ee3391c53fdb6c71936
4,28,263,1,3,short,29,4,5,post_GO,4500,4800,4500,,86924538971a20e62162f509b418b88fdb96937e83eeac63f729204223100496
5,9,389,1,4,short,30,5,0,pre_TC,2583,2883,2883,,96402972e9d007a5cf84d91775fa8f78eea1c68ef09724ca8fec69038c4683e7
5,9,389,1,4,short,31,5,1,post_TC,2883,3183,2883,,6f7c8a37d709c11976189daef8b407a36504c4a6f64de29376c245b408b3ba2e
5,9,389,1,4,short,32,5,2,pre_SC,3462,3762,3762,,feca8b03757f7ec3d62349430bc075376d037884e6f6d89e6a50888a2567d47e
5,9,389,1,4,short,33,5,3,post_SC,3762,4062,3762,,0a7fe4863003935bca29bf11c637bdbdadaf022aa0e63e279e76179be9937c68
5,9,389,1,4,short,34,5,4,pre_GO,4200,4500,4500,,947d6937882bf9571389850e273b40845058a7b2b221da8133c35e9fb48ba8f6
5,9,389,1,4,short,35,5,5,post_GO,4500,4800,4500,,992aa3ab2694b78c531c54a0e9c7149d930d22ff416151040e162f758968e681
6,2,684,1,0,short,36,6,0,pre_TC,2584,2884,2884,,11f64a7107343855a311d5fa38f2c9361dee9abdac56b118a6d3f0971782d27b
6,2,684,1,0,short,37,6,1,post_TC,2884,3184,2884,,c9aad3d8f8fd0ba85acfe6ea3fd06b261d9b089966647efd724dfb6f478807a0
6,2,684,1,0,short,38,6,2,pre_SC,3462,3762,3762,,dd5271ebba8c20d73d1a1afb2ddc84587512b9c38902eae769e0e25da5b69369
6,2,684,1,0,short,39,6,3,post_SC,3762,4062,3762,,f1bda6f2588d89315c75ad72911a53d380258201fb6658dfe4a28372a9c69b62
6,2,684,1,0,short,40,6,4,pre_GO,4200,4500,4500,,7516c6bf3f8ca76840252ae6c336369db2b1d5ce8e23b7fb7759f9fdf437df5d
6,2,684,1,0,short,41,6,5,post_GO,4500,4800,4500,,2f2dccb8fc2db160163bacdeb6e6307905eb871197b0bdea80dc812ed841dedd
7,31,437,1,3,short,42,7,0,pre_TC,2585,2885,2885,,e8ac027f6f90cc4612d629428977499ae104aaed5c595dcaf7522bb178e6ba57
7,31,437,1,3,short,43,7,1,post_TC,2885,3185,2885,,990ed66d248149cef25dacfa974a346ecce24a363ccc33d515ede52b91ad62c0
7,31,437,1,3,short,44,7,2,pre_SC,3463,3763,3763,,3b09ad20ade95c6b76c3e4d3a11bcf008f11a3ea9f3bd6921a17b14a6b9ce9b2
7,31,437,1,3,short,45,7,3,post_SC,3763,4063,3763,,82763b0f06261cea159bf372b4c0e2cf1d9f2f5308bd7993ae76652ac1edb0e7
7,31,437,1,3,short,46,7,4,pre_GO,4200,4500,4500,,687f3b2408f6a95604e7989c650b8581d6cff2a246292a32703be22600fbc8d5
7,31,437,1,3,short,47,7,5,post_GO,4500,4800,4500,,4b20ce254ed24e935af327c1aa69fc5a5a8286a3ac21d61552898b5fb7cbfaed
8,15,56,1,3,short,48,8,0,pre_TC,2583,2883,2883,,92925bb9754e04d8e70f03b2d7ac0bd9a87cc6dd56e1dbff89949effd79e4986
8,15,56,1,3,short,49,8,1,post_TC,2883,3183,2883,,6fa3937240c5b0533e43ae90a678fd3a4492c9d3cc065e701482d1f93875c0d0
8,15,56,1,3,short,50,8,2,pre_SC,3462,3762,3762,,b86e18623af9af938e2b1360813213e1d3abb074fee744de641b86c88d5173eb
8,15,56,1,3,short,51,8,3,post_SC,3762,4062,3762,,147298d9fe32266146cdaa8c8a5317016cecc115c0dd1ac987095819d697b7a2
8,15,56,1,3,short,52,8,4,pre_GO,4200,4500,4500,,463ee6979f78dd6f41a26ab3d2363b545d6abbe741b7534fca9f5aaa245db4ca
8,15,56,1,3,short,53,8,5,post_GO,4500,4800,4500,,fa6612495e894c91968bd5933f6d73ba6d13a18d6b151a8988ca334163791a68
9,13,82,1,4,short,54,9,0,pre_TC,2584,2884,2884,,949bf15a919e6644f896411782d2f3d5b8e1b00d794f7e886ca958ded750aaee
9,13,82,1,4,short,55,9,1,post_TC,2884,3184,2884,,18b8b9a87b338693ae339fdf1cb7302cf0c004d5302da25bb5ebde4bff11a417
9,13,82,1,4,short,56,9,2,pre_SC,3463,3763,3763,,5e65a7e052b49b9661554d22f11605d1bfa83799e62c0f53f70d3cb05d04e355
9,13,82,1,4,short,57,9,3,post_SC,3763,4063,3763,,ca5119c986e1fd057466d365fdb139f7a06128b8462b72e4a92c73b59e22d72c
9,13,82,1,4,short,58,9,4,pre_GO,4200,4500,4500,,3f6975a40a040670a571dc2664b908e5e7cfa970b673779a0dfe834c06083400
9,13,82,1,4,short,59,9,5,post_GO,4500,4800,4500,,7f499e77f6138a0da205acfa26f2db37d4dd009379ce602fff0f07c9dc89939a
10,30,517,1,0,short,60,10,0,pre_TC,2584,2884,2884,,c17bb63e80c0093f68b7a8d3dc587dff1afccd0e49332029234bf72766e92ccd
10,30,517,1,0,short,61,10,1,post_TC,2884,3184,2884,,890a054782fffb29ee1d5bbd048877d9dc266ba6bc66d7e072633d110801211b
10,30,517,1,0,short,62,10,2,pre_SC,3463,3763,3763,,74d62c526ca842a031f8b216e02c5dc6e9492f9ecbf274b3715228eb6ef263cf
10,30,517,1,0,short,63,10,3,post_SC,3763,4063,3763,,95f86553ed2a3b6bd29111a31af543dea5f142eabee5fd1feb353909ea85ba4d
10,30,517,1,0,short,64,10,4,pre_GO,4200,4500,4500,,d8a44552da63ca7d4c1f0ea8c4c1c6e9e4006902f92c6fa20387212293e0220f
10,30,517,1,0,short,65,10,5,post_GO,4500,4800,4500,,1c3b1f715becbef2682a20568a48832e204172682b321aad35122899631215f7
