original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width
159,0,0,pre_TC,3.725561714346464,1.2389375626715362,1.053238841568311
159,1,1,post_TC,4.749349617302802,1.596994754223839,1.3061871426267613
159,2,2,pre_SC,4.852407199090087,1.848162890751432,1.4712356738531964
159,3,3,post_SC,3.3720687885847864,0.9538482183099138,0.8284079297641623
159,4,4,pre_GO,8.317359531221404,1.987785117001903,2.19038410167118
159,5,5,post_GO,3.38838000705555,0.8873852344440963,0.7181891885236922
16,6,0,pre_TC,3.455505166629424,1.2999777853370902,1.0427235778748036
16,7,1,post_TC,5.9928898122538055,1.3944855591319727,1.5360479166271148
16,8,2,pre_SC,5.538153541232392,1.896013479366718,1.6318662423828043
16,9,3,post_SC,4.534740132010832,1.348357552101442,1.2144034238124992
16,10,4,pre_GO,3.12687425791039,1.207915539658695,0.8543128898608072
16,11,5,post_GO,3.53890232959887,1.0136131776541837,0.8816586987976504
566,12,0,pre_TC,8.237103378121454,2.012841073901648,2.288832125969786
566,13,1,post_TC,5.353775701535105,1.3258629603348155,1.2913799810693316
566,14,2,pre_SC,3.934037833512338,1.101066750460118,1.042958941919945
566,15,3,post_SC,5.140910229881193,1.2241283768691094,1.4367644471807093
566,16,4,pre_GO,4.262785796175942,1.199302531475451,1.074816180131904
566,17,5,post_GO,3.0805116452270638,0.6311153270973108,0.6883128325243523
673,18,0,pre_TC,3.614465518168123,1.3633282167943404,0.9803538530787222
673,19,1,post_TC,3.948022703272866,1.1935859561831226,1.0921307806094926
673,20,2,pre_SC,3.810508720403844,1.0147699129674288,0.913849528810354
673,21,3,post_SC,6.029181323895441,2.427004228726827,1.787560272319802
673,22,4,pre_GO,5.467018019891192,1.6527019569562122,1.5046395977600246
673,23,5,post_GO,4.032921994045868,1.0739862737913104,1.0825502385640184
263,24,0,pre_TC,5.379615659705058,1.2901868831089298,1.393954210178572
263,25,1,post_TC,3.468502047023004,1.0790769794866335,0.8833153957858334
263,26,2,pre_SC,4.069114342665121,1.1231034686692194,1.1076025413135095
263,27,3,post_SC,3.0781213762510835,0.997793704112174,0.8162185324265011
263,28,4,pre_GO,4.890487734661049,1.3389846003633488,1.2920283350720672
263,29,5,post_GO,2.575382905636572,0.5254435341822064,0.5440888757258875
389,30,0,pre_TC,3.3895501820841822,1.1010575512995524,0.9726841295437246
389,31,1,post_TC,3.5238810592161958,1.266370100382367,0.97151277139324
389,32,2,pre_SC,2.885669998812737,0.8822063017627957,0.6968617236399559
389,33,3,post_SC,4.517560552346885,1.370976647467012,1.3159007336339523
389,34,4,pre_GO,3.5298685166545143,1.2963360464168303,0.9825271898003703
389,35,5,post_GO,3.5994566328527973,0.9356946578705376,0.887054881830922
684,36,0,pre_TC,4.047287994626117,1.230794049461177,1.011546306226629
684,37,1,post_TC,4.676362297817867,1.337649956731312,1.206401176855685
684,38,2,pre_SC,5.006780241203857,1.5175161883420385,1.272428858006699
684,39,3,post_SC,3.843207203914576,1.274113930814654,0.9881542413986948
684,40,4,pre_GO,3.858860883868572,1.5146651281248544,1.0762632616499197
684,41,5,post_GO,2.98987507474006,0.982666883366154,0.7560427872791068
437,42,0,pre_TC,6.76515298185694,1.441460373544683,1.738830021615512
437,43,1,post_TC,5.630925477818247,1.467115100581783,1.5953827710361117
437,44,2,pre_SC,3.1280730986983407,1.0435183446139744,0.842092957666234
437,45,3,post_SC,3.796633626659288,1.136952218845679,0.9724412054403192
437,46,4,pre_GO,3.6657361227629854,0.9638639045757588,0.8647337884783308
437,47,5,post_GO,4.179082585753464,0.858185639162019,1.0567456151443382
56,48,0,pre_TC,3.572835035723704,1.1736979708530395,0.9404508248531068
56,49,1,post_TC,2.873492471526187,1.095243550616403,0.8319370159715848
56,50,2,pre_SC,4.512912592268412,1.2787460830541375,1.0857815478512272
56,51,3,post_SC,4.287170866150827,1.2894105116643806,1.2318200586429358
56,52,4,pre_GO,3.300679146062284,1.1281380902718574,0.8714195545473229
56,53,5,post_GO,3.3594175852230155,0.9954184935938744,0.8153074369280493
82,54,0,pre_TC,3.9289821551212825,1.7600347522882425,1.2076712771207951
82,55,1,post_TC,3.265521902759856,1.2481976053247916,0.8027290819802644
82,56,2,pre_SC,5.5968406381483815,1.2628404062752576,1.5757048739740198
82,57,3,post_SC,3.391300762864123,1.0663106980196797,0.930280279077228
82,58,4,pre_GO,5.436073181082645,1.6653380518251846,1.5745038495720065
82,59,5,post_GO,4.569600566099178,1.2227905838310402,1.1495887996576817
517,60,0,pre_TC,4.713349690003067,1.3982104803087174,1.2466028929329542
517,61,1,post_TC,3.017021825340996,1.0362207046760392,0.8450353122386574
517,62,2,pre_SC,3.920290361175264,1.4914739682784652,1.0440228949269328
517,63,3,post_SC,3.3452092147302865,0.848706468524363,0.8399870016808565
517,64,4,pre_GO,2.8007311048884227,1.089935674351529,0.7260587624949846
517,65,5,post_GO,2.749878252181833,0.6379287545526684,0.6144054163376689
124,66,0,pre_TC,3.789284246887544,1.33123992146818,1.128519607331356
124,67,1,post_TC,3.3518933827324817,1.3854322607431049,1.0039233507827192
124,68,2,pre_SC,4.544230246673055,1.2584001318404738,1.1526121656495243
124,69,3,post_SC,4.982824163400416,1.1995893613326931,1.3376518811125542
124,70,4,pre_GO,3.142367186204841,1.0636039996322832,0.8260644012306706
