feature,stage,stage_name,bin_index,bin_lower,bin_upper,count,stage_n,fraction
R1,0,pre_TC,0,0.0,0.43500000000000005,0,197,0.0
R1,0,pre_TC,1,0.43500000000000005,0.8700000000000001,0,197,0.0
R1,0,pre_TC,2,0.8700000000000001,1.3050000000000002,0,197,0.0
R1,0,pre_TC,3,1.3050000000000002,1.7400000000000002,0,197,0.0
R1,0,pre_TC,4,1.7400000000000002,2.1750000000000003,1,197,0.005076142131979695
R1,0,pre_TC,5,2.1750000000000003,2.6100000000000003,5,197,0.025380710659898477
R1,0,pre_TC,6,2.6100000000000003,3.0450000000000004,15,197,0.07614213197969544
R1,0,pre_TC,7,3.0450000000000004,3.4800000000000004,32,197,0.16243654822335024
R1,0,pre_TC,8,3.4800000000000004,3.9150000000000005,45,197,0.22842639593908629
R1,0,pre_TC,9,3.9150000000000005,4.3500000000000005,40,197,0.20304568527918782
R1,0,pre_TC,10,4.3500000000000005,4.785,16,197,0.08121827411167512
R1,0,pre_TC,11,4.785,5.220000000000001,15,197,0.07614213197969544
R1,0,pre_TC,12,5.220000000000001,5.655000000000001,16,197,0.08121827411167512
R1,0,pre_TC,13,5.655000000000001,6.090000000000001,6,197,0.030456852791878174
R1,0,pre_TC,14,6.090000000000001,6.525,2,197,0.01015228426395939
R1,0,pre_TC,15,6.525,6.960000000000001,1,197,0.005076142131979695
R1,0,pre_TC,16,6.960000000000001,7.395000000000001,0,197,0.0
R1,0,pre_TC,17,7.395000000000001,7.830000000000001,1,197,0.005076142131979695
R1,0,pre_TC,18,7.830000000000001,8.265,2,197,0.01015228426395939
R1,0,pre_TC,19,8.265,8.700000000000001,0,197,0.0
R1,1,post_TC,0,0.0,0.43500000000000005,0,195,0.0
R1,1,post_TC,1,0.43500000000000005,0.8700000000000001,0,195,0.0
R1,1,post_TC,2,0.8700000000000001,1.3050000000000002,0,195,0.0
R1,1,post_TC,3,1.3050000000000002,1.7400000000000002,0,195,0.0
R1,1,post_TC,4,1.7400000000000002,2.1750000000000003,0,195,0.0
