window_index,stage_name,original_trial_number,fit_status,usable,unusable_reason,elapsed_seconds,model,n_points,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z
0,pre_TC,159,returned,True,,0.04790887306444347,one_torus,294,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,34,2.6810281206496516,2180088.416566772,,627.2896728515625,0.0038677437599823434,0.09084253622242786,0.07497596284726094,0,0,0.008252366387323117,0.010571174825920205,0.8605442176870748,0.9993426275447927,0.15138362779578868,0.07142857142857142,3.725561714346464,1.2389375626715362,1.053238841568311,0.5639890478950169,0.1875548628497398,-0.3532282492857318,-0.40731806699446466,-0.4123950256874154,-0.4346618674880139,0.7888852726792399,-0.43442961167615707,-0.5556808075487674,-0.6145372718310016,-0.5599667683447469,-0.7087227250992157,-0.001992003820651907,0.7054843236009714
1,post_TC,159,returned,True,,0.03987115598283708,one_torus,294,True,3,`xtol` termination condition is satisfied.,31,2.716145004953395,20953.481979774606,,1227.203125,0.0022630993343550508,0.09719330929538775,0.07248223087475063,0,0,0.009446539371788906,0.009665520824001893,0.8979591836734694,0.9994962339653359,0.17673100218946267,0.061224489795918366,4.749349617302802,1.596994754223839,1.3061871426267613,0.8393573176142419,0.2822384834053531,0.8155475596880175,0.7413358433127685,0.5909036485340355,-0.42884745662398166,0.79564848158135,-0.4278239739706192,0.5629039359857092,0.6057585242115759,0.5623128748257596,0.7065614041236822,0.00032264733883728545,-0.707651664379775
2,pre_SC,159,returned,True,,0.04347813397180289,one_torus,294,True,3,`xtol` termination condition is satisfied.,37,3.307609331896571,0.5207512250569943,,1441.9520263671875,0.0024041080862575457,0.10858722514446247,0.08575885781376248,0,0,0.01179118546457418,0.010759396685481084,0.9013605442176871,0.999623615449752,0.1217250746567232,0.04421768707482993,4.852407199090087,1.8481628907514318,1.4712356738531964,0.5906596285741837,0.2249677658545498,0.19380802157613763,0.01582879046456618,-0.1682237438833299,0.4247060194535316,-0.7908334142063056,0.4406895823755336,0.5605702053579105,0.6119483935807137,0.5579249129201652,-0.7109049457580199,0.010083380771065128,0.7032158157543192
3,post_SC,159,returned,True,,0.03998499794397503,one_torus,294,True,2,`ftol` termination condition is satisfied.,20,1.9770590284775624,0.00020332373341050425,,874.6878662109375,0.0023490057614367356,0.08359781506901921,0.06921956233163588,0,0,0.006988594684313935,0.010951388607953451,0.8367346938775511,0.9995414982435701,0.23400478701379568,0.06462585034013606,3.3720687885847864,0.9538482183099138,0.8284079297641623,0.789080238668885,0.22320504916916606,-0.27361972045076,-0.24294084441613278,-0.20058443892474995,-0.4243232864255113,0.8044990899422192,-0.41560914676965616,0.568084949594375,0.5939272443587552,0.5696752745650561,0.7051448352215758,0.005625183505200417,-0.7090409851827111
4,pre_GO,159,returned,True,,0.043077526963315904,one_torus,294,True,2,`ftol` termination condition is satisfied.,23,4.253774247802485,0.0001929566239740185,active_optimizer_bound;near_optimizer_bound,2585.51171875,0.0013800862860620564,0.11016730112149084,0.08176158012206657,1,1,0.012136834236393237,0.010553306457107095,0.9421768707482994,0.9995904028188627,0.1497900606183663,0.01020408163265306,8.317359531221404,1.987785117001903,2.19038410167118,1.2458577883665507,0.2977504531720372,3.1922954897410296,3.0280537045182108,2.6353510529904307,0.4462812738800942,-0.805242384042423,0.39040713047457876,-0.5698729986331297,-0.592091987426269,-0.5697998278803672,0.6899839056175122,0.03180851091180883,-0.7231254584236246
5,post_GO,159,returned,True,,0.0424694319954142,one_torus,294,True,3,`xtol` termination condition is satisfied.,32,1.7139610311991922,7.163054914009279,,1065.904541015625,0.0024111110789678592,0.0934962301972929,0.07534538036941814,0,0,0.008741545061105185,0.013835789532397535,0.8503401360544217,0.9993297561741269,0.3281303832556494,0.05782312925170068,3.38838000705555,0.8873852344440963,0.7181891885236922,1.1118304303312458,0.29117805707363154,-0.9650208677163173,-1.0138167983485182,-1.0274120567042169,-0.4181448110399887,0.8082475655300361,-0.41459714158989563,-0.5716112107286189,-0.5888395938849177,-0.5714267725971613,-0.7059855103101913,-0.0019507657820063344,0.7082235902191641
6,pre_TC,16,returned,True,,0.382791809970513,one_torus,294,True,2,`ftol` termination condition is satisfied.,208,2.656584381045458,0.0023351708140148253,,489.37994384765625,0.0033229050509325413,0.0743718156520958,0.056173039662554825,0,0,0.005531166963389321,0.013901294640969779,0.8469387755102041,0.9988849157588037,0.12292939463180866,0.08843537414965986,3.4555051666294236,1.2999777853370902,1.0427235778748036,0.4247831582809651,0.15980548218633406,-0.019500187440850227,-0.1957324551592677,-0.35589071417694135,-0.4313224836421923,0.7921268047636443,-0.4318518730758166,0.5611691120029335,0.6103553684455022,0.5590666793340436,0.7064348114559718,-0.0012039034788070711,-0.7077770890453995
7,post_TC,16,returned,True,,0.04506950103677809,one_torus,294,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,40,3.010258582873064,2.3116050305087135,,1718.7890625,0.001830875051893826,0.10345869092487364,0.0767388603065631,0,0,0.01070370072788853,0.011843462497086893,0.9013605442176871,0.9995179807324616,0.16828489718993458,0.047619047619047616,5.9928898122538055,1.3944855591319727,1.5360479166271148,1.0085128459259063,0.23467085895141163,1.0420313896532325,1.0754607491302155,1.046390629003161,0.4211157954684244,-0.8057329284233686,0.416480413538218,-0.5683803407185176,-0.5922669469770785,-0.5711073907779101,0.706827613417864,0.00378306381589507,-0.7073757228914288
8,pre_SC,16,returned,True,,0.03755854000337422,one_torus,294,True,2,`ftol` termination condition is satisfied.,24,3.3490951915967218,0.0009689644265112085,,966.1384887695312,0.002776727835069849,0.09552404039577111,0.07630508640319805,0,0,0.00912484229353291,0.009826190786301307,0.8945578231292517,0.9996054335756953,0.12196417548265666,0.05102040816326531,5.538153541232392,1.896013479366718,1.6318662423828043,0.6754563303528858,0.23124572071500657,-0.628908085958525,-0.8254369611780957,-0.8211964848403969,-0.4370147393477019,0.7862899073702108,-0.4367680152669656,0.5554038567585361,0.6178573937503363,0.5565777545714393,0.7074918186727792,0.000650042152722997,-0.7067212349677086
9,post_SC,16,returned,True,,0.04076776502188295,one_torus,294,True,2,`ftol` termination condition is satisfied.,38,3.2421378398105367,5962745.396756155,,1127.2122802734375,0.0035102060729453634,0.11601001879843674,0.0959594524302385,0,0,0.013458324461613646,0.009023544433233627,0.8809523809523809,0.9996839171240558,0.17431020933605162,0.05442176870748299,4.534740132010832,1.348357552101442,1.2144034238124992,0.7904515016955768,0.23503248716670028,-0.7779045544888532,-0.8279943393472096,-0.7572910179259964,-0.43358221890776716,0.7926487145037027,-0.4286192655985074,0.5608798027049003,0.6096737121138243,0.5600998229539642,0.7052803033993098,0.002445434921817769,-0.708924335513333
