window_index,stage_name,feature,value,plotted_x
0,pre_TC,R1,3.725561714346464,0.16237530980853218
6,pre_TC,R1,3.455505166629424,-0.13568921193864053
12,pre_TC,R1,8.237103378121454,-0.19705003826198314
18,pre_TC,R1,3.614465518168123,0.2270166916321771
24,pre_TC,R1,5.379615659705058,0.18812596460748945
30,pre_TC,R1,3.3895501820841822,-0.0036863952824721657
36,pre_TC,R1,4.047287994626117,0.042584069366004035
42,pre_TC,R1,6.76515298185694,0.05657560099585243
48,pre_TC,R1,3.572835035723704,0.01289581695122402
54,pre_TC,R1,3.9289821551212825,0.14601124813764335
60,pre_TC,R1,4.713349690003067,0.07879519867012377
66,pre_TC,R1,3.789284246887544,0.05269562559069932
72,pre_TC,R1,4.8496965349762,0.049914678827846976
78,pre_TC,R1,4.092628808745482,-0.20191592902620592
84,pre_TC,R1,5.333667234080334,-0.13493606133928807
90,pre_TC,R1,4.698078698379705,-0.17863198849440093
96,pre_TC,R1,3.4330343144045896,-0.1853198347108105
102,pre_TC,R1,3.412207296373606,0.13576001603111917
108,pre_TC,R1,4.944672447034733,-0.06279394445530859
114,pre_TC,R1,3.0205211636347893,0.05435757527646265
120,pre_TC,R1,3.668568303018311,-0.17252211409210183
126,pre_TC,R1,3.7560722775157647,-0.14570006086004506
132,pre_TC,R1,5.962944960254682,0.04547146829495066
138,pre_TC,R1,3.24043894479264,0.19394766971902114
144,pre_TC,R1,4.273106171425622,0.1318516882098784
150,pre_TC,R1,3.705193041075383,-0.022796240405557555
156,pre_TC,R1,3.5419221727879115,0.1255103376428092
162,pre_TC,R1,3.956715983600827,0.006527089017774407
168,pre_TC,R1,5.439788820376839,0.21042251331910802
174,pre_TC,R1,4.366659377527206,0.13057024697444122
180,pre_TC,R1,6.475729264680396,-0.06937238826415507
186,pre_TC,R1,4.23382601305705,0.20175857190225996
192,pre_TC,R1,3.231351195846893,-0.06269299119092844
198,pre_TC,R1,2.962936521789888,0.14873684732765105
204,pre_TC,R1,3.2770721526092994,0.1823549466766218
210,pre_TC,R1,3.4886661010853186,0.08517553284392979
216,pre_TC,R1,4.956993627698488,-0.10186271096016372
222,pre_TC,R1,3.956462928771319,-0.16086152798471592
228,pre_TC,R1,3.219450064316398,0.08290419187004208
234,pre_TC,R1,3.795650337525737,-0.05324719079990403
240,pre_TC,R1,3.7206679181220825,-0.03002471156177866
246,pre_TC,R1,4.185052719716715,0.15732963246901463
252,pre_TC,R1,5.653493372390258,-0.041123729336180054
258,pre_TC,R1,3.532896999135932,0.021239534154256084
264,pre_TC,R1,2.0954574860732698,0.06295314191569099
270,pre_TC,R1,3.661711948009756,-0.20512113531666235
276,pre_TC,R1,3.0265700816599272,0.07318214176640406
282,pre_TC,R1,4.188662708931414,0.229839680832544
288,pre_TC,R1,6.523819101879692,0.20572753016641762
294,pre_TC,R1,2.715913039371157,-0.08330176892258515
300,pre_TC,R1,4.3360874538567415,-0.2236230610754372
306,pre_TC,R1,4.335482430446108,-0.18483261531411127
312,pre_TC,R1,3.167321246438304,0.11565433349530177
318,pre_TC,R1,3.3011644706405754,-0.09894435309846522
324,pre_TC,R1,2.864502146259273,0.2130031055925922
330,pre_TC,R1,4.572872760600558,0.18120625243853647
336,pre_TC,R1,5.604006902114237,-0.06444909080592709
342,pre_TC,R1,5.360426880997693,0.21440452885174657
348,pre_TC,R1,7.517187272194147,-0.21506402077384626
354,pre_TC,R1,3.9063077604365,0.09126756801721156
360,pre_TC,R1,3.4715788841628705,0.05532927369564669
366,pre_TC,R1,5.113693878612678,-0.055347251364157746
372,pre_TC,R1,8.007381140545895,0.03038089220943027
378,pre_TC,R1,3.1036902222119407,-0.17970360562896565
384,pre_TC,R1,3.6151368146318457,0.18997586212260228
390,pre_TC,R1,5.876538548157105,0.20793022680158627
396,pre_TC,R1,3.712858570170349,0.02279470152799043
402,pre_TC,R1,3.7770753642562895,-0.043352278885431444
408,pre_TC,R1,4.932312667107866,-0.0975368177545714
414,pre_TC,R1,3.698045108638506,-0.01061585896326006
420,pre_TC,R1,4.438913206216337,0.06219930969628659
426,pre_TC,R1,3.0537698896229544,0.15091202805687445
432,pre_TC,R1,3.957635754002987,-0.08215241882315555
438,pre_TC,R1,2.550115984472679,0.12772023803343183
444,pre_TC,R1,4.2771015479614825,-0.15156153578472611
450,pre_TC,R1,3.411127617670835,-0.03245018473118616
456,pre_TC,R1,4.740504591774281,-0.04313950748372103
462,pre_TC,R1,3.205872572228804,0.13722220260562615
468,pre_TC,R1,3.4070067734567364,0.06249683503895706
474,pre_TC,R1,3.5199299029106097,0.07990263725613836
480,pre_TC,R1,3.785310193866844,0.013086478722435207
486,pre_TC,R1,4.1729499933517085,0.21757203115581483
492,pre_TC,R1,4.338094011753139,-0.06410053474687166
498,pre_TC,R1,3.6121082947425847,0.08079613051061615
504,pre_TC,R1,3.549786473030942,-0.03690345832457176
510,pre_TC,R1,3.0258903651090923,0.12744601894286803
516,pre_TC,R1,3.755066076238199,0.15146445013148493
522,pre_TC,R1,5.011886492053374,0.12357627670081059
528,pre_TC,R1,3.596666410122947,-0.2278289351222815
534,pre_TC,R1,4.089536794323076,0.03886246667060403
540,pre_TC,R1,5.4465948038010445,-0.1878872887863507
546,pre_TC,R1,4.306511874063988,-0.04736722787619868
552,pre_TC,R1,4.287608504684743,0.16874879490682745
558,pre_TC,R1,5.320603237745944,0.11137249425212811
564,pre_TC,R1,2.3896364950154814,-0.09429946684793103
570,pre_TC,R1,3.371879556912339,0.21079015618228228
576,pre_TC,R1,3.976815021414415,-0.08338250274508363
582,pre_TC,R1,5.049263502974871,-0.21211441910881923
588,pre_TC,R1,5.850629053585935,0.09651518616467117
594,pre_TC,R1,3.436168832906603,-0.20851931450720257
600,pre_TC,R1,4.101292224505222,-0.06705312576879752
606,pre_TC,R1,3.7271599205915966,-0.025036275793276386
612,pre_TC,R1,5.421455266023867,-0.16255606738005873
618,pre_TC,R1,2.7169437556240847,-0.17753363214435142
624,pre_TC,R1,3.62990255195392,-0.05488602266125664
636,pre_TC,R1,2.4288662310241422,0.1511475616534689
642,pre_TC,R1,3.2527240979662206,-0.013950702635172313
648,pre_TC,R1,3.360596270900412,0.06903094003293545
654,pre_TC,R1,4.353031187800827,0.18283165534044396
660,pre_TC,R1,3.202541193376666,0.03217776573091122
666,pre_TC,R1,4.022771222672779,0.0370883748999514
672,pre_TC,R1,6.048564448237932,-0.1631841041934891
678,pre_TC,R1,3.381650489282615,-0.038533477466690114
684,pre_TC,R1,5.056826283818989,-0.1664313874192308
690,pre_TC,R1,4.322765295119792,-0.056488389559461505
696,pre_TC,R1,2.736226622037594,0.1287053673385171
702,pre_TC,R1,3.906552412790565,0.11300912908162106
708,pre_TC,R1,5.078095419726014,-0.007313228130992611
714,pre_TC,R1,5.528818962110701,0.16938971009488527
720,pre_TC,R1,4.740187122371783,-0.16123319946565368
726,pre_TC,R1,3.493637210397928,-0.07138464119110349
732,pre_TC,R1,2.6353413304136586,0.16035708492375003
738,pre_TC,R1,3.917300265001895,-0.2204963379943244
744,pre_TC,R1,3.264914894328005,0.028236233308970654
750,pre_TC,R1,4.270784407982328,0.2177039679184101
756,pre_TC,R1,4.800369674769761,-0.1275378999561962
762,pre_TC,R1,3.702183297986792,0.008453892406135699
768,pre_TC,R1,3.840406711548755,0.08530307489991193
774,pre_TC,R1,5.065876444696725,-0.047467839758832675
780,pre_TC,R1,4.324729888480283,0.06569713845889388
786,pre_TC,R1,3.539920888979235,0.03880137694225652
792,pre_TC,R1,2.9719253416622085,0.21402806915030745
