analysis_level,analysis_label,comparison_family,comparison,feature_left,feature_right,feature_left_label,feature_right_label,n_pairs,mean_left,mean_right,mean_difference_left_minus_right,wilcoxon_statistic,p_uncorrected,p_holm,significance
pooled,Pooled macaques,primary,torus_plus_relevant_band vs relevant_band,torus_plus_relevant_band,relevant_band,Torus + Relevant band,Relevant band (13-30 Hz),237,0.1856414428516737,0.15652894678785007,0.029112496063823653,4034.0,1.5979942840304292e-21,1.1185959988213004e-20,***
pooled,Pooled macaques,primary,torus_plus_average_psd vs average_psd,torus_plus_average_psd,average_psd,Torus + Average PSD,Average PSD,237,0.1885008455900824,0.1585162663392437,0.029984579250838653,3730.0,9.601198514261033e-23,7.680958811408826e-22,***
pooled,Pooled macaques,primary,torus_plus_all_band_power vs all_band_power,torus_plus_all_band_power,all_band_power,Torus + All band power,All band power,237,0.2093294507046998,0.21157628209290785,-0.002246831388208056,13159.0,0.3723789851509328,0.3723789851509328,ns
pooled,Pooled macaques,fused_vs_torus,torus_plus_relevant_band vs torus_features,torus_plus_relevant_band,torus_features,Torus + Relevant band,Torus features,237,0.1856414428516737,0.1806242516881843,0.005017191163489481,9995.0,0.00010166500745618734,0.00020333001491237469,***
pooled,Pooled macaques,fused_vs_torus,torus_plus_average_psd vs torus_features,torus_plus_average_psd,torus_features,Torus + Average PSD,Torus features,237,0.1885008455900824,0.1806242516881843,0.00787659390189813,8752.0,4.1267377671541243e-07,1.2380213301462372e-06,***
pooled,Pooled macaques,fused_vs_torus,torus_plus_all_band_power vs torus_features,torus_plus_all_band_power,torus_features,Torus + All band power,Torus features,237,0.2093294507046998,0.1806242516881843,0.028705199016515543,3550.0,1.7475845868531766e-23,1.572826128167859e-22,***
pooled,Pooled macaques,torus_vs_spectral,torus_features vs relevant_band,torus_features,relevant_band,Torus features,Relevant band (13-30 Hz),237,0.1806242516881843,0.15652894678785007,0.024095304900334166,5587.0,7.722338170450197e-16,4.633402902270118e-15,***
pooled,Pooled macaques,torus_vs_spectral,torus_features vs average_psd,torus_features,average_psd,Torus features,Average PSD,237,0.1806242516881843,0.1585162663392437,0.02210798534894052,6295.0,1.485656588024262e-13,5.942626352097048e-13,***
pooled,Pooled macaques,torus_vs_spectral,torus_features vs all_band_power,torus_features,all_band_power,Torus features,All band power,237,0.1806242516881843,0.21157628209290785,-0.030952030404723604,5748.0,2.6548711546738655e-15,1.3274355773369327e-14,***
monkey,Monkey M,primary,torus_plus_relevant_band vs relevant_band,torus_plus_relevant_band,relevant_band,Torus + Relevant band,Relevant band (13-30 Hz),135,0.17954658090799608,0.15473525785540704,0.024811323052589027,1726.0,3.1725854894470407e-10,2.5380683915576326e-09,***
monkey,Monkey M,primary,torus_plus_average_psd vs average_psd,torus_plus_average_psd,average_psd,Torus + Average PSD,Average PSD,135,0.17949693050096674,0.15076449678269868,0.02873243371826805,1395.0,2.2657722027330875e-12,2.0391949824597787e-11,***
monkey,Monkey M,primary,torus_plus_all_band_power vs all_band_power,torus_plus_all_band_power,all_band_power,Torus + All band power,All band power,135,0.19103166990957046,0.18609235685892372,0.004939313050646764,3893.0,0.1258197345581193,0.1258197345581193,ns
monkey,Monkey M,fused_vs_torus,torus_plus_relevant_band vs torus_features,torus_plus_relevant_band,torus_features,Torus + Relevant band,Torus features,135,0.17954658090799608,0.17528798149372585,0.004258599414270235,3548.0,0.022107978979064663,0.06632393693719399,ns
monkey,Monkey M,fused_vs_torus,torus_plus_average_psd vs torus_features,torus_plus_average_psd,torus_features,Torus + Average PSD,Torus features,135,0.17949693050096674,0.17528798149372585,0.0042089490072408945,3640.0,0.03693776656301689,0.07387553312603377,ns
monkey,Monkey M,fused_vs_torus,torus_plus_all_band_power vs torus_features,torus_plus_all_band_power,torus_features,Torus + All band power,Torus features,135,0.19103166990957046,0.17528798149372585,0.015743688415844635,2161.0,9.568872275699497e-08,5.741323365419698e-07,***
monkey,Monkey M,torus_vs_spectral,torus_features vs relevant_band,torus_features,relevant_band,Torus features,Relevant band (13-30 Hz),135,0.17528798149372585,0.15473525785540704,0.02055272363831879,2182.0,1.2325282576659576e-07,6.162641288329788e-07,***
monkey,Monkey M,torus_vs_spectral,torus_features vs average_psd,torus_features,average_psd,Torus features,Average PSD,135,0.17528798149372585,0.15076449678269868,0.024523484711027155,1984.0,1.0437294020740431e-08,7.306105814518302e-08,***
monkey,Monkey M,torus_vs_spectral,torus_features vs all_band_power,torus_features,all_band_power,Torus features,All band power,135,0.17528798149372585,0.18609235685892372,-0.010804375365197875,3401.0,0.009018330988328462,0.03607332395331385,*
