lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,delta,ok,0.45,0.45,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,theta,ok,0.325,0.32457786116322707,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,alpha,ok,0.425,0.39433838051349573,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,beta,ok,0.375,0.36507936507936506,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,low_gamma,ok,0.6,0.5989974937343359,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,average_psd,ok,0.575,0.5725958516656191,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,all_band_power,ok,0.425,0.42174732872407295,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,torus_geometry_15,ok,0.55,0.55,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,delta,ok,0.425,0.41587301587301584,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,theta,ok,0.45,0.4373401534526854,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,alpha,ok,0.6,0.6,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,beta,ok,0.6,0.595959595959596,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,low_gamma,ok,0.65,0.6491228070175439,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,average_psd,ok,0.575,0.5747342088805503,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,all_band_power,ok,0.65,0.6464646464646464,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,torus_geometry_15,ok,0.45,0.44862155388471175,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,delta,ok,0.275,0.23060200668896322,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,theta,ok,0.175,0.17867892976588629,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,alpha,ok,0.3,0.2974880382775119,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,beta,ok,0.3,0.2803454715219421,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,low_gamma,ok,0.325,0.2985300732978752,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,average_psd,ok,0.2,0.20137299771167047,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,all_band_power,ok,0.35,0.3259531590413943,4,40,10
