lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,average_psd,ok,0.575,0.5725958516656191,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,average_psd,ok,0.575,0.5747342088805503,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,average_psd,ok,0.2,0.20137299771167047,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,direction,average_psd,ok,0.575,0.5747342088805503,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,delay,average_psd,ok,0.65,0.65,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,condition,average_psd,ok,0.425,0.3645454545454545,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,average_psd,ok,0.625,0.6247654784240151,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,average_psd,ok,0.3,0.2982456140350877,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,average_psd,ok,0.25,0.2337092731829574,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,average_psd,ok,0.575,0.5747342088805503,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,delay,average_psd,ok,0.325,0.32457786116322707,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,condition,average_psd,ok,0.15,0.14234143049932524,4,40,10
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,direction,average_psd,ok,0.4479166666666667,0.4473769957640925,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,delay,average_psd,ok,0.5729166666666666,0.5728703201302224,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,condition,average_psd,ok,0.29347826086956524,0.28576649958228906,4,92,23
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,direction,average_psd,ok,0.53125,0.5311991318502441,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,delay,average_psd,ok,0.5625,0.5617391304347825,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,condition,average_psd,ok,0.2826086956521739,0.24739209220321273,4,92,23
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,average_psd,ok,0.5625,0.5617391304347825,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,delay,average_psd,ok,0.5520833333333334,0.5508649766075508,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,condition,average_psd,ok,0.29347826086956524,0.2871681208368515,4,92,23
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,post_go,direction,average_psd,ok,0.5625,0.5617391304347825,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,post_go,delay,average_psd,ok,0.5833333333333334,0.5831524099001303,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,post_go,condition,average_psd,ok,0.33695652173913043,0.31932026484084597,4,92,23
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,pre_go,direction,average_psd,ok,0.48,0.4781212364512244,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,pre_go,delay,average_psd,ok,0.6224489795918368,0.6224096636467771,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,pre_go,condition,average_psd,ok,0.3020833333333333,0.27156084656084656,4,96,24
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,direction,average_psd,ok,0.53,0.52995299529953,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,delay,average_psd,ok,0.45918367346938777,0.45912735603457255,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,condition,average_psd,ok,0.16666666666666666,0.15879082475536915,4,96,24
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,direction,average_psd,ok,0.53,0.5295766189570613,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,delay,average_psd,ok,0.4489795918367347,0.4431818181818182,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,condition,average_psd,ok,0.22916666666666666,0.21985274672436592,4,96,24
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,direction,average_psd,ok,0.54,0.5398159263705482,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,delay,average_psd,ok,0.40816326530612246,0.4019360269360269,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,condition,average_psd,ok,0.23958333333333334,0.21176739926739926,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,direction,average_psd,ok,0.52,0.52,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,delay,average_psd,ok,0.7040816326530612,0.7038040646169881,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,condition,average_psd,ok,0.3333333333333333,0.3136904761904762,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,direction,average_psd,ok,0.61,0.60996099609961,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,delay,average_psd,ok,0.3877551020408163,0.375,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,condition,average_psd,ok,0.3229166666666667,0.28850341946917835,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,direction,average_psd,ok,0.54,0.5392628205128205,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,delay,average_psd,ok,0.5204081632653061,0.5199583116206358,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,condition,average_psd,ok,0.21875,0.1998895202020202,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,direction,average_psd,ok,0.55,0.5495946351716545,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,delay,average_psd,ok,0.5714285714285714,0.57125,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,condition,average_psd,ok,0.2604166666666667,0.22732804415437746,4,96,24
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,direction,average_psd,ok,0.5526315789473685,0.552597152751058,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,delay,average_psd,ok,0.8482142857142857,0.8482021844853703,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,condition,average_psd,ok,0.4166666666666667,0.41710165592985854,4,108,27
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,direction,average_psd,ok,0.41228070175438597,0.4122354751827626,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,delay,average_psd,ok,0.5714285714285714,0.5714285714285714,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,condition,average_psd,ok,0.24074074074074073,0.21979170121728747,4,108,27
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,average_psd,ok,0.47368421052631576,0.47368421052631576,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,delay,average_psd,ok,0.6071428571428571,0.6071428571428571,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,condition,average_psd,ok,0.25,0.2244607843137255,4,108,27
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,direction,average_psd,ok,0.43859649122807015,0.43842364532019706,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,delay,average_psd,ok,0.5625,0.5621858795372956,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,condition,average_psd,ok,0.25,0.23551036682615628,4,108,27
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,pre_go,direction,average_psd,ok,0.4298245614035088,0.42446601941747575,2,114,57
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,pre_go,delay,average_psd,ok,0.6517857142857143,0.6515357000398883,2,112,56
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,pre_go,condition,average_psd,ok,0.3148148148148148,0.30207445212833145,4,108,27
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,peri_go,direction,average_psd,ok,0.5964912280701754,0.5964912280701754,2,114,57
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,peri_go,delay,average_psd,ok,0.5535714285714286,0.5534290271132376,2,112,56
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,peri_go,condition,average_psd,ok,0.28703703703703703,0.24777295952669087,4,108,27
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,average_psd,ok,0.5,0.4934123333593202,2,114,57
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,delay,average_psd,ok,0.5267857142857143,0.5249299719887955,2,112,56
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,condition,average_psd,ok,0.23148148148148148,0.19536200514461385,4,108,27
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,post_go,direction,average_psd,ok,0.5263157894736842,0.5261699507389163,2,114,57
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,post_go,delay,average_psd,ok,0.49107142857142855,0.4907060231352214,2,112,56
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,post_go,condition,average_psd,ok,0.19444444444444445,0.1939999066364508,4,108,27
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,pre_go,direction,average_psd,ok,0.5375,0.5368486934751995,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,pre_go,delay,average_psd,ok,0.85,0.849624060150376,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,pre_go,condition,average_psd,ok,0.4125,0.41474699882915544,4,80,20
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,peri_go,direction,average_psd,ok,0.4625,0.4479216819130155,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,peri_go,delay,average_psd,ok,0.5375,0.5356862745098039,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,peri_go,condition,average_psd,ok,0.275,0.26502100840336135,4,80,20
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,average_psd,ok,0.45,0.44688874921433064,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,delay,average_psd,ok,0.4,0.4,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,condition,average_psd,ok,0.25,0.2485533952925257,4,80,20
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,post_go,direction,average_psd,ok,0.5625,0.5607843137254902,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,post_go,delay,average_psd,ok,0.525,0.5223130106851037,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,post_go,condition,average_psd,ok,0.325,0.2928463298715015,4,80,20
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,pre_go,direction,average_psd,ok,0.325,0.32330827067669177,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,pre_go,delay,average_psd,ok,0.725,0.7248280175109443,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,pre_go,condition,average_psd,ok,0.4125,0.3944248920172772,4,80,20
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,peri_go,direction,average_psd,ok,0.55,0.55,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,peri_go,delay,average_psd,ok,0.5625,0.5624316299421784,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,peri_go,condition,average_psd,ok,0.275,0.2675338671847941,4,80,20
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,average_psd,ok,0.425,0.42174732872407295,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,delay,average_psd,ok,0.5625,0.5591245473153834,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,condition,average_psd,ok,0.2375,0.22057896215875367,4,80,20
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,post_go,direction,average_psd,ok,0.4875,0.48549019607843136,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,post_go,delay,average_psd,ok,0.5375,0.531571451178984,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,post_go,condition,average_psd,ok,0.25,0.2031465916750927,4,80,20
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,pre_go,direction,average_psd,ok,0.5813953488372093,0.5811688311688312,2,86,43
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,pre_go,delay,average_psd,ok,0.7555555555555555,0.7554347826086957,2,90,45
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,pre_go,condition,average_psd,ok,0.4166666666666667,0.4233466228893058,4,84,21
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,peri_go,direction,average_psd,ok,0.45348837209302323,0.45163478496811826,2,86,43
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,peri_go,delay,average_psd,ok,0.4111111111111111,0.4110383998024447,2,90,45
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,peri_go,condition,average_psd,ok,0.27380952380952384,0.25527603074772887,4,84,21
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,average_psd,ok,0.5581395348837209,0.5579004329004329,2,86,43
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,delay,average_psd,ok,0.3888888888888889,0.38820912124582874,2,90,45
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,condition,average_psd,ok,0.3333333333333333,0.28368567616087137,4,84,21
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,post_go,direction,average_psd,ok,0.5581395348837209,0.5581395348837209,2,86,43
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,post_go,delay,average_psd,ok,0.36666666666666664,0.3659621802002225,2,90,45
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,post_go,condition,average_psd,ok,0.35714285714285715,0.32784373068633965,4,84,21
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,pre_go,direction,average_psd,ok,0.6511627906976745,0.650974025974026,2,86,43
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,pre_go,delay,average_psd,ok,0.5333333333333333,0.53125,2,90,45
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,pre_go,condition,average_psd,ok,0.3333333333333333,0.32224671195259436,4,84,21
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,peri_go,direction,average_psd,ok,0.6046511627906976,0.6044372294372294,2,86,43
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,peri_go,delay,average_psd,ok,0.4111111111111111,0.4110383998024447,2,90,45
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,peri_go,condition,average_psd,ok,0.2619047619047619,0.2521978021978022,4,84,21
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,average_psd,ok,0.7093023255813954,0.7089481521591986,2,86,43
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,delay,average_psd,ok,0.5777777777777777,0.5775691699604744,2,90,45
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,condition,average_psd,ok,0.3333333333333333,0.3182382992748847,4,84,21
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,post_go,direction,average_psd,ok,0.6744186046511628,0.6742424242424242,2,86,43
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,post_go,delay,average_psd,ok,0.5888888888888889,0.5888381281639709,2,90,45
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,post_go,condition,average_psd,ok,0.32142857142857145,0.30537883169462116,4,84,21
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,pre_go,direction,average_psd,ok,0.5673076923076923,0.5669473489405015,2,104,52
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,pre_go,delay,average_psd,ok,0.7058823529411765,0.7048611111111112,2,102,51
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,pre_go,condition,average_psd,ok,0.31,0.2959387310802405,4,100,25
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,peri_go,direction,average_psd,ok,0.46153846153846156,0.45833333333333337,2,104,52
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,peri_go,delay,average_psd,ok,0.5490196078431373,0.5490196078431373,2,102,51
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,peri_go,condition,average_psd,ok,0.29,0.2566603498288386,4,100,25
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,average_psd,ok,0.5865384615384616,0.5865002311604253,2,104,52
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,delay,average_psd,ok,0.4803921568627451,0.4742779344549256,2,102,51
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,condition,average_psd,ok,0.27,0.24272282428373065,4,100,25
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,post_go,direction,average_psd,ok,0.6346153846153846,0.6344802071772104,2,104,52
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,post_go,delay,average_psd,ok,0.5490196078431373,0.5488461538461539,2,102,51
