lfp_uid,monkey,session_id,lfp_id,direction,delay,n_trials
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,1,short,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,1,long,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,2,short,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,2,long,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,3,short,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,3,long,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,4,short,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,4,long,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,5,short,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,5,long,22
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,6,short,21
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,6,long,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,1,short,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,1,long,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,2,short,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,2,long,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,3,short,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,3,long,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,4,short,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,4,long,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,5,short,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,5,long,22
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,6,short,21
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,6,long,21
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,1,short,16
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,1,long,17
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,2,short,16
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,2,long,15
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,3,short,17
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,3,long,14
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,4,short,15
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,4,long,16
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,5,short,15
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,5,long,15
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,6,short,16
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,6,long,15
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,1,short,0
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,1,long,0
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,2,short,0
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,2,long,0
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,3,short,27
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,3,long,27
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,4,short,0
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,4,long,0
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,5,short,0
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,5,long,0
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,6,short,27
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,6,long,27
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,1,short,0
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,1,long,0
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,2,short,0
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,2,long,0
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,3,short,27
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,3,long,27
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,4,short,0
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,4,long,0
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,5,short,0
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,5,long,0
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,6,short,27
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,6,long,27
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,1,short,22
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,1,long,21
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,2,short,21
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,2,long,21
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,3,short,22
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,3,long,21
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,4,short,22
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,4,long,20
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,5,short,22
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,5,long,22
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,6,short,22
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,6,long,22
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,1,short,12
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,1,long,10
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,2,short,13
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,2,long,9
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,3,short,13
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,3,long,12
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,4,short,11
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,4,long,12
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,5,short,12
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,5,long,11
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,6,short,13
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,6,long,12
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,1,short,0
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,1,long,0
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,2,short,0
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,2,long,0
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,3,short,22
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,3,long,22
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,4,short,0
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,4,long,0
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,5,short,0
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,5,long,0
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,6,short,22
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,6,long,21
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,1,short,26
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,1,long,26
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,2,short,26
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,2,long,27
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,3,short,26
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,3,long,27
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,4,short,26
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,4,long,27
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,5,short,26
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,5,long,26
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,6,short,27
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,6,long,26
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,1,short,10
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,1,long,9
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,2,short,9
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,2,long,11
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,3,short,10
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,3,long,9
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,4,short,9
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,4,long,9
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,5,short,9
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,5,long,9
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,6,short,9
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,6,long,10
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,1,short,10
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,1,long,9
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,2,short,9
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,2,long,11
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,3,short,10
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,3,long,9
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,4,short,9
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,4,long,9
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,5,short,9
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,5,long,9
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,6,short,9
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,6,long,10
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,1,short,28
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,1,long,27
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,2,short,29
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,2,long,28
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,3,short,26
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,3,long,27
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,4,short,26
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,4,long,29
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,5,short,27
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,5,long,26
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,6,short,27
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,6,long,29
monkeyT_session-y070207004-11_lfp-1,T,y070207004-11,1,1,short,28
monkeyT_session-y070207004-11_lfp-1,T,y070207004-11,1,1,long,27
