lfp_uid,epoch,n_trials,n_samples_per_epoch
monkeyM_session-o080326006-9_lfp-1,movement,40,1000
monkeyM_session-o080327001-7_lfp-1,movement,98,1000
monkeyM_session-o080403001-7_lfp-1,movement,101,1000
monkeyM_session-o080403001-7_lfp-2,movement,101,1000
monkeyM_session-o080403009-14_lfp-1,movement,117,1000
monkeyM_session-o080403009-14_lfp-2,movement,117,1000
monkeyM_session-o080403015-20_lfp-1,movement,81,1000
monkeyM_session-o080403015-20_lfp-2,movement,81,1000
monkeyM_session-o080404002-6_lfp-1,movement,91,1000
monkeyM_session-o080404002-6_lfp-2,movement,91,1000
monkeyM_session-o080404007-12_lfp-1,movement,105,1000
monkeyM_session-o080404013-18_lfp-1,movement,86,1000
monkeyM_session-o080408001-4_lfp-1,movement,88,1000
monkeyM_session-o080410001-7_lfp-1,movement,118,1000
monkeyM_session-o080410001-7_lfp-2,movement,118,1000
monkeyM_session-o080410008-13_lfp-1,movement,120,1000
monkeyM_session-o080410008-13_lfp-2,movement,120,1000
monkeyM_session-o080410017-23_lfp-1,movement,98,1000
monkeyM_session-o080410017-23_lfp-2,movement,98,1000
monkeyM_session-o080411001-6_lfp-2,movement,97,1000
monkeyM_session-o080411001-6_lfp-4,movement,97,1000
monkeyM_session-o080411007-14_lfp-1,movement,86,1000
monkeyM_session-o080415001-7_lfp-1,movement,89,1000
monkeyM_session-o080415008-14_lfp-1,movement,100,1000
monkeyM_session-o080416002-18_lfp-1,movement,289,1000
monkeyM_session-o080416002-18_lfp-2,movement,289,1000
monkeyM_session-o080417003-14_lfp-1,movement,259,1000
monkeyM_session-o080417003-14_lfp-4,movement,259,1000
monkeyM_session-o080422011-21_lfp-2,movement,263,1000
monkeyM_session-o080423001-5_lfp-6,movement,214,1000
monkeyM_session-o080423001-5_lfp-8,movement,214,1000
monkeyM_session-o080424002-11_lfp-1,movement,241,1000
monkeyM_session-o080424012-22_lfp-1,movement,284,1000
monkeyM_session-o080425003-12_lfp-1,movement,241,1000
monkeyM_session-o080425013-21_lfp-1,movement,168,1000
monkeyM_session-o080429002-7_lfp-2,movement,250,1000
monkeyM_session-o080429011-12_lfp-2,movement,101,1000
monkeyM_session-o080430002-12_lfp-1,movement,250,1000
monkeyM_session-o080430013-23_lfp-1,movement,254,1000
monkeyM_session-o080430013-23_lfp-2,movement,254,1000
monkeyM_session-o080501001-6_lfp-1,movement,146,1000
monkeyM_session-o080501018-21_lfp-6,movement,103,1000
monkeyM_session-o080501018-21_lfp-7,movement,103,1000
monkeyM_session-o080506002-22_lfp-1,movement,410,1000
monkeyM_session-o080506002-22_lfp-2,movement,410,1000
monkeyM_session-o080507002-11_lfp-1,movement,242,1000
monkeyM_session-o080507012-23_lfp-1,movement,233,1000
monkeyM_session-o080507012-23_lfp-2,movement,233,1000
monkeyM_session-o080509001-9_lfp-1,movement,227,1000
monkeyM_session-o080509010-19_lfp-1,movement,232,1000
monkeyM_session-o080513001-9_lfp-1,movement,224,1000
monkeyM_session-o080513001-9_lfp-2,movement,224,1000
monkeyM_session-o080513010-18_lfp-1,movement,225,1000
monkeyM_session-o080513010-18_lfp-2,movement,225,1000
monkeyM_session-o080514007-17_lfp-1,movement,198,1000
monkeyM_session-o080515002-11_lfp-1,movement,245,1000
monkeyM_session-o080515002-11_lfp-2,movement,245,1000
monkeyM_session-o080515012-24_lfp-1,movement,292,1000
monkeyM_session-o080515012-24_lfp-2,movement,292,1000
monkeyM_session-o080516002-14_lfp-1,movement,167,1000
monkeyM_session-o080516002-14_lfp-4,movement,167,1000
monkeyM_session-o080516015-26_lfp-5,movement,155,1000
monkeyM_session-o080520001-6_lfp-2,movement,101,1000
monkeyM_session-o080520001-6_lfp-4,movement,101,1000
monkeyM_session-o080520007-14_lfp-2,movement,53,1000
monkeyM_session-o080520007-14_lfp-4,movement,53,1000
monkeyM_session-o080521001-5_lfp-1,movement,66,1000
monkeyM_session-o080521006-9_lfp-1,movement,86,1000
monkeyM_session-o080521010-13_lfp-2,movement,122,1000
monkeyM_session-o080521010-13_lfp-5,movement,122,1000
monkeyM_session-o080521014-17_lfp-1,movement,115,1000
monkeyM_session-o080521014-17_lfp-2,movement,115,1000
monkeyM_session-o080522001-4_lfp-1,movement,97,1000
monkeyM_session-o080522001-4_lfp-2,movement,97,1000
monkeyM_session-o080522005-11_lfp-1,movement,236,1000
monkeyM_session-o080522005-11_lfp-2,movement,236,1000
monkeyM_session-o080522012-21_lfp-1,movement,282,1000
monkeyM_session-o080522012-21_lfp-2,movement,282,1000
monkeyM_session-o080523010-18_lfp-4,movement,187,1000
monkeyM_session-o080523010-18_lfp-8,movement,187,1000
monkeyM_session-o080527001-5_lfp-1,movement,119,1000
monkeyM_session-o080527001-5_lfp-2,movement,119,1000
monkeyM_session-o080527006-16_lfp-1,movement,290,1000
monkeyM_session-o080527006-16_lfp-2,movement,290,1000
