lfp_uid,monkey,session_id,lfp_id,epoch_for_selection,status,n_trials_used,n_samples_per_epoch,torus_tau,torus_tau_ms,tau_method,robust_peak_count,selected_mode_count_K,torus_embedding_dim,embedding_dim_method,included_peak_frequencies_hz,dominant_peak_hz,embedding_adjustment,torus_param_source,torus_param_id
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,ok,40,1000,20,20.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 21.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,ok,98,1000,19,19.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 17.0, 35.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,ok,101,1000,13,13.0,ami_first_local_minimum,4,4,9,psd_peak_count,"6.0, 21.0, 35.0, 47.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,ok,101,1000,13,13.0,ami_first_local_minimum,4,4,9,psd_peak_count,"6.0, 22.0, 37.0, 47.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,ok,117,1000,15,15.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 20.0, 35.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,ok,117,1000,8,8.0,ami_first_local_minimum,4,4,9,psd_peak_count,"5.0, 22.0, 35.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,ok,81,1000,17,17.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 21.0, 36.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,ok,81,1000,14,14.0,ami_first_local_minimum,5,4,9,capped_at_4_modes,"6.0, 20.0, 33.0, 42.0, 47.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,ok,91,1000,16,16.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 18.0, 34.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,ok,91,1000,14,14.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 22.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,ok,105,1000,14,14.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 19.0, 35.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,ok,86,1000,15,15.0,ami_first_local_minimum,4,4,9,psd_peak_count,"5.0, 22.0, 35.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,ok,88,1000,15,15.0,ami_first_local_minimum,4,4,9,psd_peak_count,"4.0, 18.0, 36.0, 47.0",4.0,,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,ok,118,1000,11,11.0,ami_first_local_minimum,1,1,3,psd_peak_count,33.0,33.0,,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,ok,118,1000,11,11.0,ami_first_local_minimum,1,1,3,psd_peak_count,33.0,33.0,,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
