lfp_uid,monkey,session_id,lfp_id,freq_hz,band,median_residual_log_psd,prominence,bootstrap_support,included_for_order,exclusion_reason
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,5.0,theta,0.212087249507441,0.3826445293863656,1.0,True,
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,21.0,beta,0.5968540208897067,0.7787118482850099,0.875,True,
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,34.0,low_gamma,0.2550565942758899,0.28628007943949585,0.9583333333333334,True,
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,5.0,theta,0.2509433120720572,0.4264996564963598,1.0,True,
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,17.0,beta,0.2741891236381987,0.3166194925051294,0.925,True,
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,35.0,low_gamma,0.5810996981532592,0.8459912032037047,1.0,True,
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,6.0,theta,0.17247407201004966,0.24112600829758007,1.0,True,
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,21.0,beta,0.3741412361726122,0.5242711064764235,1.0,True,
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,35.0,low_gamma,0.274814782414355,0.19359658732627028,0.9833333333333333,True,
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,47.0,low_gamma,-0.0012048168224552819,0.11247086442636782,0.9333333333333333,True,
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,6.0,theta,0.1983229638807331,0.17084146026560262,1.0,True,
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,22.0,beta,0.28076677953491835,0.47776255155673275,0.975,True,
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,37.0,low_gamma,0.2764172630548092,0.2543150483526203,0.9666666666666667,True,
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,47.0,low_gamma,0.1203412448513394,0.09635381129753323,1.0,True,
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,5.0,theta,0.0232838495824417,0.12418318035611275,0.9,True,
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,20.0,beta,0.6354109617952215,0.754874457300924,1.0,True,
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,35.0,low_gamma,0.2957354748025819,0.2529127500620042,0.9916666666666667,True,
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,5.0,theta,0.1535923498353062,0.20304083156617966,0.9916666666666667,True,
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,22.0,beta,0.29470206069716154,0.49061390625000234,0.8916666666666667,True,
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,35.0,low_gamma,0.2607400799073625,0.19686975159509357,0.9916666666666667,True,
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,47.0,low_gamma,0.10895796071350203,0.14714865179887965,1.0,True,
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,6.0,theta,-0.025217827272501755,0.06749773910735693,0.7166666666666667,True,
