lfp_uid,monkey,session_id,lfp_id,source_cell_id,twodir,source_pair_index,n_trials,n_samples,sampling_rate_hz,go_sample_zero_based,n_directions,n_delay_types,has_all_6_directions,has_short_and_long,converted_path,direction_1_count,direction_2_count,direction_3_count,direction_4_count,direction_5_count,direction_6_count,short_delay_count,long_delay_count,unknown_delay_count
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2,SpN1-1,,0,253,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070130005-13_lfp-2.npz,42,42,42,42,43,42,126,127,0
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,1,SpN2-1,,1,253,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070130005-13_lfp-1.npz,42,42,42,42,43,42,126,127,0
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,1,SpN2-6,,4,187,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070201001-6_lfp-1.npz,33,31,31,31,30,31,95,92,0
monkeyT_session-y070201009-11_lfp-2,T,y070201009-11,2,SpN1-1,3,6,108,6301,1000,4500,2,2,False,True,lfp_converted_data/monkeyT_session-y070201009-11_lfp-2.npz,0,0,54,0,0,54,54,54,0
monkeyT_session-y070201009-11_lfp-1,T,y070201009-11,1,SpN2-2,3,7,108,6301,1000,4500,2,2,False,True,lfp_converted_data/monkeyT_session-y070201009-11_lfp-1.npz,0,0,54,0,0,54,54,54,0
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,1,SpN2-1,,9,258,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070202001-7_lfp-1.npz,43,42,43,42,44,44,131,127,0
monkeyT_session-y070202009-16_lfp-1,T,y070202009-16,1,SpN2-1,,10,140,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070202009-16_lfp-1.npz,22,22,25,23,23,25,74,66,0
monkeyT_session-y070202017-23_lfp-1,T,y070202017-23,1,SpN3-1,3,11,87,6301,1000,4500,2,2,False,True,lfp_converted_data/monkeyT_session-y070202017-23_lfp-1.npz,0,0,44,0,0,43,44,43,0
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,1,SpN4-1,,14,316,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070206006-12_lfp-1.npz,52,53,53,53,52,53,157,159,0
monkeyT_session-y070207001-3_lfp-2,T,y070207001-3,2,SpN1-1,,15,113,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070207001-3_lfp-2.npz,19,20,19,18,18,19,56,57,0
monkeyT_session-y070207001-3_lfp-1,T,y070207001-3,1,SpN4-1,,16,113,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070207001-3_lfp-1.npz,19,20,19,18,18,19,56,57,0
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2,SpN1-1,,17,329,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070207004-11_lfp-2.npz,55,57,53,55,53,56,163,166,0
monkeyT_session-y070207004-11_lfp-1,T,y070207004-11,1,SpN2-1,,18,329,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070207004-11_lfp-1.npz,55,57,53,55,53,56,163,166,0
monkeyT_session-y070207012-19_lfp-2,T,y070207012-19,2,SpN1-1,,20,264,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070207012-19_lfp-2.npz,44,44,44,44,44,44,132,132,0
monkeyT_session-y070207012-19_lfp-1,T,y070207012-19,1,SpN3-1,,22,264,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070207012-19_lfp-1.npz,44,44,44,44,44,44,132,132,0
monkeyT_session-y070208003-8_lfp-2,T,y070208003-8,2,SpN1-1,,23,283,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070208003-8_lfp-2.npz,48,49,48,47,45,46,139,144,0
monkeyT_session-y070208003-8_lfp-1,T,y070208003-8,1,SpN2-1,,24,283,6301,1000,4500,6,2,True,True,lfp_converted_data/monkeyT_session-y070208003-8_lfp-1.npz,48,49,48,47,45,46,139,144,0
