lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,all_band_power,ok,0.425,0.42174732872407295,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,all_band_power,ok,0.65,0.6464646464646464,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,all_band_power,ok,0.35,0.3259531590413943,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,direction,all_band_power,ok,0.475,0.474671669793621,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,delay,all_band_power,ok,0.65,0.6464646464646464,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,condition,all_band_power,ok,0.3,0.2755530129672006,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,all_band_power,ok,0.5,0.5,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,all_band_power,ok,0.6,0.5989974937343359,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,all_band_power,ok,0.3,0.29734848484848486,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,all_band_power,ok,0.475,0.47203016970458833,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,delay,all_band_power,ok,0.65,0.6464646464646464,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,condition,all_band_power,ok,0.15,0.14285714285714285,4,40,10
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,direction,all_band_power,ok,0.5416666666666666,0.5414676508901433,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,delay,all_band_power,ok,0.7083333333333334,0.7082066869300911,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,condition,all_band_power,ok,0.358695652173913,0.3588128626692456,4,92,23
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,direction,all_band_power,ok,0.4583333333333333,0.4583333333333333,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,delay,all_band_power,ok,0.53125,0.530791788856305,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,condition,all_band_power,ok,0.25,0.24454365079365079,4,92,23
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,all_band_power,ok,0.4270833333333333,0.42652329749103945,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,delay,all_band_power,ok,0.6354166666666666,0.6344249809596345,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,condition,all_band_power,ok,0.31521739130434784,0.31386616992170446,4,92,23
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,post_go,direction,all_band_power,ok,0.4791666666666667,0.4782608695652174,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,post_go,delay,all_band_power,ok,0.5625,0.5594405594405594,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,post_go,condition,all_band_power,ok,0.25,0.24710067779529607,4,92,23
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,pre_go,direction,all_band_power,ok,0.47,0.46952257031328193,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,pre_go,delay,all_band_power,ok,0.8367346938775511,0.8364622444722569,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,pre_go,condition,all_band_power,ok,0.3854166666666667,0.3865358212917662,4,96,24
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,direction,all_band_power,ok,0.45,0.4499449944994499,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,delay,all_band_power,ok,0.6836734693877551,0.6820512820512821,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,condition,all_band_power,ok,0.2708333333333333,0.2703174603174603,4,96,24
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,direction,all_band_power,ok,0.59,0.5896306676008407,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,delay,all_band_power,ok,0.47959183673469385,0.4795376444860981,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,condition,all_band_power,ok,0.3125,0.28465166908563133,4,96,24
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,direction,all_band_power,ok,0.57,0.5699569956995699,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,delay,all_band_power,ok,0.5306122448979592,0.5304166666666668,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,condition,all_band_power,ok,0.3020833333333333,0.28082659478885896,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,direction,all_band_power,ok,0.63,0.6296667000300271,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,delay,all_band_power,ok,0.9285714285714286,0.9285639904196605,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,condition,all_band_power,ok,0.5520833333333334,0.5498555011946752,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,direction,all_band_power,ok,0.57,0.5696126513862476,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,delay,all_band_power,ok,0.6530612244897959,0.6529166666666667,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,condition,all_band_power,ok,0.375,0.371717670586767,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,direction,all_band_power,ok,0.62,0.6186270574066639,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,delay,all_band_power,ok,0.5102040816326531,0.509386733416771,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,condition,all_band_power,ok,0.3541666666666667,0.35296190216402984,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,direction,all_band_power,ok,0.6,0.5993589743589745,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,delay,all_band_power,ok,0.5102040816326531,0.5102040816326531,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,condition,all_band_power,ok,0.375,0.376808981292264,4,96,24
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,direction,all_band_power,ok,0.543859649122807,0.5437192118226601,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,delay,all_band_power,ok,0.9732142857142857,0.9732121502033007,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,condition,all_band_power,ok,0.5462962962962963,0.5467346420176609,4,108,27
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,direction,all_band_power,ok,0.5087719298245614,0.5087719298245614,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,delay,all_band_power,ok,0.5267857142857143,0.526747986924978,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,condition,all_band_power,ok,0.28703703703703703,0.2831605691492937,4,108,27
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,all_band_power,ok,0.5701754385964912,0.5698775698775699,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,delay,all_band_power,ok,0.5625,0.5621858795372956,2,112,56
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,condition,all_band_power,ok,0.28703703703703703,0.26734635864792566,4,108,27
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,direction,all_band_power,ok,0.47368421052631576,0.4730354391371341,2,114,57
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,delay,all_band_power,ok,0.5535714285714286,0.5530012771392082,2,112,56
