lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_fit_success_fraction,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,delta,ok,0.675,0.6731615336266499,2,40,20,1.0,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,theta,ok,0.6,0.6,2,40,20,1.0,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,alpha,ok,0.575,0.5747342088805503,2,40,20,1.0,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,beta,ok,0.575,0.5747342088805503,2,40,20,1.0,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,low_gamma,ok,0.65,0.6491228070175439,2,40,20,1.0,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,average_psd,ok,0.625,0.6247654784240151,2,40,20,1.0,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,all_band_power,ok,0.5,0.5,2,40,20,1.0,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,torus_nonlinear_15,ok,0.425,0.41587301587301584,2,40,20,1.0,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,delta,ok,0.53125,0.5311991318502441,2,96,48,0.9897959183673469,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,theta,ok,0.59375,0.5933528836754643,2,96,48,0.9897959183673469,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,alpha,ok,0.53125,0.5311991318502441,2,96,48,0.9897959183673469,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,beta,ok,0.59375,0.5937059142702116,2,96,48,0.9897959183673469,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,low_gamma,ok,0.5625,0.5623100303951367,2,96,48,0.9897959183673469,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,average_psd,ok,0.5625,0.5617391304347825,2,96,48,0.9897959183673469,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,all_band_power,ok,0.4270833333333333,0.42652329749103945,2,96,48,0.9897959183673469,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,torus_nonlinear_15,ok,0.5208333333333334,0.5208333333333334,2,96,48,0.9897959183673469,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,direction,delta,ok,0.6,0.5993589743589745,2,100,50,1.0,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,direction,theta,ok,0.6,0.5998399359743898,2,100,50,1.0,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,direction,alpha,ok,0.47,0.46994699469946993,2,100,50,1.0,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
