analysis_set,analysis_label,monkey,feature_set,mean_accuracy,std_accuracy,mean_f1,std_f1,n_lfps,mean_balanced_trials,mean_torus_fit_success,median_torus_tau_ms,median_torus_embedding_dim
full_6_direction_lfps_by_monkey,Monkey M,M,all_band_power,0.19554620432161668,0.03811900759611131,0.18609235685892367,0.03756582796796062,135,221.64444444444445,0.9954540070443727,17.0,7.0
full_6_direction_lfps_by_monkey,Monkey M,M,alpha,0.17098435873913145,0.029819160487716552,0.14218606009051762,0.023097760823109218,135,221.64444444444445,0.9954540070443727,17.0,7.0
full_6_direction_lfps_by_monkey,Monkey M,M,average_psd,0.18118931879753036,0.02978039295994193,0.15076449678269865,0.027188985350779796,135,221.64444444444445,0.9954540070443727,17.0,7.0
full_6_direction_lfps_by_monkey,Monkey M,M,beta,0.18407193275211214,0.03390206601236296,0.154735257855407,0.02965279583025187,135,221.64444444444445,0.9954540070443727,17.0,7.0
full_6_direction_lfps_by_monkey,Monkey M,M,delta,0.17365673448576915,0.0328161029171191,0.14626030572637205,0.027365355431393564,135,221.64444444444445,0.9954540070443727,17.0,7.0
full_6_direction_lfps_by_monkey,Monkey M,M,low_gamma,0.18096106117862554,0.03309171614062177,0.15113047607686247,0.02653571501171194,135,221.64444444444445,0.9954540070443727,17.0,7.0
full_6_direction_lfps_by_monkey,Monkey M,M,theta,0.17490990189012637,0.029587126609430758,0.1472565602332842,0.023064122362237857,135,221.64444444444445,0.9954540070443727,17.0,7.0
full_6_direction_lfps_by_monkey,Monkey M,M,torus_nonlinear_15,0.17808807814998434,0.03426154738239682,0.1752879814937258,0.033670234447092884,135,221.64444444444445,0.9954540070443727,17.0,7.0
full_6_direction_lfps_by_monkey,Monkey T,T,all_band_power,0.25691934414604567,0.04349485158281514,0.2453050066672986,0.04268551991305654,102,254.58823529411765,0.9951399932253016,19.0,5.0
full_6_direction_lfps_by_monkey,Monkey T,T,alpha,0.18242929414157572,0.028261390883522808,0.15231418856160578,0.023252757645041307,102,254.58823529411765,0.9951399932253016,19.0,5.0
full_6_direction_lfps_by_monkey,Monkey T,T,average_psd,0.2027268977543379,0.03497092714103567,0.16877596134055328,0.030788282586529117,102,254.58823529411765,0.9951399932253016,19.0,5.0
full_6_direction_lfps_by_monkey,Monkey T,T,beta,0.1876674787898528,0.02814461776295313,0.15890294684549522,0.02588700758344234,102,254.58823529411765,0.9951399932253016,19.0,5.0
full_6_direction_lfps_by_monkey,Monkey T,T,delta,0.22975746183631332,0.03481567829215254,0.19279858553521972,0.035110632192460516,102,254.58823529411765,0.9951399932253016,19.0,5.0
full_6_direction_lfps_by_monkey,Monkey T,T,low_gamma,0.18988586819674652,0.029839593451321263,0.15661441287033512,0.02420880815063505,102,254.58823529411765,0.9951399932253016,19.0,5.0
full_6_direction_lfps_by_monkey,Monkey T,T,theta,0.1995616354672562,0.03525680012935721,0.1659968844473412,0.03136299305637177,102,254.58823529411765,0.9951399932253016,19.0,5.0
full_6_direction_lfps_by_monkey,Monkey T,T,torus_nonlinear_15,0.19139971504466635,0.028061984139000386,0.18768696223967327,0.027717553733580074,102,254.58823529411765,0.9951399932253016,19.0,5.0
