analysis_set,feature_set,mean_accuracy,std_accuracy,mean_f1,std_f1,n_lfps,mean_balanced_trials,mean_torus_fit_success
all_unique_lfps,all_band_power,0.3288796174502971,0.17346402596073263,0.3214643940327906,0.1774657361114945,341,195.8533724340176,0.9954339336547438
all_unique_lfps,alpha,0.2802173686461829,0.1634245331706596,0.2593820158779744,0.17533464870930418,341,195.8533724340176,0.9954339336547438
all_unique_lfps,average_psd,0.2931479011645449,0.16487691575468713,0.2704229135024776,0.17768398210530198,341,195.8533724340176,0.9954339336547438
all_unique_lfps,beta,0.29401624364494455,0.17039926696221336,0.27335061505484975,0.18245868343783767,341,195.8533724340176,0.9954339336547438
all_unique_lfps,delta,0.2995212142535107,0.16500912583058186,0.27724632950239364,0.1773350445314709,341,195.8533724340176,0.9954339336547438
all_unique_lfps,low_gamma,0.29435626605208154,0.17256588921980667,0.2721402362446835,0.18521257507636005,341,195.8533724340176,0.9954339336547438
all_unique_lfps,theta,0.29267164621755276,0.16940381102543084,0.27124084387203734,0.18149913062654796,341,195.8533724340176,0.9954339336547438
all_unique_lfps,torus_nonlinear_15,0.29096813987141384,0.1677720784216886,0.2884394988508559,0.16875623983035018,341,195.8533724340176,0.9954339336547438
full_6_direction_lfps,all_band_power,0.2219599607017507,0.05061610799904876,0.21157628209290785,0.04943914751105034,237,235.8227848101266,0.9953188618564179
full_6_direction_lfps,alpha,0.17591002714018344,0.029646951164108405,0.14654500145782143,0.023655329771388404,237,235.8227848101266,0.9953188618564179
full_6_direction_lfps,average_psd,0.19045865657640956,0.033780926811546964,0.1585162663392437,0.03008792441994768,237,235.8227848101266,0.9953188618564179
full_6_direction_lfps,beta,0.18561938294557018,0.031540135276837196,0.15652894678785007,0.028112793635638813,237,235.8227848101266,0.9953188618564179
full_6_direction_lfps,delta,0.1978013513201806,0.043646842023241365,0.16628943880866096,0.03854847232493259,237,235.8227848101266,0.9953188618564179
full_6_direction_lfps,low_gamma,0.1848021173636397,0.03197567218178515,0.15349065140569887,0.025652116624091104,237,235.8227848101266,0.9953188618564179
full_6_direction_lfps,theta,0.18551950874610634,0.03433133543431527,0.15532201622414424,0.028451141737229138,237,235.8227848101266,0.9953188618564179
full_6_direction_lfps,torus_nonlinear_15,0.18381713706668296,0.032359663251218404,0.18062425168818425,0.03178586133533207,237,235.8227848101266,0.9953188618564179
