analysis_level,analysis_label,monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,selected_band,selected_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M,o080416002-18,monkeyM_session-o080416002-18_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.2732255646235963
full_6_direction_lfps,Full 6-direction LFPs,M,o080416002-18,monkeyM_session-o080416002-18_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.16578837369997915
full_6_direction_lfps,Full 6-direction LFPs,M,o080416002-18,monkeyM_session-o080416002-18_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.19750406445043
full_6_direction_lfps,Full 6-direction LFPs,M,o080416002-18,monkeyM_session-o080416002-18_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1943568032675479
full_6_direction_lfps,Full 6-direction LFPs,M,o080416002-18,monkeyM_session-o080416002-18_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.16155307341748018
full_6_direction_lfps,Full 6-direction LFPs,M,o080416002-18,monkeyM_session-o080416002-18_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1235315088350762
full_6_direction_lfps,Full 6-direction LFPs,M,o080417003-14,monkeyM_session-o080417003-14_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.17466902742605883
full_6_direction_lfps,Full 6-direction LFPs,M,o080417003-14,monkeyM_session-o080417003-14_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.12081341666292571
full_6_direction_lfps,Full 6-direction LFPs,M,o080417003-14,monkeyM_session-o080417003-14_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1505796043363383
full_6_direction_lfps,Full 6-direction LFPs,M,o080417003-14,monkeyM_session-o080417003-14_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1761900765483748
full_6_direction_lfps,Full 6-direction LFPs,M,o080417003-14,monkeyM_session-o080417003-14_lfp-4,4,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.09754246535831927
full_6_direction_lfps,Full 6-direction LFPs,M,o080417003-14,monkeyM_session-o080417003-14_lfp-4,4,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.13639865366808593
full_6_direction_lfps,Full 6-direction LFPs,M,o080422011-21,monkeyM_session-o080422011-21_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.20738900384196057
full_6_direction_lfps,Full 6-direction LFPs,M,o080422011-21,monkeyM_session-o080422011-21_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.15924768976430068
full_6_direction_lfps,Full 6-direction LFPs,M,o080422011-21,monkeyM_session-o080422011-21_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.11297571848260209
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-6,6,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1556122399085786
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-6,6,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.12449341037600647
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-6,6,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.16687892211148025
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-8,8,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1323487876119455
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-8,8,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1522153615001332
full_6_direction_lfps,Full 6-direction LFPs,M,o080423001-5,monkeyM_session-o080423001-5_lfp-8,8,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14049630049124437
full_6_direction_lfps,Full 6-direction LFPs,M,o080424002-11,monkeyM_session-o080424002-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.17186080952912097
full_6_direction_lfps,Full 6-direction LFPs,M,o080424002-11,monkeyM_session-o080424002-11_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13313181981463454
full_6_direction_lfps,Full 6-direction LFPs,M,o080424002-11,monkeyM_session-o080424002-11_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.11270534199362768
full_6_direction_lfps,Full 6-direction LFPs,M,o080424012-22,monkeyM_session-o080424012-22_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.18119266573913828
full_6_direction_lfps,Full 6-direction LFPs,M,o080424012-22,monkeyM_session-o080424012-22_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.14044635398018857
full_6_direction_lfps,Full 6-direction LFPs,M,o080424012-22,monkeyM_session-o080424012-22_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1562029959997686
full_6_direction_lfps,Full 6-direction LFPs,M,o080425003-12,monkeyM_session-o080425003-12_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.15261131261131264
full_6_direction_lfps,Full 6-direction LFPs,M,o080425003-12,monkeyM_session-o080425003-12_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1416245313288629
full_6_direction_lfps,Full 6-direction LFPs,M,o080425003-12,monkeyM_session-o080425003-12_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15332912169666948
full_6_direction_lfps,Full 6-direction LFPs,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.18065926123932005
full_6_direction_lfps,Full 6-direction LFPs,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1164926279799854
full_6_direction_lfps,Full 6-direction LFPs,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.10862579519125837
full_6_direction_lfps,Full 6-direction LFPs,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.2341083867399657
full_6_direction_lfps,Full 6-direction LFPs,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.2180206994571379
full_6_direction_lfps,Full 6-direction LFPs,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1546814952925281
full_6_direction_lfps,Full 6-direction LFPs,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.18329388683440614
full_6_direction_lfps,Full 6-direction LFPs,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1386854145533027
full_6_direction_lfps,Full 6-direction LFPs,M,o080430002-12,monkeyM_session-o080430002-12_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1376022255841097
full_6_direction_lfps,Full 6-direction LFPs,M,o080430013-23,monkeyM_session-o080430013-23_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.21769371977521648
