analysis_level,analysis_label,monkey,session_id,n_lfps,reason
session,Monkey M session o080416002-18,M,o080416002-18,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080417003-14,M,o080417003-14,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080422011-21,M,o080422011-21,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080423001-5,M,o080423001-5,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080424002-11,M,o080424002-11,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080424012-22,M,o080424012-22,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080425003-12,M,o080425003-12,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080425013-21,M,o080425013-21,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080429002-7,M,o080429002-7,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080430002-12,M,o080430002-12,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080430013-23,M,o080430013-23,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080501001-6,M,o080501001-6,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080506002-22,M,o080506002-22,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080507002-11,M,o080507002-11,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080507012-23,M,o080507012-23,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080509001-9,M,o080509001-9,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080509010-19,M,o080509010-19,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080513001-9,M,o080513001-9,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080513010-18,M,o080513010-18,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080514007-17,M,o080514007-17,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080515002-11,M,o080515002-11,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080515012-24,M,o080515012-24,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080516002-14,M,o080516002-14,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080516015-26,M,o080516015-26,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080522005-11,M,o080522005-11,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080522012-21,M,o080522012-21,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080523010-18,M,o080523010-18,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080527006-16,M,o080527006-16,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080528006-15,M,o080528006-15,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080528016-25,M,o080528016-25,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080710006-11,M,o080710006-11,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080711002-7,M,o080711002-7,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080718005-9,M,o080718005-9,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080722004-9,M,o080722004-9,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080723006-11,M,o080723006-11,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080724004-9,M,o080724004-9,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080731003-10,M,o080731003-10,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080731011-18,M,o080731011-18,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080801001-7,M,o080801001-7,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080801008-10,M,o080801008-10,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080801011-14,M,o080801011-14,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080806001-5,M,o080806001-5,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080808001-5,M,o080808001-5,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080808006-12,M,o080808006-12,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080828001-6,M,o080828001-6,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080828007-12,M,o080828007-12,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080829001-5,M,o080829001-5,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080903002-5,M,o080903002-5,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080903006-12,M,o080903006-12,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080904001-7,M,o080904001-7,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080904008-14,M,o080904008-14,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080905001-6,M,o080905001-6,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080910001-5,M,o080910001-5,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080910006-11,M,o080910006-11,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080911001-5,M,o080911001-5,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080911006-11,M,o080911006-11,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080912004-7,M,o080912004-7,1,fewer than 5 full-six-direction LFPs
session,Monkey M session o080912008-13,M,o080912008-13,2,fewer than 5 full-six-direction LFPs
session,Monkey M session o080917001-8,M,o080917001-8,2,fewer than 5 full-six-direction LFPs
