analysis_set,analysis_label,monkey,source_monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,relevant_band,relevant_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080416002-18,monkeyM_session-o080416002-18_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1973889461187533
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080416002-18,monkeyM_session-o080416002-18_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1657883736999791
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080416002-18,monkeyM_session-o080416002-18_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.2514718688441316
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080416002-18,monkeyM_session-o080416002-18_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1778918338574351
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080416002-18,monkeyM_session-o080416002-18_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1615530734174801
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080416002-18,monkeyM_session-o080416002-18_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1892219805944401
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080417003-14,monkeyM_session-o080417003-14_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.137084646933709
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080417003-14,monkeyM_session-o080417003-14_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1208134166629257
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080417003-14,monkeyM_session-o080417003-14_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1384779918753072
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080417003-14,monkeyM_session-o080417003-14_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1401810461848366
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080417003-14,monkeyM_session-o080417003-14_lfp-4,4,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.0975424653583192
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080417003-14,monkeyM_session-o080417003-14_lfp-4,4,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1335088201518595
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080422011-21,monkeyM_session-o080422011-21_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.155390646423645
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080422011-21,monkeyM_session-o080422011-21_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1592476897643006
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080422011-21,monkeyM_session-o080422011-21_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1290835335036348
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080423001-5,monkeyM_session-o080423001-5_lfp-6,6,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1992095598200249
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080423001-5,monkeyM_session-o080423001-5_lfp-6,6,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1244934103760064
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080423001-5,monkeyM_session-o080423001-5_lfp-6,6,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1582877138623732
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080423001-5,monkeyM_session-o080423001-5_lfp-8,8,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1755520298899564
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080423001-5,monkeyM_session-o080423001-5_lfp-8,8,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1522153615001332
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080423001-5,monkeyM_session-o080423001-5_lfp-8,8,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1086011473562295
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080424002-11,monkeyM_session-o080424002-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1763041703231807
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080424002-11,monkeyM_session-o080424002-11_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1331318198146345
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080424002-11,monkeyM_session-o080424002-11_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1255961986403491
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080424012-22,monkeyM_session-o080424012-22_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1526642088210783
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080424012-22,monkeyM_session-o080424012-22_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1404463539801885
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080424012-22,monkeyM_session-o080424012-22_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1619957354010372
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080425003-12,monkeyM_session-o080425003-12_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1532732021973326
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080425003-12,monkeyM_session-o080425003-12_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1416245313288629
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080425003-12,monkeyM_session-o080425003-12_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1706503206503206
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1131349782293178
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1164926279799854
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080425013-21,monkeyM_session-o080425013-21_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.0954280802478146
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1678704395442877
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080429002-7,monkeyM_session-o080429002-7_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.2180206994571379
