lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,torus_geometry_15,ok,0.55,0.55,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,torus_geometry_15,ok,0.45,0.44862155388471175,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,torus_geometry_15,ok,0.225,0.22180451127819548,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,direction,torus_geometry_15,ok,0.5,0.4949494949494949,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,delay,torus_geometry_15,ok,0.6,0.5989974937343359,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,condition,torus_geometry_15,ok,0.35,0.34090909090909094,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,torus_geometry_15,ok,0.55,0.5488721804511278,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,torus_geometry_15,ok,0.575,0.5725958516656191,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,torus_geometry_15,ok,0.175,0.18374269005847954,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,torus_geometry_15,ok,0.675,0.6747967479674797,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,delay,torus_geometry_15,ok,0.45,0.44862155388471175,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,condition,torus_geometry_15,ok,0.4,0.40011961722488043,4,40,10
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,direction,torus_geometry_15,ok,0.5833333333333334,0.5831524099001303,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,delay,torus_geometry_15,ok,0.5520833333333334,0.5520347259902334,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,condition,torus_geometry_15,ok,0.3804347826086957,0.3827317473338802,4,92,23
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,direction,torus_geometry_15,ok,0.4479166666666667,0.44785675529028757,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,delay,torus_geometry_15,ok,0.4583333333333333,0.4562091503267974,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,condition,torus_geometry_15,ok,0.2608695652173913,0.25948535494719993,4,92,23
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,direction,torus_geometry_15,ok,0.5625,0.5623100303951367,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,delay,torus_geometry_15,ok,0.5729166666666666,0.5724991854024112,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,movement,condition,torus_geometry_15,ok,0.2391304347826087,0.2387280493592786,4,92,23
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,post_go,direction,torus_geometry_15,ok,0.3854166666666667,0.38481590094493323,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,post_go,delay,torus_geometry_15,ok,0.6041666666666666,0.6039947894051237,2,96,48
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,post_go,condition,torus_geometry_15,ok,0.17391304347826086,0.17380453470879004,4,92,23
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,pre_go,direction,torus_geometry_15,ok,0.49,0.48994899489948995,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,pre_go,delay,torus_geometry_15,ok,0.6836734693877551,0.6833767587285045,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,pre_go,condition,torus_geometry_15,ok,0.28125,0.27986316477810635,4,96,24
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,direction,torus_geometry_15,ok,0.53,0.5288220551378446,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,delay,torus_geometry_15,ok,0.5714285714285714,0.5707133917396746,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,peri_go,condition,torus_geometry_15,ok,0.21875,0.1973763955342903,4,96,24
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,direction,torus_geometry_15,ok,0.44,0.4391025641025641,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,delay,torus_geometry_15,ok,0.4387755102040816,0.4382490880667014,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,movement,condition,torus_geometry_15,ok,0.2604166666666667,0.26105072463768114,4,96,24
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,direction,torus_geometry_15,ok,0.53,0.5276856597326902,2,100,50
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,delay,torus_geometry_15,ok,0.45918367346938777,0.45912735603457255,2,98,49
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,1,post_go,condition,torus_geometry_15,ok,0.15625,0.15746934225195094,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,direction,torus_geometry_15,ok,0.44,0.4318181818181818,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,delay,torus_geometry_15,ok,0.826530612244898,0.8263678999478895,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,pre_go,condition,torus_geometry_15,ok,0.34375,0.345180528691167,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,direction,torus_geometry_15,ok,0.51,0.5095586027424682,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,delay,torus_geometry_15,ok,0.4387755102040816,0.4358974358974359,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,peri_go,condition,torus_geometry_15,ok,0.3125,0.3107288369893412,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,direction,torus_geometry_15,ok,0.44,0.43977591036414565,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,delay,torus_geometry_15,ok,0.5204081632653061,0.5199583116206358,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,condition,torus_geometry_15,ok,0.19791666666666666,0.1982261886727119,4,96,24
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,direction,torus_geometry_15,ok,0.43,0.42994299429942995,2,100,50
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,delay,torus_geometry_15,ok,0.4897959183673469,0.4889445139758031,2,98,49
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,condition,torus_geometry_15,ok,0.2916666666666667,0.29352245862884163,4,96,24
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,direction,torus_geometry_15,ok,0.543859649122807,0.5432973805855161,2,114,57
