lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,direction,torus_geometry_15,ok,0.6,0.595959595959596,2,40,20,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,delay,torus_geometry_15,ok,0.35,0.3483709273182957,2,40,20,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,pre_go,condition,torus_geometry_15,ok,0.25,0.25606537341377156,4,40,10,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,direction,torus_geometry_15,ok,0.4,0.4,2,40,20,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,delay,torus_geometry_15,ok,0.7,0.6992481203007519,2,40,20,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,peri_go,condition,torus_geometry_15,ok,0.4,0.3926979882862236,4,40,10,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,direction,torus_geometry_15,ok,0.5,0.5,2,40,20,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,delay,torus_geometry_15,ok,0.625,0.6247654784240151,2,40,20,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,torus_geometry_15,ok,0.35,0.3483038289539837,4,40,10,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,torus_geometry_15,ok,0.5,0.4987468671679198,2,40,20,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,delay,torus_geometry_15,ok,0.375,0.37460913070669166,2,40,20,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,condition,torus_geometry_15,ok,0.275,0.2757437070938215,4,40,10,20,20.0,7,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,direction,torus_geometry_15,ok,0.5104166666666666,0.5099380905832519,2,96,48,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,delay,torus_geometry_15,ok,0.5520833333333334,0.5508649766075508,2,96,48,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,pre_go,condition,torus_geometry_15,ok,0.25,0.24301470588235294,4,92,23,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,1,peri_go,direction,torus_geometry_15,ok,0.6041666666666666,0.6034782608695652,2,96,48,19,19.0,7,pertrace_unsupervised_movement_signal,pertrace_tau19_embed7
