session_id,recording_hour,feature_role,feature_label,feature_set,relevant_band,relevant_band_label,f1
session_m0120_0180,Hour 3,torus_features,Torus features,all_torus_15,delta,Delta (0.5-4 Hz),0.6391040106822209
session_m0120_0180,Hour 3,average_psd,Average PSD,average_psd,delta,Delta (0.5-4 Hz),0.34801507487711586
session_m0120_0180,Hour 3,relevant_band,Relevant band,delta,delta,Delta (0.5-4 Hz),0.5479055258467023
session_m0180_0240,Hour 4,torus_features,Torus features,all_torus_15,delta,Delta (0.5-4 Hz),0.7281687124057518
session_m0180_0240,Hour 4,average_psd,Average PSD,average_psd,delta,Delta (0.5-4 Hz),0.49773150860927723
session_m0180_0240,Hour 4,relevant_band,Relevant band,delta,delta,Delta (0.5-4 Hz),0.5079843670793975
session_m0240_0300,Hour 5,torus_features,Torus features,all_torus_15,delta,Delta (0.5-4 Hz),0.6676173507825411
session_m0240_0300,Hour 5,average_psd,Average PSD,average_psd,delta,Delta (0.5-4 Hz),0.4887624452841844
session_m0240_0300,Hour 5,relevant_band,Relevant band,delta,delta,Delta (0.5-4 Hz),0.5167653061392184
session_m0300_0360,Hour 6,torus_features,Torus features,all_torus_15,delta,Delta (0.5-4 Hz),0.7224242424242425
session_m0300_0360,Hour 6,average_psd,Average PSD,average_psd,delta,Delta (0.5-4 Hz),0.5366184203393506
session_m0300_0360,Hour 6,relevant_band,Relevant band,delta,delta,Delta (0.5-4 Hz),0.40052910052910046
session_m0360_0420,Hour 7,torus_features,Torus features,all_torus_15,delta,Delta (0.5-4 Hz),0.7119479486527541
session_m0360_0420,Hour 7,average_psd,Average PSD,average_psd,delta,Delta (0.5-4 Hz),0.48919533625415984
session_m0360_0420,Hour 7,relevant_band,Relevant band,delta,delta,Delta (0.5-4 Hz),0.46512789058583953
session_m0420_0480,Hour 8,torus_features,Torus features,all_torus_15,delta,Delta (0.5-4 Hz),0.7176627022344994
session_m0420_0480,Hour 8,average_psd,Average PSD,average_psd,delta,Delta (0.5-4 Hz),0.45223109847630627
session_m0420_0480,Hour 8,relevant_band,Relevant band,delta,delta,Delta (0.5-4 Hz),0.42499557596783416
session_m0480_0540,Hour 9,torus_features,Torus features,all_torus_15,delta,Delta (0.5-4 Hz),0.7442179433241689
session_m0480_0540,Hour 9,average_psd,Average PSD,average_psd,delta,Delta (0.5-4 Hz),0.5591925589798533
session_m0480_0540,Hour 9,relevant_band,Relevant band,delta,delta,Delta (0.5-4 Hz),0.48021657057801637
session_m0540_0600,Hour 10,torus_features,Torus features,all_torus_15,delta,Delta (0.5-4 Hz),0.690890711703274
session_m0540_0600,Hour 10,average_psd,Average PSD,average_psd,delta,Delta (0.5-4 Hz),0.48512368102404424
session_m0540_0600,Hour 10,relevant_band,Relevant band,delta,delta,Delta (0.5-4 Hz),0.5055898196041034
