tau,window_sec,selected_threshold,peak_target_fraction,plateau_width,tau_distance,elapsed_sec,runtime_proxy
40,2.0,0.3,0.0,19,0,4.197832048997952,2.0
40,4.0,0.3,0.0,19,0,4.19897318600124,4.0
40,8.0,0.3,0.0,19,0,4.340057068002352,8.0
30,2.0,0.3,0.0,19,10,4.218877441999211,2.0
50,2.0,0.3,0.0,19,10,4.0065927089999605,2.0
30,4.0,0.3,0.0,19,10,4.339049344998784,4.0
50,4.0,0.3,0.0,19,10,4.261499382002512,4.0
30,8.0,0.3,0.0,19,10,4.211321667000448,8.0
50,8.0,0.3,0.0,19,10,4.229688790997898,8.0
20,2.0,0.3,0.0,19,20,4.249269879001076,2.0
60,2.0,0.3,0.0,19,20,4.046717739998712,2.0
20,4.0,0.3,0.0,19,20,4.283288334001554,4.0
60,4.0,0.3,0.0,19,20,4.2468677689976175,4.0
20,8.0,0.3,0.0,19,20,4.248438357997657,8.0
60,8.0,0.3,0.0,19,20,4.467729423999117,8.0
80,2.0,0.3,0.0,19,40,4.235519896999904,2.0
80,4.0,0.3,0.0,19,40,4.378728542000317,4.0
80,8.0,0.3,0.0,19,40,4.299304513999232,8.0
