threshold,n_windows,target_count,target_fraction,beta1_eq2_fraction,beta2_eq1_fraction
0.05,200,0,0.0,0.0,0.005
0.075,200,0,0.0,0.0,0.0
0.1,200,0,0.0,0.0,0.0
0.125,200,0,0.0,0.0,0.0
0.15,200,0,0.0,0.0,0.0
0.175,200,0,0.0,0.0,0.0
0.2,200,0,0.0,0.02,0.0
0.225,200,0,0.0,0.05,0.0
0.25,200,0,0.0,0.255,0.0
0.275,200,0,0.0,0.42,0.0
0.3,200,0,0.0,0.305,0.0
0.325,200,0,0.0,0.19,0.0
0.35,200,0,0.0,0.125,0.0
0.375,200,0,0.0,0.045,0.0
0.4,200,0,0.0,0.025,0.0
0.425,200,0,0.0,0.005,0.0
0.45,200,0,0.0,0.0,0.0
0.475,200,0,0.0,0.0,0.0
0.5,200,0,0.0,0.0,0.0
