session_id,feature_set,status,accuracy,macro_f1,f1_wake,f1_nrem,f1_rem,wake_count,nrem_count,rem_count
session_m0000_0060,delta,insufficient_classes,,,,,,1800,0,0
session_m0000_0060,theta,insufficient_classes,,,,,,1800,0,0
session_m0000_0060,alpha,insufficient_classes,,,,,,1800,0,0
session_m0000_0060,sigma,insufficient_classes,,,,,,1800,0,0
session_m0000_0060,beta,insufficient_classes,,,,,,1800,0,0
session_m0000_0060,low_gamma,insufficient_classes,,,,,,1800,0,0
session_m0000_0060,all_torus_15,insufficient_classes,,,,,,1800,0,0
session_m0060_0120,delta,insufficient_classes,,,,,,697,1103,0
session_m0060_0120,theta,insufficient_classes,,,,,,697,1103,0
session_m0060_0120,alpha,insufficient_classes,,,,,,697,1103,0
session_m0060_0120,sigma,insufficient_classes,,,,,,697,1103,0
session_m0060_0120,beta,insufficient_classes,,,,,,697,1103,0
session_m0060_0120,low_gamma,insufficient_classes,,,,,,697,1103,0
session_m0060_0120,all_torus_15,insufficient_classes,,,,,,697,1103,0
session_m0120_0180,delta,ok,0.5634920634920635,0.5479055258467023,0.3823529411764705,0.625,0.6363636363636364,620,1138,42
session_m0120_0180,theta,ok,0.5,0.4748960028938325,0.5473684210526316,0.3,0.5773195876288659,620,1138,42
session_m0120_0180,alpha,ok,0.365079365079365,0.3422986254669423,0.4752475247524752,0.2,0.3516483516483517,620,1138,42
session_m0120_0180,sigma,ok,0.3492063492063492,0.3276215247673544,0.1643835616438356,0.2784810126582278,0.54,620,1138,42
session_m0120_0180,beta,ok,0.5396825396825397,0.5341365461847389,0.6153846153846154,0.6024096385542169,0.3846153846153846,620,1138,42
session_m0120_0180,low_gamma,ok,0.5555555555555556,0.5529468109082714,0.4367816091954023,0.8470588235294118,0.375,620,1138,42
session_m0120_0180,all_torus_15,ok,0.6428571428571429,0.6391040106822209,0.5679012345679012,0.7640449438202247,0.5853658536585366,620,1138,42
